,address,zid
0,1802-3rd-St-Alameda-CA-94501,24864398
1,1046-Central-Ave-Alameda-CA-94501,24862982
2,1724-Eagle-Ave-Alameda-CA-94501,24861179
3,2001-Bartlett-Dr-Alameda-CA-94501,24873218
4,2378-Coral-Sea-St-Alameda-CA-94501,72700378
5,609-Pond-Isle-Alameda-CA-94501,24868065
6,146-Nottingham-Dr-Alameda-CA-94502,24870600
7,903-San-Antonio-Ave-Alameda-CA-94501,24863091
8,2318-Eagle-Ave-Alameda-CA-94501,24859684
9,2208-Glenview-St-Alameda-CA-94501,89035547
10,1075-Jost-Ln-Alameda-CA-94502,24866661
11,854-Cedar-St-Alameda-CA-94501,24867724
12,1088-Melrose-Ave-Alameda-CA-94502,24867075
13,2118-Chipman-St-Alameda-CA-94501,64964577
14,2361-Tuttle-Ln-Alameda-CA-94501,82850279
15,2518-Encinal-Ave-Alameda-CA-94501,24859169
16,1571-Buena-Vista-Ave-Alameda-CA-94501,2101154352
17,1575-Buena-Vista-Ave-Alameda-CA-94501,2101154353
18,3-Invincible-Ct-D2-Alameda-CA-94501,24872196
19,328-Magnolia-Dr-Alameda-CA-94502,24865446
20,1523-Linden-St-Alameda-CA-94501,24863996
21,3253-Central-Ave-Alameda-CA-94501,24857014
22,1235-Hawthorne-St-Alameda-CA-94501,24869470
23,2854-Santa-Clara-Ave-Alameda-CA-94501,24856910
24,633-Waterfall-Isle-Alameda-CA-94501,24869478
25,758-Haight-Ave-Alameda-CA-94501,24863670
26,1524-Pacific-Ave-Alameda-CA-94501,24862162
27,2225-San-Jose-Ave-Alameda-CA-94501,24859799
28,605-Glenwood-Isle-Alameda-CA-94501,24868086
29,1825-Shoreline-Dr-APT-114-Alameda-CA-94501,24868400
30,932-Mound-St-Alameda-CA-94501,24867188
31,1401-Cottage-St-APT-F-Alameda-CA-94501,24861967
32,1311-Webster-St-APT-E301-Alameda-CA-94501,24871312
33,2209-Otis-Dr-APT-R-Alameda-CA-94501,24867973
34,1368-Versailles-Ave-Alameda-CA-94501,24858152
35,2803-Otis-Dr-Alameda-CA-94501,24855787
36,3233-San-Jose-Ave-Alameda-CA-94501,24856454
37,1728-Main-St-Alameda-CA-94501,2124342302
38,2101-Shoreline-Dr-APT-246-Alameda-CA-94501,24867709
39,1524-Lincoln-Ave-Alameda-CA-94501,24862111
40,3314-Washington-Ct-Alameda-CA-94501,24855868
41,642-Centre-Ct-Alameda-CA-94502,24871662
42,2221-Harbor-Bay-Pkwy-Alameda-CA-94502,2102442997
43,12-Courageous-Ct-B70-Alameda-CA-94501,24872185
44,5-Cove-Rd-Alameda-CA-94502,24871589
45,1022-Mound-St-Alameda-CA-94501,24856203
46,321-Maitland-Dr-Alameda-CA-94502,24867126
47,2011-Cambridge-Dr-Alameda-CA-94501,24857960
48,2034-San-Jose-Ave-Alameda-CA-94501,24860415
49,2718-Washington-St-Alameda-CA-94501,24858403
50,1311-Webster-St-APT-E100-Alameda-CA-94501,24871272
51,323-Sweet-Rd-Alameda-CA-94502,24872911
52,3236-Garfield-Ave-Alameda-CA-94501,24857164
53,2919-Encinal-Ave-Alameda-CA-94501,24856680
54,2133-Santa-Clara-Avenue-104-Alameda-CA-94501,2101267475
55,1305-Crown-Dr-Alameda-CA-94501,2139362491
56,1857-Wood-St-Alameda-CA-94501,24863395
57,601-Willow-St-APT-A-Alameda-CA-94501,24868133
58,1823-Moreland-Dr-Alameda-CA-94501,24857912
59,501-Tideway-Dr-Alameda-CA-94501,24869723
60,1541-Fountain-St-Alameda-CA-94501,24857053
61,146-Asby-Bay-Alameda-CA-94502,24865204
62,3334-Fir-Ave-Alameda-CA-94502,24866719
63,130-Cumberland-Way-Alameda-CA-94502,24870711
64,325-Kitty-Hawk-Rd-316-Alameda-CA-94501,24868487
65,6-Shannon-Cir-Alameda-CA-94502,24870824
66,820-Island-Drive-Alameda-CA-94502,2101204028
67,1547-9th-St-Alameda-CA-94501,2101284493
68,2007-Lincoln-Ave-Alameda-CA-94501,24860634
69,760-Lincoln-Ave-Alameda-CA-94501,24863636
70,2800-Fernside-Blvd-Alameda-CA-94501,24857906
71,430-Cola-Ballena-APT-B-Alameda-CA-94501,24869733
72,2394-Mariner-Square-Dr-E-8-Alameda-CA-94501,24873405
73,176-Purcell-Dr-Alameda-CA-94502,24871750
74,2061-Eagle-Ave-Alameda-CA-94501,24860740
75,74-Sable-Pt-Alameda-CA-94502,24865752
76,37-Hays-Ct-Alameda-CA-94502,24872874
77,50-Hays-Ct-Alameda-CA-94502,24872872
78,1615-Pearl-St-Alameda-CA-94501,24858819
79,5-Washoe-Ct-Alameda-CA-94501,2124405853
80,2137-Otis-Dr-Alameda-CA-94501,24867958
81,2743-5th-St-Alameda-CA-94501,2101214743
82,2035-Otis-Dr-APT-A-Alameda-CA-94501,24868193
83,3283-Garfield-Ave-Alameda-CA-94501,24857244
84,118-Shepardson-Ln-Alameda-CA-94502,24871949
85,3-Mastick-Ct-Alameda-CA-94501,24862798
86,1105-Oak-St-Alameda-CA-94501,24859826
87,1209-9th-St-Alameda-CA-94501,24863147
88,960-Shorepoint-Court-204-Alameda-CA-94501,2101655290
89,1004-Auburn-Dr-Alameda-CA-94502,24866256
90,2612-Buena-Vista-Ave-Alameda-CA-94501,24858800
91,965-Shorepoint-Ct-APT-103-Alameda-CA-94501,24869289
92,1321-Webster-St-APT-D110-Alameda-CA-94501,24871222
