,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
0,4.0,6,2930,12,1953,,34,24
1,2.5,3,2082,8,1985,,36,49
2,2.5,3,1552,6,1974,,43,77
3,2.0,3,1240,6,1955,,43,62
4,2.5,3,2013,7,1995,,46,54
5,2.0,3,1231,7,1895,,45,77
6,1.5,2,1585,6,1896,,41,61
7,2.5,4,2925,9,2006,,45,65
8,2.5,3,1716,7,1974,649000,28,39
9,2.5,3,2361,9,2004,,45,62
10,3.5,3,3453,10,2007,,29,62
11,2.0,2,1101,5,1925,,46,91
12,3.0,4,2451,,1912,849900,46,87
13,1.0,2,843,4,1970,619000,46,82
14,2.5,4,2236,9,1894,,42,68
15,3.0,4,2546,9,1984,1188000,33,45
16,2.0,2,1313,5,1986,,45,53
17,1.0,3,1258,6,1953,799900,28,33
18,3.0,4,3009,13,1892,,44,75
19,2.0,3,1820,9,1923,895000,44,68
20,3.0,5,2648,9,1997,,0,21
21,2.5,3,2013,7,1905,879000,40,59
22,2.0,2,1060,,1975,429500,46,89
23,2.5,3,1977,,1980,1000000,0,68
24,2.0,2,1074,5,1895,665000,45,61
25,3.5,4,3034,8,1987,1150000,0,72
26,2.0,3,1257,5,1921,,42,68
27,3.0,4,2476,9,1990,,28,41
28,2.5,3,1649,5,1970,,28,48
29,3.0,7,2664,,1963,980000,28,51
30,2.5,2,1626,5,1971,599000,0,60
31,2.0,4,1850,9,1905,849000,44,68
32,2.0,4,2090,7,1985,,28,37
33,2.5,4,2123,8,1995,,0,21
34,2.0,3,3330,6,1950,,43,34
35,2.0,4,1841,7,1965,,43,58
36,2.0,2,1090,5,1974,,34,60
37,1.0,99,495,,1974,,0,70
38,1.5,2,1048,5,1974,,0,62
39,1.0,2,860,4,1942,,0,61
40,2.0,3,940,7,1954,,0,42
41,1.0,3,910,6,1955,,27,59
42,2.0,3,1350,7,1950,,27,49
43,2.0,3,1499,7,1948,,0,45
44,3.0,5,2892,9,1980,,27,49
45,2.5,4,2620,8,1961,,0,31
46,2.0,4,1700,7,1946,,26,33
47,1.0,3,1130,6,1949,,27,56
