,address,zid
0,731-Ellsworth-St-San-Francisco-CA-94110,15164692
1,3579-Folsom-St-San-Francisco-CA-94110,2108605912
2,341-Winfield-St-San-Francisco-CA-94110,15162560
3,28-Virginia-Ave-San-Francisco-CA-94110,116156402
4,390-392-Crescent-Ave-San-Francisco-CA-94110,15164552
5,125-Highland-Ave-San-Francisco-CA-94110,111928373
6,375-Prentiss-St-San-Francisco-CA-94110,15162886
7,156-Ripley-St-San-Francisco-CA-94110,52273863
8,38-Powers-Ave-San-Francisco-CA-94110,15160931
9,80-Crescent-Ave-San-Francisco-CA-94110,15164451
10,130-Gates-St-San-Francisco-CA-94110,15161943
11,3663-Folsom-St-San-Francisco-CA-94110,15162019
12,4136-Folsom-St-San-Francisco-CA-94110,15164105
13,3337-Cesar-Chavez-San-Francisco-CA-94110,2102541069
14,467-Gates-St-San-Francisco-CA-94110,15163218
15,505-Franconia-St-San-Francisco-CA-94110,2133200676
16,3933-Mission-St-San-Francisco-CA-94112,2109216332
17,66-Patton-St-San-Francisco-CA-94110,111921018
18,3840-Folsom-St-San-Francisco-CA-94110,2101439995
19,364-Richland-Ave-San-Francisco-CA-94110,15164304
20,580-Prentiss-St-San-Francisco-CA-94110,15163943
21,120-122-Coleridge-St-San-Francisco-CA-94110,15161184
22,28-30-Bache-St-San-Francisco-CA-94110,15164531
23,146A-27th-St-San-Francisco-CA-94110,123598422
24,18-Prospect-Ave-San-Francisco-CA-94110,15160943
25,214-216-Richland-Ave-San-Francisco-CA-94110,15164343
26,431-Gates-St-San-Francisco-CA-94110,15163224
27,334-Alemany-Blvd-APT-3-San-Francisco-CA-94110,2122855931
28,48-Porter-St-San-Francisco-CA-94110,15164509
29,289-Bradford-St-San-Francisco-CA-94110,15163029
30,1497-Shotwell-St-San-Francisco-CA-94110,15160090
31,36-Nevada-St-San-Francisco-CA-94110,2118532082
32,334-Alemany-Blvd-APT-4-San-Francisco-CA-94110,2103520014
33,330-Gates-St-San-Francisco-CA-94110,15162804
34,1500-Cortland-Ave-San-Francisco-CA-94110,2101938051
35,456-Nevada-St-San-Francisco-CA-94110,15163959
36,51-Nebraska-St-San-Francisco-CA-94110,15162169
37,365-Banks-St-San-Francisco-CA-94110,15162852
38,207-Crescent-Ave-San-Francisco-CA-94110,15164277
39,639-Banks-St-San-Francisco-CA-94110,15164062
40,3291-Cesar-Chavez-San-Francisco-CA-94110,15159658
41,24-Fair-Ave-San-Francisco-CA-94110,15161199
42,501-Crescent-Ave-San-Francisco-CA-94110,15164199
43,114-116-Saint-Marys-Ave-San-Francisco-CA-94112,15184329
44,473-Andover-St-San-Francisco-CA-94110,15163338
45,130-Ripley-St-San-Francisco-CA-94110,63197636
46,862-Moultrie-St-San-Francisco-CA-94110,15164585
47,348-Park-St-Moraga-CA-94556,2101153979
48,618-Precita-Ave-San-Francisco-CA-94110,15159821
49,3635-Cesar-Chavez-San-Francisco-CA-94110,15181914
50,126-Park-St-San-Francisco-CA-94110,15163684
51,390-Crescent-Ave-San-Francisco-CA-94110,2101647269
52,124-126-Mullen-Ave-San-Francisco-CA-94110,15160543
