,address,zid
0,4484-Callan-Blvd-Daly-City-CA-94015,15607969
1,371-Imperial-Way-APT-101-Daly-City-CA-94015,15622320
2,973-Hanover-St-Daly-City-CA-94014,15462505
3,336-Frankfort-St-Daly-City-CA-94014,15463039
4,422-Southhill-Blvd-Daly-City-CA-94014,15604257
5,69-Lycett-Cir-Daly-City-CA-94015,15607249
6,1551-Southgate-Ave-APT-157-Daly-City-CA-94015,15624765
7,75-Parkrose-Ave-Daly-City-CA-94015,15607770
8,42-Longview-Dr-Daly-City-CA-94015,15474089
9,36-Glenbrook-Ave-Daly-City-CA-94015,15470848
10,88-Westline-Dr-Daly-City-CA-94015,15473951
11,304-Hoffman-St-Colma-CA-94014,63157965
12,420-Pointe-Pacific-APT-3-Daly-City-CA-94014,15625361
13,677-Bellevue-Ave-Daly-City-CA-94014,54569509
14,28-Nancy-Ln-Daly-City-CA-94014,15464521
15,224-3rd-Ave-Daly-City-CA-94014,15468069
16,480-Hanover-St-Daly-City-CA-94014,15463205
17,483-Green-Ridge-Dr-APT-9-Daly-City-CA-94014,15625666
18,322-Glenwood-Ave-Daly-City-CA-94015,15457601
19,1037-Brunswick-St-Daly-City-CA-94014,15462438
20,425-Westmoor-Ave-Daly-City-CA-94015,15470674
21,232-Acton-St-Daly-City-CA-94014,15462972
22,675-Templeton-Ave-Daly-City-CA-94014,15462733
23,835-Bellevue-Ave-Daly-City-CA-94014,15462136
24,500-Southhill-Blvd-UNIT-A-Daly-City-CA-94014,15604786
25,1180-Hillside-Blvd-Daly-City-CA-94014,2101364518
26,57-Oceanside-Dr-Daly-City-CA-94015,15471764
27,267-Miriam-St-Daly-City-CA-94014,15460156
28,98-Alexander-Ave-Daly-City-CA-94014,82949959
29,413-Westmoor-Ave-Daly-City-CA-94015,15470680
30,370-Imperial-Way-APT-236-Daly-City-CA-94015,2101189009
31,60-Saint-Michaels-Ct-Daly-City-CA-94015,15474570
32,83-Castillejo-Dr-Daly-City-CA-94015,15473376
33,253-Morton-Dr-Daly-City-CA-94015,15606270
34,31-Werner-Ave-Daly-City-CA-94014,15466408
35,82-Wakefield-Ave-Daly-City-CA-94015,15606106
36,1808-Ipswich-Ln-Daly-City-CA-94014,15625177
37,381-Half-Moon-Ln-APT-104-Daly-City-CA-94015,15621946
38,7-Lycett-Ct-Daly-City-CA-94015,15607260
39,1551-Southgate-Ave-APT-136-Daly-City-CA-94015,15624744
40,272-Templeton-Ave-Daly-City-CA-94014,15462400
41,292-Macdonald-Ave-Daly-City-CA-94014,2105879667
42,365-Half-Moon-Ln-APT-1-Daly-City-CA-94015,15622254
43,616-Florence-St-Daly-City-CA-94014,15468350
44,28-Woodrow-St-Daly-City-CA-94014,15459063
45,349-Philip-Dr-APT-204-Daly-City-CA-94015,15620475
46,137-Santa-Cruz-Ave-Daly-City-CA-94014,15459462
47,238-Alta-Vista-Way-Daly-City-CA-94014,15604713
48,89-Grandview-Ave-Daly-City-CA-94015,15472442
49,10-Caroline-Way-Daly-City-CA-94014,15604548
50,591-Pointe-Pacific-APT-2-Daly-City-CA-94014,15625340
51,838-Steve-Courter-Way-Daly-City-CA-94014,58660607
52,336-Rio-Verde-St-Daly-City-CA-94014,15463879
53,121-Hillcrest-Dr-Daly-City-CA-94014,15459663
54,374-Imperial-Way-APT-8-Daly-City-CA-94015,15622094
55,883-Skyline-Dr-Daly-City-CA-94015,15474325
