,address,zid
0,201-Ballard-Ln-Menlo-Park-CA-94025,89238691
1,2161-Camino-De-Los-Robles-Menlo-Park-CA-94025,15598286
2,1149-Howard-Ave-Menlo-Park-CA-94025,15581981
3,1787-Santa-Cruz-Ave-Menlo-Park-CA-94025,52394222
4,182-Oak-Ct-Menlo-Park-CA-94025,15587255
5,2030-Santa-Cruz-Ave-Menlo-Park-CA-94025,15598812
6,152-Dunsmuir-Way-Menlo-Park-CA-94025,15568975
7,1045-Whitney-Dr-Menlo-Park-CA-94025,15599420
8,1130-Windermere-Ave-Menlo-Park-CA-94025,15581989
9,545-6th-Ave-Menlo-Park-CA-94025,15578863
10,1715-Bay-Laurel-Dr-Menlo-Park-CA-94025,15595358
11,900-Cloud-Ave-Menlo-Park-CA-94025,15594909
12,1207-Hollyburne-Ave-Menlo-Park-CA-94025,15582075
13,1827-Edgewood-Ln-Menlo-Park-CA-94025,15594940
14,2160-Monterey-Ave-Menlo-Park-CA-94025,15598200
15,816-Arnold-Way-Menlo-Park-CA-94025,15582887
16,2139-Cedar-Ave-Menlo-Park-CA-94025,15598329
17,1232-Sevier-Ave-Menlo-Park-CA-94025,15582217
18,1000-Siskiyou-Dr-Menlo-Park-CA-94025,15599504
19,1363-Henderson-Ave-Menlo-Park-CA-94025,15569290
20,1000-Continental-Dr-Menlo-Park-CA-94025,15599741
21,2140-Santa-Cruz-Ave-APT-B202-Menlo-Park-CA-94025,15635556
22,300-Linfield-Dr-Menlo-Park-CA-94025,15584237
23,678-San-Benito-Ave-Menlo-Park-CA-94025,15579378
24,5-Shasta-Ln-Menlo-Park-CA-94025,15599487
25,142-Sand-Hill-Cir-Menlo-Park-CA-94025,15600027
26,193-Willow-Rd-Menlo-Park-CA-94025,15583314
27,804-Woodland-Ave-Menlo-Park-CA-94025,2101391386
28,1341-Hillview-Dr-Menlo-Park-CA-94025,15594465
29,7-Vasilakos-Ct-Menlo-Park-CA-94025,15593865
30,1990-Byers-Dr-Menlo-Park-CA-94025,65392018
31,1015-Atkinson-Ln-Menlo-Park-CA-94025,15595106
32,1741-Stone-Pine-Ln-Menlo-Park-CA-94025,15580435
33,2443-Sharon-Oaks-Dr-Menlo-Park-CA-94025,15600060
34,1795-Holly-Ave-Menlo-Park-CA-94025,15595169
35,1030-Monte-Rosa-Dr-Menlo-Park-CA-94025,15599400
36,745-Arbor-Rd-Menlo-Park-CA-94025,15595727
37,1204-Carlton-Ave-Menlo-Park-CA-94025,15582280
38,2125-Prospect-St-Menlo-Park-CA-94025,15598803
39,712-University-Dr-Menlo-Park-CA-94025,15596716
40,1203-N-Lemon-Ave-Menlo-Park-CA-94025,15594272
41,457-7th-Ave-Menlo-Park-CA-94025,15578993
42,1344-Chilco-St-Menlo-Park-CA-94025,15569325
43,1049-Almanor-Ave-Menlo-Park-CA-94025,15581821
44,548-Palmer-Ln-Menlo-Park-CA-94025,15579713
45,1330-University-Dr-APT-83-Menlo-Park-CA-94025,15634514
46,668-Partridge-Ave-Menlo-Park-CA-94025,2101477825
47,1323-Sevier-Ave-Menlo-Park-CA-94025,15569560
48,1342-Henderson-Ave-Menlo-Park-CA-94025,15569444
49,1990-Valparaiso-Ave-Menlo-Park-CA-94025,15593976
50,1341-Carlton-Ave-Menlo-Park-CA-94025,15569645
51,443-Oconnor-St-Menlo-Park-CA-94025,15587459
52,1898-Camino-A-Los-Cerros-Menlo-Park-CA-94025,15593877
53,2024-Gordon-Ave-Menlo-Park-CA-94025,15598624
54,1000-Middle-Ave-Menlo-Park-CA-94025,15595945
55,910-Cloud-Ave-Menlo-Park-CA-94025,15594910
56,950-Continental-Dr-Menlo-Park-CA-94025,15599736
57,253-Princeton-Rd-Menlo-Park-CA-94025,15596302
58,207-Pearl-Ln-Menlo-Park-CA-94025,89222537
59,1539-Laurel-Pl-Menlo-Park-CA-94025,15581428
60,209-Terminal-Ave-Menlo-Park-CA-94025,15569116
61,1-Carriage-Ct-Menlo-Park-CA-94025,15599435
62,500-Newbridge-St-Menlo-Park-CA-94025,82951257
63,1975-Avy-Ave-Menlo-Park-CA-94025,15594892
64,701-College-Ave-Menlo-Park-CA-94025,15596509
65,1845-Oakdell-Dr-Menlo-Park-CA-94025,15594995
66,650-Berkeley-Ave-Menlo-Park-CA-94025,15582795
67,1215-Hollyburne-Ave-Menlo-Park-CA-94025,15582073
