,zpid,street,city,state,zipcode
0,19537840,1058 Lois Ave,Sunnyvale,CA,94087
1,19521633,994 La Mesa Ter UNIT G,Sunnyvale,CA,94086
2,19617959,1005 Bryant Way APT L,Sunnyvale,CA,94087
3,19537196,1175 Andover Dr,Sunnyvale,CA,94087
4,19494162,1148 La Rochelle Ter UNIT B,Sunnyvale,CA,94089
5,24862982,1046 Central Ave,Alameda,CA,94501
6,24861179,1724 Eagle Ave,Alameda,CA,94501
7,72700378,2378 Coral Sea St,Alameda,CA,94501
8,24867075,1088 Melrose Ave,Alameda,CA,94502
9,64964577,2118 Chipman St,Alameda,CA,94501
10,82850279,2361 Tuttle Ln,Alameda,CA,94501
11,24859169,2518 Encinal Ave,Alameda,CA,94501
12,24863670,758 Haight Ave,Alameda,CA,94501
13,24871312,1311 Webster St APT E301,Alameda,CA,94501
14,24862111,1524 Lincoln Ave,Alameda,CA,94501
15,24855868,3314 Washington Ct,Alameda,CA,94501
16,24872185,12 Courageous Ct # B70,Alameda,CA,94501
17,24867126,321 Maitland Dr,Alameda,CA,94502
18,24860415,2034 San Jose Ave,Alameda,CA,94501
19,24858403,2718 Washington St,Alameda,CA,94501
20,24872911,323 Sweet Rd,Alameda,CA,94502
21,24857164,3236 Garfield Ave,Alameda,CA,94501
22,2101267475,2133 Santa Clara Avenue #104,Alameda,CA,94501
23,2139362491,1305 Crown Dr,Alameda,CA,94501
24,24863395,1857 Wood St,Alameda,CA,94501
25,24869723,501 Tideway Dr,Alameda,CA,94501
26,24857053,1541 Fountain St,Alameda,CA,94501
27,24865204,146 Asby Bay,Alameda,CA,94502
28,24866719,3334 Fir Ave,Alameda,CA,94502
29,2101204028,820 Island Drive,Alameda,CA,94502
30,24869733,430 Cola Ballena APT B,Alameda,CA,94501
31,24860740,2061 Eagle Ave,Alameda,CA,94501
32,24865752,74 Sable Pt,Alameda,CA,94502
33,24872874,37 Hays Ct,Alameda,CA,94502
34,24869470,1235 Hawthorne St,Alameda,CA,94501
35,24869478,633 Waterfall Isle,Alameda,CA,94501
36,24867709,2101 Shoreline Dr APT 246,Alameda,CA,94501
37,15624870,1551 Southgate Ave APT 314,Daly City,CA,94015
38,15622410,357 Half Moon Ln APT 1,Daly City,CA,94015
39,15464001,296 Rio Verde St,Daly City,CA,94014
40,15465175,1095 S Mayfair Ave,Daly City,CA,94015
41,15581981,1149 Howard Ave,Menlo Park,CA,94025
42,15581989,1130 Windermere Ave,Menlo Park,CA,94025
43,15598329,2139 Cedar Ave,Menlo Park,CA,94025
44,15569290,1363 Henderson Ave,Menlo Park,CA,94025
45,15599741,1000 Continental Dr,Menlo Park,CA,94025
46,15581821,1049 Almanor Ave,Menlo Park,CA,94025
47,15569444,1342 Henderson Ave,Menlo Park,CA,94025
48,15569645,1341 Carlton Ave,Menlo Park,CA,94025
49,82951257,500 Newbridge St,Menlo Park,CA,94025
50,15582073,1215 Hollyburne Ave,Menlo Park,CA,94025
51,15574897,831 Canyon Rd,Redwood City,CA,94062
52,15575783,1142 Chesterton Ave,Redwood City,CA,94061
53,15637304,877 Boardwalk Pl,Redwood City,CA,94065
54,15576784,354 Encina Ave,Redwood City,CA,94061
55,15573017,178 Opal Ave,Redwood City,CA,94062
56,15571678,823 Shepard Way,Redwood City,CA,94062
57,15574817,2442 Harding Ave,Redwood City,CA,94062
58,15637712,822 Lakeshore Dr,Redwood City,CA,94065
59,15567603,3125 Page St,Redwood City,CA,94063
60,15635738,1140 Whipple Ave APT 25,Redwood City,CA,94062
61,15591405,1662 Anamor St,Redwood City,CA,94061
62,15590553,20 Woodleaf Ave,Redwood City,CA,94061
63,15591863,1811 Maddux Dr,Redwood City,CA,94061
64,15618893,507 Sealight Ln,Redwood City,CA,94065
65,15567628,3241 Hoover St,Redwood City,CA,94063
