,address,zid
0,728-Alabama-St-APT-105-San-Francisco-CA-94110,80741613
1,350-Alabama-St-APT-9-San-Francisco-CA-94110,64971642
2,2125-Bryant-St-APT-318-San-Francisco-CA-94110,2105095668
3,2407-Harrison-St-APT-8-San-Francisco-CA-94110,2101406742
4,843-S-Van-Ness-Ave-APT-4-San-Francisco-CA-94110,64972426
5,688-S-Van-Ness-Ave-San-Francisco-CA-94110,15143978
6,1286-S-Van-Ness-Ave-San-Francisco-CA-94110,2101300212
7,1587-15th-St-APT-403-San-Francisco-CA-94103,2137358149
8,161-163-San-Carlos-St-San-Francisco-CA-94110,15144719
9,3627-19th-St-San-Francisco-CA-94110,53153454
10,251-14th-St-San-Francisco-CA-94103,123597804
11,2830-22nd-St-3-San-Francisco-CA-94110,2101536041
12,2722-Folsom-St-San-Francisco-CA-94110,2101194479
13,1800-Bryant-St-STE-202-San-Francisco-CA-94110,54487721
14,1078-1080-York-St-San-Francisco-CA-94110,15151320
15,82-Alvarado-St-San-Francisco-CA-94110,2101588805
16,80-Alvarado-St-San-Francisco-CA-94110,2101161411
17,2600-18th-St-STE-22-San-Francisco-CA-94110,80755226
18,2750-Harrison-St-TOP-San-Francisco-CA-94110,2101151416
19,667-Shotwell-St-A-San-Francisco-CA-94110,123597388
20,2405-Folsom-St-4-San-Francisco-CA-94110,2141886444
21,333-Potrero-Ave-San-Francisco-CA-94103,2101156735
22,3262-25th-St-San-Francisco-CA-94110,15180438
23,354-Utah-St-San-Francisco-CA-94103,2101151418
24,2412-Harrison-St-APT-108-San-Francisco-CA-94110,64969383
25,3418-26th-St-11-San-Francisco-CA-94110,2104828245
26,744-Potrero-Ave-San-Francisco-CA-94110,15150016
27,2169-Folsom-St-APT-S106-San-Francisco-CA-94110,2105580158
28,3283-25th-St-San-Francisco-CA-94110,2101480503
29,1061-Alabama-St-San-Francisco-CA-94110,15151279
30,3166-26th-St-3-San-Francisco-CA-94110,54854762
31,30-Abbey-St-San-Francisco-CA-94114,15143800
32,1078-York-St-San-Francisco-CA-94110,2101170147
33,150-Guerrero-St-San-Francisco-CA-94103,54854588
34,1146-York-St-San-Francisco-CA-94110,2101355432
35,11-17-Pearl-St-San-Francisco-CA-94103,2101254622
36,3665-3667-24th-Street-1-2-3-4-San-Francisco-CA-94110,2101547670
37,390-392-Fair-Oaks-St-San-Francisco-CA-94110,15180297
38,2927-Folsom-St-San-Francisco-CA-94110,2130831075
39,72-Alvarado-St-72A-San-Francisco-CA-94110,15146691
40,72-Dorland-St-San-Francisco-CA-94110,79845881
41,3278-21st-St-San-Francisco-CA-94110,15145644
42,330-Shotwell-St-San-Francisco-CA-94110,2101290279
43,3463-17th-St-A-San-Francisco-CA-94110,2124543463
44,2101-Bryant-St-APT-306-San-Francisco-CA-94110,111711190
45,178-Albion-St-188-San-Francisco-CA-94110,2101169262
46,2851-25th-St-San-Francisco-CA-94110,15152646
47,1385-Natoma-St-San-Francisco-CA-94103,119685135
48,1235-Florida-St-San-Francisco-CA-94110,2101155153
49,1036-Potrero-Ave-APT-2-San-Francisco-CA-94110,15151396
50,80-Alvarado-Street-San-Francisco-CA-94110,2101168133
51,2722-2724-Folsom-St-San-Francisco-CA-94110,2122182567
52,269-Clinton-Park-San-Francisco-CA-94103,83153953
53,76-Alvarado-Street-San-Francisco-CA-94110,2101737500
54,1041-Florida-St-San-Francisco-CA-94110,15151302
55,172-Cypress-St-San-Francisco-CA-94110,2101735045
56,619-Shotwell-St-APT-4-San-Francisco-CA-94110,2101400526
57,1269-Florida-St-San-Francisco-CA-94110,2101321623
58,946-S-Van-Ness-Ave-San-Francisco-CA-94110,96013131
59,890-Capp-St-San-Francisco-CA-94110,15146905
60,1020-Alabama-St-San-Francisco-CA-94110,15151217
61,2817-24th-St-San-Francisco-CA-94110,15152453
62,3790-Cesar-Chavez-San-Francisco-CA-94110,15181858
63,2-Pearl-St-3-San-Francisco-CA-94103,15142421
64,49-51-Capp-St-San-Francisco-CA-94103,15143179
65,3310-19th-St-APT-301-San-Francisco-CA-94110,59779743
66,180-Dolores-St-APT-7-San-Francisco-CA-94103,2101690926
67,785-Dolores-St-San-Francisco-CA-94110,54854611
68,1219-York-St-San-Francisco-CA-94110,15152416
69,1209-1211-York-St-San-Francisco-CA-94110,15152419
70,66-Rondel-Pl-San-Francisco-CA-94103,15143880
71,6-8-30th-Street-San-Francisco-CA-94110,2101362921
72,204-Valencia-St-San-Francisco-CA-94103,2101288305
73,2889-24th-St-APT-6-San-Francisco-CA-94110,2112729355
