,address,zid
0,559-Douglass-Street-San-Francisco-CA-94114,2101245331
1,2407-Harrison-St-APT-8-San-Francisco-CA-94110,2101406742
2,4146-22nd-St-San-Francisco-CA-94114,15130685
3,712-Castro-St-San-Francisco-CA-94114,15130448
4,1286-S-Van-Ness-Ave-San-Francisco-CA-94110,2101300212
5,1235-Florida-St-San-Francisco-CA-94110,2101155153
6,3310-19th-St-APT-301-San-Francisco-CA-94110,59779743
7,301-Rhode-Island-Street-B-20-San-Francisco-CA-94103,2101979807
8,688-Douglass-St-San-Francisco-CA-94114,2101169168
9,82-Alvarado-St-San-Francisco-CA-94110,2101588805
10,1315-Kansas-St-San-Francisco-CA-94107,2101284331
11,2200-Market-Street-401-San-Francisco-CA-94114,2101232576
12,744-Potrero-Ave-San-Francisco-CA-94110,15150016
13,76-Alvarado-Street-San-Francisco-CA-94110,2101737500
14,65-Buena-Vista-Ave-E-San-Francisco-CA-94117,2101181112
15,38A-Sharon-St-San-Francisco-CA-94114,2128800092
16,150-Guerrero-St-San-Francisco-CA-94103,54854588
17,29-Park-Hill-Ave-San-Francisco-CA-94117,15126882
18,56-Divisadero-St-San-Francisco-CA-94117,119685872
19,172-Divisadero-St-San-Francisco-CA-94117,64971458
20,66-Belcher-St-APT-2-San-Francisco-CA-94114,79842521
21,3262-25th-St-San-Francisco-CA-94110,15180438
22,221-Eureka-St-San-Francisco-CA-94114,82785741
23,619-Shotwell-St-APT-4-San-Francisco-CA-94110,2101400526
24,451-Kansas-St-UNIT-419-San-Francisco-CA-94107,89239205
25,2817-24th-St-San-Francisco-CA-94110,15152453
26,946-S-Van-Ness-Ave-San-Francisco-CA-94110,96013131
27,3627-19th-St-San-Francisco-CA-94110,53153454
28,1061-Alabama-St-San-Francisco-CA-94110,15151279
29,388-Sanchez-St-San-Francisco-CA-94114,2101306730
30,3665-3667-24th-Street-1-2-3-4-San-Francisco-CA-94110,2101547670
31,2600-18th-St-STE-22-San-Francisco-CA-94110,80755226
32,306-Roosevelt-Way-San-Francisco-CA-94114,123597751
33,204-Valencia-St-San-Francisco-CA-94103,2101288305
34,2125-Bryant-St-APT-318-San-Francisco-CA-94110,2105095668
35,2830-22nd-St-3-San-Francisco-CA-94110,2101536041
36,2405-Folsom-St-APT-4-San-Francisco-CA-94110,89236923
37,44-Sanchez-St-San-Francisco-CA-94114,15142857
38,4251-4253-23RD-St-San-Francisco-CA-94114,15131692
39,1129-Carolina-St-B-San-Francisco-CA-94107,59740781
40,2722-Folsom-St-San-Francisco-CA-94110,2101194479
41,4130-21st-St-San-Francisco-CA-94114,15130375
42,80-Alvarado-St-San-Francisco-CA-94110,2101161411
43,14-Dehon-St-San-Francisco-CA-94114,2102174264
44,2750-Harrison-St-TOP-San-Francisco-CA-94110,2101151416
45,354-Utah-St-San-Francisco-CA-94103,2101151418
46,260-Castro-St-San-Francisco-CA-94114,15127089
47,4096-17th-St-APT-309-San-Francisco-CA-94114,15127559
48,66-Rondel-Pl-San-Francisco-CA-94103,15143880
49,2-Church-St-San-Francisco-CA-94114,2101158129
50,1078-York-St-San-Francisco-CA-94110,2101170147
51,861-Rhode-Island-St-861-San-Francisco-CA-94107,2101170146
52,1146-York-St-San-Francisco-CA-94110,2101355432
53,843-S-Van-Ness-Ave-APT-4-San-Francisco-CA-94110,64972426
54,1001-Diamond-St-San-Francisco-CA-94114,2101162043
55,1036-Potrero-Ave-APT-2-San-Francisco-CA-94110,15151396
56,80-Alvarado-Street-San-Francisco-CA-94110,2101168133
57,2722-2724-Folsom-St-San-Francisco-CA-94110,2122182567
58,262-Castro-St-San-Francisco-CA-94114,15127090
59,1269-Florida-St-San-Francisco-CA-94110,2101321623
60,615-Wisconsin-St-San-Francisco-CA-94107,15150649
61,23-Homestead-Sthomestead-St-San-Francisco-CA-94114,2101292204
62,49-51-Capp-St-San-Francisco-CA-94103,15143179
63,2225-23rd-St-APT-404-San-Francisco-CA-94107,15152105
64,2889-24th-St-APT-6-San-Francisco-CA-94110,2112729355
65,985-Sanchez-St-San-Francisco-CA-94114,15146566
66,688-S-Van-Ness-Ave-San-Francisco-CA-94110,15143978
67,308-Eureka-St-A-San-Francisco-CA-94114,63197065
68,1800-Bryant-St-STE-202-San-Francisco-CA-94110,54487721
69,1159-Church-St-San-Francisco-CA-94114,82785850
70,667-Shotwell-St-A-San-Francisco-CA-94110,123597388
71,4365-23rd-St-San-Francisco-CA-94114,15131740
72,333-Potrero-Ave-San-Francisco-CA-94103,2101156735
73,1078-1080-York-St-San-Francisco-CA-94110,15151320
74,2405-Folsom-St-4-San-Francisco-CA-94110,2101143719
75,79-Seward-St-San-Francisco-CA-94114,15129566
76,2243-15th-St-San-Francisco-CA-94114,15143670
77,3283-25th-St-San-Francisco-CA-94110,2101480503
78,451-Kansas-St-UNIT-551-San-Francisco-CA-94107,89240508
79,4318-17th-St-1-San-Francisco-CA-94114,15128173
80,145-147-Alpine-Ter-San-Francisco-CA-94117,89240567
81,2927-Folsom-St-San-Francisco-CA-94110,2130831075
82,56-Sanchez-St-San-Francisco-CA-94114,2101602706
83,3883-18th-St-San-Francisco-CA-94114,69819101
84,451-Kansas-St-UNIT-378-San-Francisco-CA-94107,89238025
85,429-Douglass-St-San-Francisco-CA-94114,15130344
86,347-Noe-St-San-Francisco-CA-94114,15143758
87,2101-Bryant-St-APT-306-San-Francisco-CA-94110,111711190
88,178-Albion-St-188-San-Francisco-CA-94110,2101169262
89,8-Buchanan-St-San-Francisco-CA-94102,2102937477
90,172-Cypress-St-San-Francisco-CA-94110,2101735045
91,35-37-Sanchez-St-San-Francisco-CA-94114,15142776
92,4376-21st-St-San-Francisco-CA-94114,15130494
93,4622-18th-St-San-Francisco-CA-94114,89236833
94,1015-Rhode-Island-St-San-Francisco-CA-94107,15151520
95,2200-Market-St-APT-401-San-Francisco-CA-94114,2101225778
96,4545-19th-St-San-Francisco-CA-94114,15129551
97,633-Castro-St-San-Francisco-CA-94114,2101411055
98,344-346-Noe-St-San-Francisco-CA-94114,2101334649
99,2851-25th-St-San-Francisco-CA-94110,15152646
100,1219-York-St-San-Francisco-CA-94110,15152416
101,1209-1211-York-St-San-Francisco-CA-94110,15152419
102,4182-20th-St-San-Francisco-CA-94114,2129176472
103,728-Alabama-St-APT-105-San-Francisco-CA-94110,80741613
104,350-Alabama-St-APT-9-San-Francisco-CA-94110,64971642
105,816-Dolores-St-San-Francisco-CA-94110,15146109
106,4143-24th-St-San-Francisco-CA-94114,2101164263
107,320-Alabama-St-APT-15-San-Francisco-CA-94110,64969463
108,1587-15th-St-APT-403-San-Francisco-CA-94103,2137358149
109,3463-17th-St-A-San-Francisco-CA-94110,2124543463
110,251-14th-St-San-Francisco-CA-94103,123597804
111,355-Buena-Vista-Ave-E-UNIT-506W-San-Francisco-CA-94117,2101151890
112,131-133-Arkansas-St-San-Francisco-CA-94107,15148916
113,246-Eureka-St-San-Francisco-CA-94114,15129420
114,370-Church-St-APT-K-San-Francisco-CA-94114,15143553
115,2299-Market-St-APT-204-San-Francisco-CA-94114,2101327067
116,674-Douglass-St-San-Francisco-CA-94114,15131522
117,414-Eureka-St-San-Francisco-CA-94114,15130669
118,3775-16th-St-San-Francisco-CA-94114,15127455
119,997-Carolina-St-San-Francisco-CA-94107,15151630
120,330-Shotwell-St-San-Francisco-CA-94110,2101290279
121,2169-Folsom-St-APT-S106-San-Francisco-CA-94110,2105580158
