,address,zid
0,1245-Broadway-APT-3-San-Francisco-CA-94109,2101978021
1,1565-Sacramento-St-APT-4-San-Francisco-CA-94109,53734073
2,1788-Clay-St-APT-710-San-Francisco-CA-94109,2101147490
3,1333-Jones-St-APT-1608-San-Francisco-CA-94109,63196272
4,1521-Jones-St-San-Francisco-CA-94109,2101151422
5,1029-Washington-St-San-Francisco-CA-94108,2101281522
6,1120-Clay-St-San-Francisco-CA-94108,15067701
7,1135-1143-Pacific-Ave-San-Francisco-CA-94133,2101281521
8,1731-Larkin-St-APT-4-San-Francisco-CA-94109,2101151417
9,1126-1130-Pacific-Avenue-San-Francisco-CA-94133,2101160276
10,10-Miller-Pl-APT-2400-San-Francisco-CA-94108,15068152
11,1126-Pacific-Ave-San-Francisco-CA-94133,2101159566
12,151-Bernard-Street-San-Francisco-CA-94109,2101138452
13,16-Leroy-Pl-San-Francisco-CA-94109,15068252
14,1340-Clay-St-APT-802-San-Francisco-CA-94109,15067797
15,10-Miller-Pl-APT-503-San-Francisco-CA-94108,15068113
16,1150-Sacramento-St-APT-403-San-Francisco-CA-94108,15067978
17,1027-1029-Washington-St-San-Francisco-CA-94108,15067679
18,1439-Sacramento-St-San-Francisco-CA-94109,15068291
19,1508-Jackson-St-San-Francisco-CA-94109,2104332655
20,1530-Jones-St-APT-3-San-Francisco-CA-94109,2118400951
21,42-Wayne-Place-San-Francisco-CA-94133,2101288380
22,1126-1130-Pacific-Ave-San-Francisco-CA-94133,2101148679
23,1554-1558-Jackson-St-San-Francisco-CA-94109,15073742
24,1263-1265-Clay-San-Francsico-CA-94108,2101334509
