,address,zid
0,2341-88th-Ave-Oakland-CA-94605,82831692
1,6375-Thornhill-Dr-Oakland-CA-94611,24819141
2,3078-Capp-St-Oakland-CA-94602,24768294
3,3518-Suter-St-Oakland-CA-94619,24776990
4,13416-Campus-Dr-Oakland-CA-94619,24787270
5,4001-Aqua-Vista-St-Oakland-CA-94601,24779131
6,6889-Bristol-Dr-Berkeley-CA-94705,24820753
7,3454-Loma-Vista-Ave-Oakland-CA-94619,24776616
8,2629-Kingsland-Ave-Oakland-CA-94619,24783023
9,3012-California-St-Oakland-CA-94602,24770542
10,311-Oak-St-APT-314-Oakland-CA-94607,63083441
11,6700-Moore-Dr-Oakland-CA-94611,24815402
12,3115-Monticello-Ave-Oakland-CA-94619,24782619
13,2622-73rd-Ave-Oakland-CA-94605,24793087
14,1511-Jefferson-St-UNIT-201-Oakland-CA-94612,79538564
15,8863-Skyline-Blvd-Oakland-CA-94611,24814975
16,1692-15th-St-Oakland-CA-94607,24740776
17,6371-Sunnymere-Ave-Oakland-CA-94605,24786078
18,3106-Guido-St-Oakland-CA-94602,24771982
19,6434-Herzog-St-Oakland-CA-94608,24757332
20,5653-Gaskill-St-Oakland-CA-94608,24754643
21,5833-Pinewood-Rd-Oakland-CA-94611,24818037
22,6170-Old-Quarry-Loop-Oakland-CA-94605,82843641
23,2860-Montana-St-Oakland-CA-94602,24769647
24,362-60th-St-Oakland-CA-94618,24756334
25,1286-61st-Ave-Oakland-CA-94621,24795565
26,2546-79th-Ave-Oakland-CA-94605,24792619
27,7891-Shepherd-Canyon-Rd-Oakland-CA-94611,2101255290
28,5135-Manila-Ave-Oakland-CA-94618,24752963
29,5567-Thomas-Ave-Oakland-CA-94618,24810251
30,2586-Foothill-Blvd-Oakland-CA-94601,24766312
31,831-Rosemount-Rd-Oakland-CA-94610,24747139
32,3463-Margarita-Ave-Oakland-CA-94605,24799999
33,1511-Jefferson-St-UNIT-313-Oakland-CA-94612,79535472
34,9840-E-St-Oakland-CA-94603,82841063
35,2463-Truman-Ave-Oakland-CA-94605,24807664
36,3030-Coolidge-Ave-Oakland-CA-94602,24768508
37,1115-Campbell-St-Oakland-CA-94607,24740389
38,6051-Margarido-Dr-Oakland-CA-94618,24811663
39,6595-Exeter-Dr-Oakland-CA-94611,2101264316
40,6647-Exeter-Dr-Oakland-CA-94611,2101264317
41,6261-Melville-Dr-Oakland-CA-94611,24814297
42,417-Taurus-Ave-Oakland-CA-94611,24818457
43,4075-Kuhnle-Ave-Oakland-CA-94605,24786598
44,1729-36th-Avenue-And-3527-East-18th-St-Oakland-CA-94601,2101247300
45,6639-Armour-Dr-Oakland-CA-94611,24817128
46,8215-Golf-Links-Rd-Oakland-CA-94605,24799200
47,655-12th-St-APT-202-Oakland-CA-94607,63083627
48,213-7th-St-Oakland-CA-94607,24737508
49,8057-Greenly-Dr-Oakland-CA-94605,24794667
50,8041-Greenly-Dr-Oakland-CA-94605,24794665
51,1072-Aileen-St-Emeryville-CA-94608,2105494395
52,7-Lauriston-Ct-LOT-3047-Oakland-CA-94611,2104338089
53,4140-Redding-St-Oakland-CA-94619,24776724
54,6357-Westover-Dr-Oakland-CA-94611,24815273
55,8936-Seneca-St-Oakland-CA-94605,24799449
56,3442-Suter-St-Oakland-CA-94602,24770271
57,1416-Market-St-A-Oakland-CA-94607,24738681
58,1460-34th-St-Oakland-CA-94608,89030061
59,10014-Pippin-St-Oakland-CA-94603,24802304
60,10541-Link-St-Oakland-CA-94603,24806337
61,0-Russell-Ave-Oakland-CA-94605,2101480504
