,address,zid
0,3010-Sacramento-St-APT-3-San-Francisco-CA-94115,2101219501
1,1735-Franklin-St-San-Francisco-CA-94109,15074834
2,2003-Lyon-St-San-Francisco-CA-94115,15081848
3,1770-Pacific-Ave-APT-402-San-Francisco-CA-94109,15072962
4,1641-Green-St-San-Francisco-CA-94123,15072193
5,1950-Gough-St-APT-402-San-Francisco-CA-94109,15074309
6,(Undisclosed-Address)-San-Francisco-CA-94115,2101630658
7,1895-Pacific-Ave-APT-506-San-Francisco-CA-94109,15073657
8,2505-Gough-St-APT-1-San-Francisco-CA-94123,2101195284
9,1835-Franklin-St-APT-201-San-Francisco-CA-94109,15074246
10,400-Presidio-St-San-Pablo-CA-94806,68041908
11,2131-Vallejo-St-APT-3-San-Francisco-CA-94123,15072674
12,2505-Gough-St-APT-3-San-Francisco-CA-94123,2101186968
13,2615-Sacramento-St-San-Francisco-CA-94115,2101291963
14,2323-Franklin-St-San-Francisco-CA-94123,2106350341
15,2505-Gough-St-APT-2-San-Francisco-CA-94123,2101188382
16,2829-Green-St-San-Francisco-CA-94123,59779303
17,1998-Pacific-Ave-APT-203-San-Francisco-CA-94109,15073045
18,(Undisclosed-Address)-San-Francisco-CA-94115,2101297787
19,2411-Broadway-St-San-Francisco-CA-94115,15073344
20,2505-Gough-St-San-Francisco-CA-94123,15072217
21,2186-Vallejo-St-APT-1-San-Francisco-CA-94123,15072359
22,2610-Scott-St-San-Francisco-CA-94123,15072515
23,2040-Franklin-Street-1106-1106-San-Francisco-CA-94109,2101194965
24,2063-Broadway-Street-San-Francisco-CA-94115,2101302590
25,2040-Franklin-Street-604-604-San-Francisco-CA-94109,2101194964
26,1925-Pacific-Ave-APT-3-San-Francisco-CA-94109,15073535
27,2447-Vallejo-St-APT-2-San-Francisco-CA-94123,15072555
28,2170-Jackson-St-4-San-Francisco-CA-94115,80742421
29,1800-Sacramento-St-San-Francisco-CA-94109,2101173129
30,322-Presidio-Ave-APT-1-San-Francisco-CA-94115,15082160
31,2117-Broadway-St-San-Francisco-CA-94115,63196659
32,2288-Broadway-St-4-San-Francisco-CA-94115,63196616
33,2299-Sacramento-St-APT-21-San-Francisco-CA-94115,15074767
34,1855-Sacramento-St-San-Francisco-CA-94109,2142505120
35,3144-Clay-St-3144-San-Francisco-CA-94115,15081887
36,1824-Jackson-St-APT-E-San-Francisco-CA-94109,15073590
37,2150-Vallejo-Street-2-2-San-Francisco-CA-94123,2101161874
38,2200-Pacific-Ave-APT-6D-San-Francisco-CA-94115,15073236
39,2619-Sacramento-St-San-Francisco-CA-94115,2101807538
40,2008-Vallejo-St-San-Francisco-CA-94123,15072303
41,2660-Scott-St-San-Francisco-CA-94123,15072504
42,2263-2269-Sacramento-Street-San-Francisco-CA-94115,2101590881
