,address,zid
0,850-E-Greenwich-Pl-Palo-Alto-CA-94303,19469895
1,2570-Webster-St-Palo-Alto-CA-94301,19501512
2,1153-Donner-Ln-902-Palo-Alto-CA-94303,2101767860
3,1235-Alma-St-Palo-Alto-CA-94301,19496988
4,3596-Louis-Rd-Palo-Alto-CA-94303,19498641
5,4180-Manuela-Ave-Palo-Alto-CA-94306,19526670
6,101-Alma-St-APT-406-Palo-Alto-CA-94301,19495749
7,4250-El-Camino-Real-APT-A310-Palo-Alto-CA-94306,19524217
8,271-Stanford-Ave-Palo-Alto-CA-94306,19497656
9,101-Alma-406-Palo-Alto-CA-94301,2101177043
10,555-Chaucer-St-Palo-Alto-CA-94301,19466896
11,4099-Middlefield-Rd-Palo-Alto-CA-94303,19499026
12,344-Grant-Ave-Palo-Alto-CA-94306,19497847
13,3333-3335-Park-Blvd-Palo-Alto-CA-94306,2101309015
14,2391-Sierra-Ct-Palo-Alto-CA-94303,19469311
15,1820-Ash-St-Palo-Alto-CA-94306,19497733
16,789-Northampton-Dr-Palo-Alto-CA-94303,2101178350
17,365-W-Charleston-Rd-Palo-Alto-CA-94306,19509303
18,589-Coleridge-Ave-Palo-Alto-CA-94301,19496162
19,2783-Randers-Ct-Palo-Alto-CA-94303,112090768
20,1565-Webster-St-Palo-Alto-CA-94301,19496160
21,3851-Nathan-Way-Palo-Alto-CA-94303,19498692
22,1832-Channing-Ave-Palo-Alto-CA-94303,19468940
23,303-Creekside-Dr-Palo-Alto-CA-94306,19508667
24,475-Oxford-Ave-Palo-Alto-CA-94306,19497788
25,907-Clara-Dr-Palo-Alto-CA-94303,19500144
26,3363-Louis-Rd-Palo-Alto-CA-94303,19499183
27,3182-Berryessa-St-1106-Palo-Alto-CA-94303,2101420657
28,444-San-Antonio-Rd-APT-1B-Palo-Alto-CA-94306,19510434
29,3650-La-Calle-Ct-Palo-Alto-CA-94306,19505642
30,4264-Wilkie-Way-Palo-Alto-CA-94306,112091981
31,2991-Alexis-Dr-Palo-Alto-CA-94304,19529059
32,820-Richardson-Ct-Palo-Alto-CA-94303,19499429
33,3665-Ramona-Cir-Palo-Alto-CA-94306,19503321
34,2260-Middlefield-Rd-Palo-Alto-CA-94301,19496369
35,1420-University-Ave-Palo-Alto-CA-94301,19466870
36,3333-Park-Blvd-Palo-Alto-CA-94306,19503147
37,335-Everett-Ave-Palo-Alto-CA-94301,19495186
38,758-Center-Dr-Palo-Alto-CA-94301,19467700
39,255-W-Charleston-Rd-Palo-Alto-CA-94306,19509056
40,185-Forest-Ave-APT-2B-Palo-Alto-CA-94301,19495998
41,1116-Ramona-St-Palo-Alto-CA-94301,19495618
42,738-De-Soto-Dr-Palo-Alto-CA-94303,19468099
43,602-Chimalus-Dr-Palo-Alto-CA-94306,19505064
44,788-Cereza-Dr-Palo-Alto-CA-94306,19505993
45,1465-Edgewood-Dr-Palo-Alto-CA-94301,19467030
46,634-Fulton-St-Palo-Alto-CA-94301,19468254
47,3153-Alma-St-Palo-Alto-CA-94306,19503223
48,280-Waverley-St-Palo-Alto-CA-94301,19495108
49,141-S-California-Ave-STE-B306-Palo-Alto-CA-94306,19497875
50,459-Homer-Ave-APT-8-Palo-Alto-CA-94301,19495867
51,1509-Edgewood-Dr-Palo-Alto-CA-94303,19467076
52,2451-Ross-Rd-Palo-Alto-CA-94303,19499818
53,890-Robb-Rd-Palo-Alto-CA-94306,19526681
54,2150-Oberlin-St-Palo-Alto-CA-94306,19504712
55,2320-Tasso-St-Palo-Alto-CA-94301,19496705
56,3432-Greer-Rd-Palo-Alto-CA-94303,19500078
57,1061-Alma-Street-Palo-Alto-CA-94301,2103965148
58,2088-Channing-Ave-Palo-Alto-CA-94303,2102791789
59,170-Hawthorne-Ave-Palo-Alto-CA-94301,19495496
60,4194-Oak-Hill-Ave-Palo-Alto-CA-94306,19526661
61,390-Margarita-Ave-Palo-Alto-CA-94306,19503646
62,1122-Tahoe-Ln-1004-Palo-Alto-CA-94303,2101766887
63,672-Melville-Ave-Palo-Alto-CA-94301,19494861
64,560-Miramonte-Ave-Palo-Alto-CA-94306,19497479
65,2281-Byron-St-Palo-Alto-CA-94301,19496387
66,1400-Cowper-St-Palo-Alto-CA-94301,19495372
67,631-Forest-Ave-Palo-Alto-CA-94301,19495824
68,1128-Tahoe-Ln-Palo-Alto-CA-94303,112097389
69,27040-Old-Trace-Ln-Los-Altos-Hills-CA-94022,19527446
70,425-Alma-St-APT-311-Palo-Alto-CA-94301,19496116
71,628-Georgia-Ave-Palo-Alto-CA-94306,19506368
72,3930-Ventura-Ct-Palo-Alto-CA-94306,19503721
73,1058-Loma-Verde-Ave-Palo-Alto-CA-94303,19498561
74,3289-Berryessa-St-405-Palo-Alto-CA-94303,2101420658
75,3711-Heron-Way-Palo-Alto-CA-94303,94697896
76,959-Channing-Ave-Palo-Alto-CA-94301,19467957
77,1531-University-Ave-Palo-Alto-CA-94301,19466960
