,address,zid
0,1315-Kansas-St-San-Francisco-CA-94107,2101284331
1,451-Kansas-St-UNIT-368-San-Francisco-CA-94107,89237753
2,451-Kansas-St-UNIT-378-San-Francisco-CA-94107,89238025
3,861-Rhode-Island-St-San-Francisco-CA-94107,15150459
4,1623-18th-St-San-Francisco-CA-94107,15149401
5,451-Kansas-St-UNIT-631-San-Francisco-CA-94107,89240177
6,1015-Rhode-Island-St-San-Francisco-CA-94107,15151520
7,615-Wisconsin-St-San-Francisco-CA-94107,15150649
8,1123-Carolina-St-San-Francisco-CA-94107,15152168
9,997-Carolina-St-San-Francisco-CA-94107,15151630
10,898-Carolina-St-San-Francisco-CA-94107,15150493
11,999-16th-St-APT-17-San-Francisco-CA-94107,80748857
12,301-Rhode-Island-Street-B-20-San-Francisco-CA-94103,2101979807
13,1129-Carolina-St-B-San-Francisco-CA-94107,59740781
14,2225-23rd-St-APT-404-San-Francisco-CA-94107,15152105
15,131-133-Arkansas-St-San-Francisco-CA-94107,15148916
16,553-Pennsylvania-Ave-553-San-Francisco-CA-94107,15150935
17,451-Kansas-St-UNIT-551-San-Francisco-CA-94107,89240508
18,861-Rhode-Island-St-861-San-Francisco-CA-94107,2101170146
19,451-Kansas-St-UNIT-419-San-Francisco-CA-94107,89239205
20,1319-19th-St-San-Francisco-CA-94107,2119578259
