,address,zid
0,50-Horgan-Ave-APT-12-Redwood-City-CA-94061,15635926
1,3612-Hoover-St-Redwood-City-CA-94063,15568380
2,3-Buccaneer-Lane-Redwood-Shores-CA-94065,2101155536
3,3651-Glenwood-Ave-Redwood-City-CA-94062,15571985
4,635-Laurel-St-Redwood-City-CA-94063,82804464
5,460-King-St-Redwood-City-CA-94062,15564799
6,275-Sylvan-Way-Emerald-Hills-CA-94062,15570914
7,602-Ruby-St-Redwood-City-CA-94061,15573778
8,44-Dockside-Cir-Redwood-City-CA-94065,15618190
9,1219-Arguello-St-Redwood-City-CA-94063,15564430
10,831-Canyon-Rd-Redwood-City-CA-94062,15574897
11,248-Hillview-Ave-Redwood-City-CA-94062,15573249
12,434-Roosevelt-Ave-Redwood-City-CA-94061,15565527
13,1142-Chesterton-Ave-Redwood-City-CA-94061,15575783
14,14-Spinnaker-Pl-Redwood-City-CA-94065,15617177
15,877-Boardwalk-Pl-Redwood-City-CA-94065,15637304
16,310-Genoa-Dr-Redwood-City-CA-94065,2101521641
17,601-Spring-St-Redwood-City-CA-94063,15566026
18,354-Encina-Ave-Redwood-City-CA-94061,15576784
19,178-Opal-Ave-Redwood-City-CA-94062,15573017
20,1336-Hancock-St-Redwood-City-CA-94063,15566599
21,823-Shepard-Way-Redwood-City-CA-94062,15571678
22,105-Atherwood-Ave-Redwood-City-CA-94061,64626836
23,211-Keech-Dr-Redwood-City-CA-94065,2101347596
24,103-Moonbeam-Ln-Redwood-City-CA-94065,15618734
25,406-Promenade-Ln-Redwood-City-CA-94065,15618905
26,425-Cork-Harbour-Cir-APT-G-Redwood-City-CA-94065,15637178
27,None-Skyline-Woodside-CA-94062,2101383072
28,122-Buckeye-St-Redwood-City-CA-94063,15566526
29,506-Oak-Ave-Redwood-City-CA-94061,15565683
30,2442-Harding-Ave-Redwood-City-CA-94062,15574817
31,1227-Arguello-St-Redwood-City-CA-94063,15564432
32,980-Round-Hill-Rd-Redwood-City-CA-94061,15572543
33,585-Anchor-Cir-Redwood-City-CA-94065,15617426
34,2428-Jefferson-Ave-Redwood-City-CA-94062,15573659
35,263-Myrtle-St-Redwood-City-CA-94062,15564100
36,1123-Lyons-St-Redwood-City-CA-94061,15574318
37,1671-Sierra-St-Redwood-City-CA-94061,15576472
38,127-Atherwood-Ave-Redwood-City-CA-94061,15577575
39,3980-Lonesome-Pine-Road-Redwood-City-CA-94061,2101373124
40,400-Saint-Martin-Dr-Redwood-City-CA-94065,15618425
41,100-Danbury-Ln-Redwood-City-CA-94061,15578429
42,784-Arguello-St-784-Redwood-City-CA-94063,2102643075
43,303-Louis-Ln-Redwood-City-CA-94063,15639082
44,425-Hillcrest-Dr-Redwood-City-CA-94062,15574799
45,1614-Hudson-St-APT-318-Redwood-City-CA-94061,15636605
46,160-E-St-Redwood-City-CA-94063,15563319
47,822-Lakeshore-Dr-Redwood-City-CA-94065,15637712
48,1716-Whipple-Ave-Redwood-City-CA-94062,15563156
49,0-Madrone-Ave-Woodside-CA-94062,2107190213
50,3125-Page-St-Redwood-City-CA-94063,15567603
51,789-Hillcrest-Dr-Redwood-City-CA-94062,2101280396
52,144-E-St-Redwood-City-CA-94063,15563317
53,1969-Kentucky-St-Redwood-City-CA-94061,15591960
54,410-Krystallos-Ln-Redwood-City-CA-94065,15618992
55,8-Chart-Ln-Redwood-City-CA-94065,15638376
56,163-Somerset-St-Redwood-City-CA-94062,15562971
57,996-Edgecliff-Way-Redwood-City-CA-94061,15572632
58,601-Leahy-St-APT-105-Redwood-City-CA-94061,15635385
59,1-Waterside-Cir-Redwood-City-CA-94065,15618005
60,1140-Whipple-Ave-APT-25-Redwood-City-CA-94062,15635738
61,1-Botany-Ct-Emerald-Hills-CA-94062,15572065
62,105-Nueva-Ave-Redwood-City-CA-94061,15576652
63,4008-Farm-Hill-Blvd-APT-104-Redwood-City-CA-94061,15634374
64,2610-Carson-St-Redwood-City-CA-94061,15575895
65,418-Alameda-De-Las-Pulgas-Redwood-City-CA-94062,15574691
66,417-Cork-Harbour-Cir-APT-H-Redwood-City-CA-94065,15637193
67,638-Scott-Ave-Redwood-City-CA-94063,15566835
68,1662-Anamor-St-Redwood-City-CA-94061,15591405
69,1040-Lakeview-Way-Emerald-Hills-CA-94062,15571826
70,464-Clinton-St-APT-402-Redwood-City-CA-94062,15638815
71,680-Glenloch-Way-Emerald-Hills-CA-94062,2101806386
72,0-Lawler-Ranch-Rd-Woodside-CA-94062,2103466145
73,464-Clinton-St-APT-311-Redwood-City-CA-94062,15638813
74,429-Oak-Ave-Redwood-City-CA-94061,15566241
75,20-Woodleaf-Ave-Redwood-City-CA-94061,15590553
76,1133-Ebener-St-Redwood-City-CA-94061,15565696
77,Los-Cerros-Redwood-City-CA-94062,2101847706
78,548-Flynn-Ave-Redwood-City-CA-94063,15566660
79,2079-Idaho-Ct-Redwood-City-CA-94061,15591948
80,302-Oak-Ave-Redwood-City-CA-94061,15565771
81,32-Alameda-De-Las-Pulgas-Redwood-City-CA-94062,15560064
82,33-Westgate-St-Redwood-City-CA-94062,58660799
83,617-Macarthur-Ave-Redwood-City-CA-94063,15567116
84,1811-Maddux-Dr-Redwood-City-CA-94061,15591863
85,3-Buccaneer-Ln-Redwood-City-CA-94065,15638314
86,336-Orchard-Ave-Redwood-City-CA-94061,15576798
87,507-Sealight-Ln-Redwood-City-CA-94065,15618893
88,125-Hemlock-Ave-Redwood-City-CA-94061,15566490
89,3830-Bret-Harte-Dr-Redwood-City-CA-94061,15572675
90,3241-Hoover-St-Redwood-City-CA-94063,15567628
91,1743-Maryland-St-Redwood-City-CA-94061,15591656
92,830-Chatsworth-Ln-Redwood-City-CA-94061,15578343
93,1515-Brewster-Ave-Redwood-City-CA-94062,15564379
94,4000-Farm-Hill-Blvd-APT-101-Redwood-City-CA-94061,15634311
95,500-Baltic-Cir-UNIT-536-Redwood-City-CA-94065,15638899
96,420-Cedar-St-Redwood-City-CA-94063,15565921
97,616-Douglas-Ave-Redwood-City-CA-94063,15567103
98,3775-Red-Oak-Way-Redwood-City-CA-94061,15572271
99,1143-Virginia-Ave-Redwood-City-CA-94061,15573991
100,49-Orchard-Ave-Redwood-City-CA-94061,15576678
101,226-Shorebird-Ci-Cir-Redwood-City-CA-94065,2101197462
102,882-Boardwalk-Pl-Redwood-City-CA-94065,15637271
103,321-Spring-St-Redwood-City-CA-94063,15565995
104,1904-Roosevelt-Ave-Redwood-City-CA-94061,15573951
105,467-Madison-Ave-Redwood-City-CA-94061,15565263
106,164-Poplar-Ave-Redwood-City-CA-94061,15566322
107,129-Oakdale-St-Redwood-City-CA-94062,15563114
108,010-Fernside-Redwood-City-CA-94061,2101842737
109,3708-Country-Club-Dr-Redwood-City-CA-94061,15572487
110,5-Woodridge-Court-Redwood-City-CA-94061,2103336787
111,1026-Vera-Ave-Redwood-City-CA-94061,15564987
112,1115-Haven-Ave-Redwood-City-CA-94063,15567739
113,823-Breeze-Pl-Redwood-City-CA-94062,15574828
