,address,zid
0,225-Boardwalk-Ave-APT-C-San-Bruno-CA-94066,15622725
1,230-Merced-Dr-San-Bruno-CA-94066,15492935
2,2940-Saint-Cloud-Dr-San-Bruno-CA-94066,15491946
3,1126-Cherry-Ave-APT-42-San-Bruno-CA-94066,111437630
4,8223-Shelter-Creek-Ln-San-Bruno-CA-94066,15624622
5,1193-Mongomery-San-Bruno-CA-94066,2101541566
6,3807-Adriatic-Way-San-Bruno-CA-94066,68555109
7,229-San-Anselmo-Ave-N-San-Bruno-CA-94066,15499042
8,7125-Shelter-Creek-Ln-San-Bruno-CA-94066,15624409
9,145-Piccadilly-Pl-APT-C-San-Bruno-CA-94066,15623331
10,1-Appian-Way-APT-703-8-South-San-Francisco-CA-94080,15620580
11,877-6th-Ave-San-Bruno-CA-94066,15496823
12,724-5th-Ave-San-Bruno-CA-94066,15496902
13,3504-Bering-Dr-San-Bruno-CA-94066,63153966
14,2781-Saint-Cloud-Dr-San-Bruno-CA-94066,15491966
15,208-Marbella-Ln-San-Bruno-CA-94066,82951303
16,170-Tehama-Ct-San-Bruno-CA-94066,15492526
17,519-Maple-Ave-San-Bruno-CA-94066,15497612
18,841-6th-Ave-San-Bruno-CA-94066,15496828
19,572-Skyline-Blvd-San-Bruno-CA-94066,15495291
20,936-Easton-Ave-San-Bruno-CA-94066,15496310
21,145-Piccadilly-Pl-APT-E-San-Bruno-CA-94066,15623333
22,2771-Fleetwood-Dr-San-Bruno-CA-94066,15490825
23,1126-Cherry-Ave-APT-31-San-Bruno-CA-94066,15622522
24,4121-Shelter-Creek-Ln-San-Bruno-CA-94066,15623920
25,110-San-Antonio-Ave-San-Bruno-CA-94066,15500767
26,540-7th-Ave-San-Bruno-CA-94066,15497015
27,545-2nd-Ave-San-Bruno-CA-94066,15497407
28,2921-Fleetwood-Dr-San-Bruno-CA-94066,15490642
29,435-Hawthorne-Ave-San-Bruno-CA-94066,15497520
30,1031-Cherry-Ave-APT-3-San-Bruno-CA-94066,15621170
31,3271-Susan-Dr-San-Bruno-CA-94066,15491645
32,372-Acacia-Ave-San-Bruno-CA-94066,15498430
33,2390-Whitman-Way-San-Bruno-CA-94066,15494810
34,1193-Montgomery-Ave-San-Bruno-CA-94066,2101254979
35,585-Green-Ave-San-Bruno-CA-94066,15496760
36,156-Anza-Way-San-Bruno-CA-94066,15498796
37,150-Colusa-Ct-San-Bruno-CA-94066,15493004
38,860-Reid-Ave-San-Bruno-CA-94066,15496046
39,917-Mills-Ave-San-Bruno-CA-94066,2120607570
40,734-3rd-Ave-San-Bruno-CA-94066,15497196
41,3248-Shelter-Creek-Ln-San-Bruno-CA-94066,15623839
42,318-Goodwin-Dr-San-Bruno-CA-94066,15492604
43,4252-Shelter-Creek-Ln-San-Bruno-CA-94066,15624004
44,155-Sylvan-Ave-San-Bruno-CA-94066,15499158
45,270-Lake-Dr-San-Bruno-CA-94066,15492825
46,449-E-Angus-Avenue-San-Bruno-CA-94066,2101740572
47,3951-Pacific-Heights-Blvd-San-Bruno-CA-94066,15490166
48,60-Shelter-Creek-Ln-San-Bruno-CA-94066,15495480
49,243-Elm-Ave-San-Bruno-CA-94066,15499271
50,20-Atlantic-Ave-San-Bruno-CA-94066,15488855
51,1861-Donner-Ave-San-Bruno-CA-94066,15498491
52,1031-Cherry-Ave-APT-55-San-Bruno-CA-94066,15621221
53,832-2nd-Ave-San-Bruno-CA-94066,15497145
54,2740-Plymouth-Way-San-Bruno-CA-94066,15493913
55,413-Piccadilly-Pl-APT-12-San-Bruno-CA-94066,15623133
56,5212-Shelter-Creek-Ln-San-Bruno-CA-94066,15624130
57,729-Easton-Ave-San-Bruno-CA-94066,15496590
58,3800-Fleetwood-Dr-San-Bruno-CA-94066,15491815
59,470-Kains-Ave-San-Bruno-CA-94066,15496595
60,2200-Trenton-Dr-San-Bruno-CA-94066,15494536
61,1-Appian-Way-APT-703-11-South-San-Francisco-CA-94080,15620578
62,835-Masson-Ave-San-Bruno-CA-94066,15496454
63,3841-Adriatic-Way-San-Bruno-CA-94066,63158020
64,280-Amador-Ave-San-Bruno-CA-94066,15492858
65,241-Boardwalk-Ave-APT-A-San-Bruno-CA-94066,15622890
66,2600-Cottonwood-Dr-San-Bruno-CA-94066,15490650
67,160-El-Camino-Real-San-Bruno-CA-94066,2101186967
68,560-Cherry-Ave-San-Bruno-CA-94066,15497698
69,760-Cedar-Ave-San-Bruno-CA-94066,15495579
