,address,zid
0,2141-Sheraton-Dr-Santa-Clara-CA-95050,19557161
1,978-Leith-Ave-Santa-Clara-CA-95054,19487866
2,418-Greenwood-Dr-Santa-Clara-CA-95054,19488292
3,2522-Borax-Dr-Santa-Clara-CA-95051,19552894
4,2508-Borax-Dr-Santa-Clara-CA-95051,19552897
5,2230-Santa-Cruz-Ave-Santa-Clara-CA-95051,19555080
6,531-Hilmar-St-Santa-Clara-CA-95050,19557995
7,904-Madison-St-Santa-Clara-CA-95050,19580045
8,1378-Las-Palmas-Dr-Santa-Clara-CA-95051,19594603
9,2109-Main-St-Santa-Clara-CA-95050,19556669
10,3122-Mckinley-Dr-Santa-Clara-CA-95051,19602180
11,1485-Oliver-Pl-Santa-Clara-CA-95051,64520275
12,3901-Lick-Mill-Blvd-APT-318-Santa-Clara-CA-95054,69300202
13,770-Cornell-Dr-Santa-Clara-CA-95051,19597998
14,1461-Main-St-APT-1-Santa-Clara-CA-95050,69302234
15,4656-Armour-Dr-Santa-Clara-CA-95054,19487571
16,756-Malarin-Ave-Santa-Clara-CA-95050,19599750
17,1875-Fillmore-St-Santa-Clara-CA-95050,19557623
18,821-Hilmar-St-Santa-Clara-CA-95050,19581161
19,3901-Lick-Mill-Blvd-APT-150-Santa-Clara-CA-95054,69300119
20,1791-Briarwood-Dr-Santa-Clara-CA-95051,19553690
21,1315-Dunnock-Way-Sunnyvale-CA-94087,19613591
22,2250-Monroe-St-APT-229-Santa-Clara-CA-95050,64534811
23,3121-Atherton-Dr-Santa-Clara-CA-95051,19601576
24,2972-Orthello-Way-Santa-Clara-CA-95051,19595020
25,2600-Cortez-Dr-UNIT-6102-Santa-Clara-CA-95051,79847465
26,3705-Terstena-Pl-APT-112-Santa-Clara-CA-95051,19550846
27,1147-Fairfield-Ave-Santa-Clara-CA-95050,19579657
28,2941-Mark-Ave-Santa-Clara-CA-95051,19555637
29,936-Kiely-Blvd-UNIT-B-Santa-Clara-CA-95051,19596832
30,2095-Cabrillo-Ave-Santa-Clara-CA-95050,19556591
31,2718-Pruneridge-Ave-Santa-Clara-CA-95051,122248373
32,4644-Mangrum-Dr-Santa-Clara-CA-95054,19487544
33,1183-Agnew-Rd-113-Santa-Clara-CA-95054,2101337105
34,1090-Essex-Ave-Sunnyvale-CA-94089,19492372
35,809-Lippert-Pl-Santa-Clara-CA-95050,89475173
36,283-Maria-St-Santa-Clara-CA-95050,19580931
37,2411-Pilot-Knob-Dr-Santa-Clara-CA-95051,19552515
38,1400-Bowe-Ave-APT-1606-Santa-Clara-CA-95051,19597449
39,1611-Main-St-Santa-Clara-CA-95050,19556973
40,2440-Benton-St-Santa-Clara-CA-95051,19595620
41,4131-Davis-St-Santa-Clara-CA-95054,19490562
42,3023-Homestead-Rd-Santa-Clara-CA-95051,19595456
43,2219-Monterey-Ave-Santa-Clara-CA-95051,19555196
44,2408-Loma-Vista-Ln-Santa-Clara-CA-95051,19553284
45,3431-Bella-Vista-Ave-Santa-Clara-CA-95051,19554228
46,2171-San-Antonio-Pl-Santa-Clara-CA-95051,19555155
47,2045-Jackson-St-Santa-Clara-CA-95050,19556762
48,4705-Armour-Dr-Santa-Clara-CA-95054,19487559
49,151-Buckingham-Dr-UNIT-226-Santa-Clara-CA-95051,19601211
50,618-Enos-Ct-Santa-Clara-CA-95051,19600163
51,1730-Halford-Ave-APT-343-Santa-Clara-CA-95051,19551130
52,985-Las-Palmas-Dr-Santa-Clara-CA-95051,19595612
53,4403-Cheeney-St-Santa-Clara-CA-95054,19490373
54,1822-Eisenhower-Dr-Santa-Clara-CA-95054,19487710
55,2546-Glade-Dr-Santa-Clara-CA-95051,19552871
56,2553-Pebble-Beach-Dr-Santa-Clara-CA-95051,19552406
57,3782-Flora-Vista-Ave-Santa-Clara-CA-95051,19596673
58,1819-Clay-St-Santa-Clara-CA-95050,19579249
59,2550-Castello-Way-Santa-Clara-CA-95051,19553136
60,2191-Bowers-Ave-Santa-Clara-CA-95051,19552032
61,1425-S-Mary-Ave-Sunnyvale-CA-94087,19622660
62,3264-Humbolt-Ave-Santa-Clara-CA-95051,19595076
63,2298-Alcalde-St-Santa-Clara-CA-95054,19491889
64,815-Bond-Pl-Santa-Clara-CA-95051,19595368
65,2768-Taft-Ave-Santa-Clara-CA-95051,19600425
66,3460-Bonita-Ave-Santa-Clara-CA-95051,19554343
67,3901-Lick-Mill-Blvd-APT-355-Santa-Clara-CA-95054,69300233
68,4390-Bassett-St-Santa-Clara-CA-95054,19490465
69,2752-Lyle-Ct-Santa-Clara-CA-95051,19551656
70,151-Buckingham-Dr-UNIT-285-Santa-Clara-CA-95051,19601016
71,1721-Washington-St-Santa-Clara-CA-95050,19556913
72,727-Kiely-Blvd-Santa-Clara-CA-95051,19599901
73,820-Civic-Center-Dr-Santa-Clara-CA-95050,64570338
74,2387-Fordham-Dr-Santa-Clara-CA-95051,19554928
75,148-N-Henry-Ave-Santa-Clara-CA-95050,19607573
76,2284-Avila-Ave-Santa-Clara-CA-95050,19557877
77,70-Alviso-St-Santa-Clara-CA-95050,19581640
78,2140-Kingsbury-Cir-Santa-Clara-CA-95054,54770040
79,4895-Lafayette-St-Santa-Clara-CA-95054,19488746
80,2136-Main-St-Santa-Clara-CA-95050,82953806
81,2161-Agnew-Rd-Santa-Clara-CA-95054,122189823
82,469-Roosevelt-Ave-Sunnyvale-CA-94085,19543336
83,2790-Glorietta-Cir-Santa-Clara-CA-95051,19600430
84,1770-Homestead-Rd-Santa-Clara-CA-95050,19580003
85,363-Cypress-Ave-Santa-Clara-CA-95050,19606819
86,2553-Gallup-Dr-Santa-Clara-CA-95051,19553234
87,2563-Gallup-Dr-Santa-Clara-CA-95051,19553235
88,1885-Bowers-Ave-Santa-Clara-CA-95051,19551915
89,2532-Malone-Pl-Santa-Clara-CA-95050,19599526
90,1033-Alta-Mira-Dr-APT-A-Santa-Clara-CA-95051,19596594
