,address,zid
5,609-Pond-Isle-Alameda-CA-94501,24868065
6,146-Nottingham-Dr-Alameda-CA-94502,24870600
10,1075-Jost-Ln-Alameda-CA-94502,24866661
16,1571-Buena-Vista-Ave-Alameda-CA-94501,2101154352
17,1575-Buena-Vista-Ave-Alameda-CA-94501,2101154353
18,3-Invincible-Ct-D2-Alameda-CA-94501,24872196
19,328-Magnolia-Dr-Alameda-CA-94502,24865446
26,1524-Pacific-Ave-Alameda-CA-94501,24862162
28,605-Glenwood-Isle-Alameda-CA-94501,24868086
29,1825-Shoreline-Dr-APT-114-Alameda-CA-94501,24868400
31,1401-Cottage-St-APT-F-Alameda-CA-94501,24861967
33,2209-Otis-Dr-APT-R-Alameda-CA-94501,24867973
34,1368-Versailles-Ave-Alameda-CA-94501,24858152
35,2803-Otis-Dr-Alameda-CA-94501,24855787
36,3233-San-Jose-Ave-Alameda-CA-94501,24856454
37,1728-Main-St-Alameda-CA-94501,2124342302
41,642-Centre-Ct-Alameda-CA-94502,24871662
42,2221-Harbor-Bay-Pkwy-Alameda-CA-94502,2102442997
44,5-Cove-Rd-Alameda-CA-94502,24871589
45,1022-Mound-St-Alameda-CA-94501,24856203
47,2011-Cambridge-Dr-Alameda-CA-94501,24857960
50,1311-Webster-St-APT-E100-Alameda-CA-94501,24871272
57,601-Willow-St-APT-A-Alameda-CA-94501,24868133
58,1823-Moreland-Dr-Alameda-CA-94501,24857912
63,130-Cumberland-Way-Alameda-CA-94502,24870711
67,1547-9th-St-Alameda-CA-94501,2101284493
68,2007-Lincoln-Ave-Alameda-CA-94501,24860634
69,760-Lincoln-Ave-Alameda-CA-94501,24863636
70,2800-Fernside-Blvd-Alameda-CA-94501,24857906
72,2394-Mariner-Square-Dr-E-8-Alameda-CA-94501,24873405
73,176-Purcell-Dr-Alameda-CA-94502,24871750
79,5-Washoe-Ct-Alameda-CA-94501,2124405853
81,2743-5th-St-Alameda-CA-94501,2101214743
82,2035-Otis-Dr-APT-A-Alameda-CA-94501,24868193
84,118-Shepardson-Ln-Alameda-CA-94502,24871949
85,3-Mastick-Ct-Alameda-CA-94501,24862798
89,1004-Auburn-Dr-Alameda-CA-94502,24866256
90,2612-Buena-Vista-Ave-Alameda-CA-94501,24858800
91,965-Shorepoint-Ct-APT-103-Alameda-CA-94501,24869289
93,728-Alabama-St-APT-105-San-Francisco-CA-94110,80741613
94,350-Alabama-St-APT-9-San-Francisco-CA-94110,64971642
96,2407-Harrison-St-APT-8-San-Francisco-CA-94110,2101406742
99,1286-S-Van-Ness-Ave-San-Francisco-CA-94110,2101300212
100,1587-15th-St-APT-403-San-Francisco-CA-94103,2137358149
103,251-14th-St-San-Francisco-CA-94103,123597804
104,2830-22nd-St-3-San-Francisco-CA-94110,2101536041
105,2722-Folsom-St-San-Francisco-CA-94110,2101194479
106,1800-Bryant-St-STE-202-San-Francisco-CA-94110,54487721
107,1078-1080-York-St-San-Francisco-CA-94110,15151320
109,80-Alvarado-St-San-Francisco-CA-94110,2101161411
110,2600-18th-St-STE-22-San-Francisco-CA-94110,80755226
111,2750-Harrison-St-TOP-San-Francisco-CA-94110,2101151416
113,2405-Folsom-St-4-San-Francisco-CA-94110,2141886444
114,333-Potrero-Ave-San-Francisco-CA-94103,2101156735
