,address,zid
5,609-Pond-Isle-Alameda-CA-94501,24868065
10,1075-Jost-Ln-Alameda-CA-94502,24866661
16,1571-Buena-Vista-Ave-Alameda-CA-94501,2101154352
17,1575-Buena-Vista-Ave-Alameda-CA-94501,2101154353
18,3-Invincible-Ct-D2-Alameda-CA-94501,24872196
19,328-Magnolia-Dr-Alameda-CA-94502,24865446
26,1524-Pacific-Ave-Alameda-CA-94501,24862162
28,605-Glenwood-Isle-Alameda-CA-94501,24868086
29,1825-Shoreline-Dr-APT-114-Alameda-CA-94501,24868400
31,1401-Cottage-St-APT-F-Alameda-CA-94501,24861967
33,2209-Otis-Dr-APT-R-Alameda-CA-94501,24867973
34,1368-Versailles-Ave-Alameda-CA-94501,24858152
35,2803-Otis-Dr-Alameda-CA-94501,24855787
36,3233-San-Jose-Ave-Alameda-CA-94501,24856454
37,1728-Main-St-Alameda-CA-94501,2124342302
41,642-Centre-Ct-Alameda-CA-94502,24871662
42,2221-Harbor-Bay-Pkwy-Alameda-CA-94502,2102442997
44,5-Cove-Rd-Alameda-CA-94502,24871589
45,1022-Mound-St-Alameda-CA-94501,24856203
47,2011-Cambridge-Dr-Alameda-CA-94501,24857960
50,1311-Webster-St-APT-E100-Alameda-CA-94501,24871272
57,601-Willow-St-APT-A-Alameda-CA-94501,24868133
58,1823-Moreland-Dr-Alameda-CA-94501,24857912
63,130-Cumberland-Way-Alameda-CA-94502,24870711
67,1547-9th-St-Alameda-CA-94501,2101284493
68,2007-Lincoln-Ave-Alameda-CA-94501,24860634
69,760-Lincoln-Ave-Alameda-CA-94501,24863636
70,2800-Fernside-Blvd-Alameda-CA-94501,24857906
72,2394-Mariner-Square-Dr-E-8-Alameda-CA-94501,24873405
79,5-Washoe-Ct-Alameda-CA-94501,2124405853
81,2743-5th-St-Alameda-CA-94501,2101214743
82,2035-Otis-Dr-APT-A-Alameda-CA-94501,24868193
84,118-Shepardson-Ln-Alameda-CA-94502,24871949
85,3-Mastick-Ct-Alameda-CA-94501,24862798
89,1004-Auburn-Dr-Alameda-CA-94502,24866256
90,2612-Buena-Vista-Ave-Alameda-CA-94501,24858800
91,965-Shorepoint-Ct-APT-103-Alameda-CA-94501,24869289
94,3579-Folsom-St-San-Francisco-CA-94110,2108605912
96,28-Virginia-Ave-San-Francisco-CA-94110,116156402
97,390-392-Crescent-Ave-San-Francisco-CA-94110,15164552
98,125-Highland-Ave-San-Francisco-CA-94110,111928373
100,156-Ripley-St-San-Francisco-CA-94110,52273863
103,130-Gates-St-San-Francisco-CA-94110,15161943
106,3337-Cesar-Chavez-San-Francisco-CA-94110,2102541069
107,467-Gates-St-San-Francisco-CA-94110,15163218
108,505-Franconia-St-San-Francisco-CA-94110,2133200676
109,3933-Mission-St-San-Francisco-CA-94112,2109216332
110,66-Patton-St-San-Francisco-CA-94110,111921018
111,3840-Folsom-St-San-Francisco-CA-94110,2101439995
112,364-Richland-Ave-San-Francisco-CA-94110,15164304
113,580-Prentiss-St-San-Francisco-CA-94110,15163943
114,120-122-Coleridge-St-San-Francisco-CA-94110,15161184
115,28-30-Bache-St-San-Francisco-CA-94110,15164531
116,146A-27th-St-San-Francisco-CA-94110,123598422
117,18-Prospect-Ave-San-Francisco-CA-94110,15160943
118,214-216-Richland-Ave-San-Francisco-CA-94110,15164343
120,334-Alemany-Blvd-APT-3-San-Francisco-CA-94110,2122855931
123,1497-Shotwell-St-San-Francisco-CA-94110,15160090
124,36-Nevada-St-San-Francisco-CA-94110,2118532082
125,334-Alemany-Blvd-APT-4-San-Francisco-CA-94110,2103520014
126,330-Gates-St-San-Francisco-CA-94110,15162804
127,1500-Cortland-Ave-San-Francisco-CA-94110,2101938051
129,51-Nebraska-St-San-Francisco-CA-94110,15162169
138,130-Ripley-St-San-Francisco-CA-94110,63197636
139,862-Moultrie-St-San-Francisco-CA-94110,15164585
140,348-Park-St-Moraga-CA-94556,2101153979
141,618-Precita-Ave-San-Francisco-CA-94110,15159821
143,126-Park-St-San-Francisco-CA-94110,15163684
144,390-Crescent-Ave-San-Francisco-CA-94110,2101647269
146,4484-Callan-Blvd-Daly-City-CA-94015,15607969
150,422-Southhill-Blvd-Daly-City-CA-94014,15604257
153,75-Parkrose-Ave-Daly-City-CA-94015,15607770
154,42-Longview-Dr-Daly-City-CA-94015,15474089
158,420-Pointe-Pacific-APT-3-Daly-City-CA-94014,15625361
164,322-Glenwood-Ave-Daly-City-CA-94015,15457601
165,1037-Brunswick-St-Daly-City-CA-94014,15462438
168,675-Templeton-Ave-Daly-City-CA-94014,15462733
171,1180-Hillside-Blvd-Daly-City-CA-94014,2101364518
176,370-Imperial-Way-APT-236-Daly-City-CA-94015,2101189009
183,381-Half-Moon-Ln-APT-104-Daly-City-CA-94015,15621946
187,292-Macdonald-Ave-Daly-City-CA-94014,2105879667
189,616-Florence-St-Daly-City-CA-94014,15468350
190,28-Woodrow-St-Daly-City-CA-94014,15459063
194,89-Grandview-Ave-Daly-City-CA-94015,15472442
195,10-Caroline-Way-Daly-City-CA-94014,15604548
196,591-Pointe-Pacific-APT-2-Daly-City-CA-94014,15625340
197,838-Steve-Courter-Way-Daly-City-CA-94014,58660607
206,156-Morton-Dr-Daly-City-CA-94015,15606427
207,397-Imperial-Way-APT-338-Daly-City-CA-94015,15621813
209,79-Menlo-Ave-Daly-City-CA-94015,15471621
210,1551-Southgate-Ave-APT-131-Daly-City-CA-94015,15624739
215,389-Half-Moon-Ln-APT-15-Daly-City-CA-94015,15621890
217,242-Monte-Vista-Ln-Daly-City-CA-94015,15609563
218,955-Wyandotte-Ave-Daly-City-CA-94014,15468407
219,65-Rockford-Ave-Daly-City-CA-94015,15474030
221,527-Vista-Grande-Ave-Daly-City-CA-94014,15458852
232,47-Frankfort-St-Daly-City-CA-94014,15463521
237,811-Skyline-Dr-Daly-City-CA-94015,15471724
239,221-S-Parkview-Ave-Daly-City-CA-94014,2101204204
242,90-Alpine-Ave-Daly-City-CA-94015,15467409
245,41-Palmdale-Ave-Daly-City-CA-94015,15467162
246,315-Hoffman-St-Colma-CA-94014,63157957
248,72-Mateo-Ave-Daly-City-CA-94014,2101303589
249,944-Gellert-Blvd-Daly-City-CA-94015,15610195
250,57-Alexander-Ave-Daly-City-CA-94014,15462688
258,1016-San-Gabriel-Cir-UNIT-528-Daly-City-CA-94014,15625918
260,19-Park-Manor-Dr-Daly-City-CA-94015,15464760
262,139-Simpson-Dr-Daly-City-CA-94015,15606712
263,785-Skyline-Dr-Daly-City-CA-94015,15471715
264,381-Bellevue-Ave-Daly-City-CA-94014,15463078
270,127-Serravista-Ave-Daly-City-CA-94015,58660918
273,1106-S-Mayfair-Ave-Daly-City-CA-94015,15464981
280,228-Whittier-St-Daly-City-CA-94014,111436353
281,56-Garden-Grove-Dr-Daly-City-CA-94015,15457661
284,298-Glenwood-Ave-Daly-City-CA-94015,15457705
285,1021-San-Luis-Cir-UNIT-714-Daly-City-CA-94014,15626114
288,30-Seacrest-Ct-Daly-City-CA-94015,15477913
295,159-Winchester-St-Daly-City-CA-94014,15462899
296,2411-Lupine-Ct-Daly-City-CA-94014,15626194
301,120-122-Parkview-Ave-Daly-City-CA-94014,2101719859
302,632-Saint-Francis-Blvd-Daly-City-CA-94015,15473352
304,839-Saint-Francis-Blvd-Daly-City-CA-94015,15473604
307,2161-Camino-De-Los-Robles-Menlo-Park-CA-94025,15598286
311,2030-Santa-Cruz-Ave-Menlo-Park-CA-94025,15598812
312,152-Dunsmuir-Way-Menlo-Park-CA-94025,15568975
313,1045-Whitney-Dr-Menlo-Park-CA-94025,15599420
315,545-6th-Ave-Menlo-Park-CA-94025,15578863
320,2160-Monterey-Ave-Menlo-Park-CA-94025,15598200
321,816-Arnold-Way-Menlo-Park-CA-94025,15582887
324,1000-Siskiyou-Dr-Menlo-Park-CA-94025,15599504
327,2140-Santa-Cruz-Ave-APT-B202-Menlo-Park-CA-94025,15635556
331,142-Sand-Hill-Cir-Menlo-Park-CA-94025,15600027
335,7-Vasilakos-Ct-Menlo-Park-CA-94025,15593865
