,address,zid
0,322-6th-St-APT-1-San-Francisco-CA-94103,64969358
1,300-Berry-St-UNIT-1212-San-Francisco-CA-94158,96018886
2,1221-Harrison-St-APT-28-San-Francisco-CA-94103,64971640
3,1221-Harrison-St-APT-11-San-Francisco-CA-94103,64972785
4,250-King-St-UNIT-914-San-Francisco-CA-94107,69820157
5,1160-Mission-St-UNIT-904-San-Francisco-CA-94103,82785876
6,1160-Mission-St-UNIT-1003-San-Francisco-CA-94103,82785879
7,568-570-Natoma-St-San-Francisco-CA-94103,2101267788
8,303-Langton-St-San-Francisco-CA-94103,2113819869
9,140-S-Van-Ness-Ave-UNIT-1015-San-Francisco-CA-94103,64969892
10,601-4th-Street-106-106-San-Francisco-CA-94107,2101394025
11,767-Bryant-St-APT-403-San-Francisco-CA-94107,69814729
12,50-Lucerne-St-APT-7-San-Francisco-CA-94103,15148778
13,506-Natoma-St-San-Francisco-CA-94103,2101168558
14,140-S-Van-Ness-Ave-UNIT-721-San-Francisco-CA-94103,64969833
15,175-Bluxome-St-UNIT-201-San-Francisco-CA-94107,59779893
16,1221-Harrison-St-APT-20-San-Francisco-CA-94103,64971636
17,555-4th-St-UNIT-728-San-Francisco-CA-94107,79846985
18,239-8th-St-APT-11-San-Francisco-CA-94103,80747938
19,481-Clementina-Street-A-San-Francisco-CA-94103,2101666476
20,12-Sherman-St-San-Francisco-CA-94103,2101407895
21,300-Berry-St-UNIT-616-San-Francisco-CA-94158,96039564
22,300-Berry-St-UNIT-523-San-Francisco-CA-94158,96035126
23,773-Tehama-St-UNIT-2-San-Francisco-CA-94103,69820048
24,1233-Howard-St-APT-3C-San-Francisco-CA-94103,80747151
25,59B-Rodgers-St-San-Francisco-CA-94103,2101154497
26,325-Berry-St-106-San-Francisco-CA-94158,2101519135
27,1221-Harrison-St-APT-23-San-Francisco-CA-94103,64972791
28,335-Berry-St-UNIT-402-San-Francisco-CA-94158,96031440
29,175-Russ-St-APT-14-San-Francisco-CA-94103,2139439344
30,325-Berry-St-APT-108-San-Francisco-CA-94158,83153479
31,73-Sumner-St-APT-102-San-Francisco-CA-94103,80747887
32,140-S-Van-Ness-Ave-UNIT-619-San-Francisco-CA-94103,64969444
33,508-Natoma-St-San-Francisco-CA-94103,2101167572
34,278-Clara-St-San-Francisco-CA-94107,15147941
35,888-7th-St-L19-San-Francisco-CA-94107,89240389
36,239-8th-Street-11-11-San-Francisco-CA-94103,2101161873
37,1160-Mission-St-UNIT-511-San-Francisco-CA-94103,83152810
38,555-4th-St-UNIT-542-San-Francisco-CA-94107,79844595
39,260-King-St-UNIT-273-San-Francisco-CA-94107,80739922
40,300-Berry-St-UNIT-1509-San-Francisco-CA-94158,96029917
41,601-4th-Street-321-321-San-Francisco-CA-94107,2101224559
42,786-Minna-St-APT-11-San-Francisco-CA-94103,80744937
43,190-7th-St-APT-15-San-Francisco-CA-94103,80736273
44,321-Langton-St-UNIT-12-San-Francisco-CA-94103,80731555
45,250-King-St-UNIT-746-San-Francisco-CA-94107,69819538
46,175-Bluxome-St-UNIT-109-San-Francisco-CA-94107,80748498
47,601-4th-St-UNIT-121-San-Francisco-CA-94107,80730936
48,59-Rodgers-St-B-San-Francisco-CA-94103,80731986
49,469-Clementina-St-APT-7-San-Francisco-CA-94103,15147476
