,address,zid
0,1085-Tasman-787-Sunnyvale-CA-94089,2101355421
1,808-Ramona-Ave-Sunnyvale-CA-94087,19537655
2,1085-Tasman-Dr-SPC-255-Sunnyvale-CA-94089,2137407701
3,1088-Lund-Ter-Sunnyvale-CA-94089,64839522
4,929-Iris-Ave-Sunnyvale-CA-94086,19548992
5,1220-Tasman-Dr-SPC-332-Sunnyvale-CA-94089,2102304624
6,1225-Vienna-Dr-SPC-231-Sunnyvale-CA-94089,2101597902
7,1147-Palamos-Ave-Sunnyvale-CA-94089,19491184
8,1140-Karby-Ter-UNIT-203-Sunnyvale-CA-94089,2101152213
9,1150-Karby-Ter-UNIT-201-Sunnyvale-CA-94089,2101152212
10,315-Orchard-Ave-Sunnyvale-CA-94085,19543128
11,1085-Tasman-Dr-SPC-612-Sunnyvale-CA-94089,2101168068
12,1085-Tasman-Dr-SPC-652-Sunnyvale-CA-94089,2116545769
13,1225-Vienna-Dr-SPC-380-Sunnyvale-CA-94089,2101154520
14,248-Red-Oak-Dr-E-APT-E-Sunnyvale-CA-94086,19550177
15,571-Montego-Ter-Sunnyvale-CA-94089,64894625
16,599-E-Arbor-Ave-Sunnyvale-CA-94085,19542044
17,570-Monterey-Ter-Sunnyvale-CA-94089,64784072
18,1056-Essex-Ave-Sunnyvale-CA-94089,19492366
19,489-Torrey-Pine-Ter-Sunnyvale-CA-94086,89475279
20,1085-Tasman-Dr-SPC-311-Sunnyvale-CA-94089,2101611795
21,1085-Tasman-Dr-SPC-718-Sunnyvale-CA-94089,2101623033
22,1225-Vienna-Dr-Sunnyvale-CA-94089,82954703
23,1225-Vienna-Dr-SPC-921-Sunnyvale-CA-94089,2140670094
24,710-Santa-Rosa-St-Sunnyvale-CA-94085,19544462
25,485-&-487-E-Mckinley-Ave-Sunnyvale-CA-94086,2101774947
26,440-San-Eduardo-Ter-Sunnyvale-CA-94085,112092390
27,1225-Vienna-Dr-SPC-930-Sunnyvale-CA-94089,2101186320
28,1315-Dunnock-Way-Sunnyvale-CA-94087,19613591
29,932-Marion-Way-Sunnyvale-CA-94087,19616902
30,600-E-Weddell-Dr-SPC-271-Sunnyvale-CA-94089,2101470820
31,1675-Manitoba-Dr-Sunnyvale-CA-94087,19624044
32,457-Ives-Ter-Sunnyvale-CA-94087,19547909
33,1054-Castleton-Way-Sunnyvale-CA-94087,19616110
34,1111-Morse-Ave-204-Sunnyvale-CA-94089,2101629421
35,663-Smoke-Tree-Way-Sunnyvale-CA-94086,19548774
36,603-Arcadia-Ter-UNIT-201-Sunnyvale-CA-94085,19545177
37,1064-Polk-Ave-Sunnyvale-CA-94086,19520138
38,1130-Karby-Ter-UNIT-201-Sunnyvale-CA-94089,2101822991
39,681-Georgia-Ave-Sunnyvale-CA-94085,19542222
40,1111-Morse-Ave-SPC-95-Sunnyvale-CA-94089,2114590846
41,223-W-California-Ave-Sunnyvale-CA-94086,19543597
42,1339-Poplar-Ave-Sunnyvale-CA-94087,19616261
43,710-Santa-Rita-St-Sunnyvale-CA-94085,19544485
44,227-Charles-Ave-Sunnyvale-CA-94086,19520767
45,215-Red-Oak-Dr-W-APT-D-Sunnyvale-CA-94086,19550230
46,565-Fir-Ave-Sunnyvale-CA-94085,19542072
47,246-Peppermint-Tree-Ter-UNIT-1-Sunnyvale-CA-94086,89467260
48,395-N-Murphy-Ave-Sunnyvale-CA-94085,19543194
49,1095-Munich-Ter-Sunnyvale-CA-94089,2139402181
50,1035-W-Homestead-Rd-Sunnyvale-CA-94087,19622185
51,767-Danforth-Ter-Sunnyvale-CA-94087,19539415
52,1581-Kingsgate-Dr-Sunnyvale-CA-94087,19623812
53,909-Reed-Ave-Sunnyvale-CA-94086,19548085
54,520-S-Sunnyvale-Ave-Sunnyvale-CA-94086,19546292
55,419-Paria-Ter-Sunnyvale-CA-94089,82952238
56,1635-Manitoba-Dr-Sunnyvale-CA-94087,19624036
57,150-Karby-Terrace-302-Sunnyvale-CA-94089,2101330902
58,1150-Karby-Terrace-303-Sunnyvale-CA-94089,2101330901
59,798-S-Wolfe-Rd-Sunnyvale-CA-94086,19549059
60,690-Persian-Dr-SPC-9-Sunnyvale-CA-94089,2101172187
61,1085-Tasman-Dr-SPC-334-Sunnyvale-CA-94089,2101873539
62,935-Blazingwood-Dr-Sunnyvale-CA-94089,19490979
63,600-E-Weddell-Dr-SPC-237-Sunnyvale-CA-94089,2101172186
64,1212-Navlet-Ct-Sunnyvale-CA-94087,19540838
65,845-Groton-Ct-Sunnyvale-CA-94087,19538890
66,236-Red-Oak-Dr-E-APT-S-Sunnyvale-CA-94086,19550280
67,1350-Ramon-Drive-Sunnyvale-CA-94087,2101193611
68,104-E-Maude-Ave-Sunnyvale-CA-94085,19543254
69,1085-Tasman-Dr-SPC-180-Sunnyvale-CA-94089,2146148639
70,1035-W-Mc-Kinley-Ave-Sunnyvale-CA-94086,19520076
71,955-Bidwell-Ave-Sunnyvale-CA-94086,19521218
72,1346-Eleanor-Way-Sunnyvale-CA-94087,19616310
73,634-Derby-Court-Sunnyvale-CA-94087,2101802579
74,830-Henderson-Ave-Sunnyvale-CA-94086,19549458
75,1470-S-Bernardo-Ave-Sunnyvale-CA-94087,19621946
76,582-Manzanita-Ave-Sunnyvale-CA-94085,19542930
77,1426-S-Bernardo-Ave-Sunnyvale-CA-94087,19621949
78,1111-Morse-Ave-SPC-204-Sunnyvale-CA-94089,2101627458
79,214-S-Pastoria-Ave-Sunnyvale-CA-94086,19520677
80,481-Tristania-Ter-Sunnyvale-CA-94086,89473762
81,1001-E-Evelyn-Ter-APT-121-Sunnyvale-CA-94086,82959811
82,1091-Essex-Ave-Sunnyvale-CA-94089,19492338
83,1046-Bradford-Dr-Sunnyvale-CA-94089,19492269
84,1044-Bougainvillea-Ter-Sunnyvale-CA-94086,51073736
85,227-W-Hemlock-Ave-Sunnyvale-CA-94085,19541471
86,1090-Essex-Ave-Sunnyvale-CA-94089,19492372
87,105-Beemer-Ave-Sunnyvale-CA-94086,19543838
88,1085-Tasman-Dr-SPC-403-Sunnyvale-CA-94089,2103792803
89,1134-W-Knickerbocker-Dr-Sunnyvale-CA-94087,19538067
90,1112-Robin-Ct-Sunnyvale-CA-94087,19541366
91,1225-Vienna-Dr-SPC-388-Sunnyvale-CA-94089,2137284324
92,1111-Morse-Ave-SPC-186-Sunnyvale-CA-94089,2101287547
93,1225-Vienna-Dr-SPC-936-Sunnyvale-CA-94089,2102150142
94,1225-Vienna-Dr-SPC-93-Sunnyvale-CA-94089,2101797606
95,1473-Ramon-Dr-Sunnyvale-CA-94087,19616324
96,1287-Albion-Ln-Sunnyvale-CA-94087,19622840
97,893-Markham-Ter-Sunnyvale-CA-94086,19522179
98,680-Picasso-Ter-Sunnyvale-CA-94087,19547436
99,1220-Tasman-Dr-SPC-114-Sunnyvale-CA-94089,2126131396
100,1050-Borregas-Avenue-11-11-Sunnyvale-CA-94089,2101162046
101,621-E-El-Camino-Real-UNIT-201-Sunnyvale-CA-94087,79841671
102,1179-Kassel-Ter-Sunnyvale-CA-94089,79844843
103,742-Lakewood-Dr-Sunnyvale-CA-94089,19492821
104,595-Blackwood-Ter-Sunnyvale-CA-94086,19546374
105,382-Redondo-Ter-Sunnyvale-CA-94086,19522160
106,770-San-Juan-Dr-Sunnyvale-CA-94085,19544730
107,948-E-Duane-Ave-100-Sunnyvale-CA-94085,2122338752
108,1085-Tasman-Dr-SPC-616-Sunnyvale-CA-94089,2107538341
109,1050-Borregas-Ave-SPC-11-Sunnyvale-CA-94089,2101165665
110,1074-Bradford-Dr-Sunnyvale-CA-94089,19492271
111,1085-Tasman-Dr-SPC-314-Sunnyvale-CA-94089,2101306412
112,1120-Karby-Ter-UNIT-204-Sunnyvale-CA-94089,2101950247
113,621-E-El-Camino-Real-201-201-Sunnyvale-CA-94087,2101172226
114,742-Sequoia-Dr-Sunnyvale-CA-94086,19548891
115,626-Old-San-Francisco-Rd-Sunnyvale-CA-94086,19547720
116,623-E-El-Camino-Real-UNIT-101-Sunnyvale-CA-94087,79847354
117,1089-Rockefeller-Dr-Sunnyvale-CA-94087,19541189
118,1220-Tasman-Dr-SPC-402-Sunnyvale-CA-94089,2146921071
119,781-N-Fair-Oaks-Avenue-1-Sunnyvale-CA-94085,2101353074
120,827-S-Mary-Ave-Sunnyvale-CA-94087,19537694
121,1268-Gainsborough-Dr-Sunnyvale-CA-94087,19547258
122,343-Amaryllis-Ter-Sunnyvale-CA-94086,2101321144
123,779-W-Homestead-Rd-Sunnyvale-CA-94087,19623988
124,717-W-Fremont-Ave-Sunnyvale-CA-94087,19540507
125,339-Garner-Dr-Sunnyvale-CA-94089,19492287
126,1381-Zurich-Ter-Sunnyvale-CA-94087,19624763
127,707-Koa-Ct-Sunnyvale-CA-94086,19546733
128,1424-Norman-Dr-Sunnyvale-CA-94087,19616436
129,979-Wisteria-Ter-Sunnyvale-CA-94086,19551568
130,877-Coolidge-Ave-Sunnyvale-CA-94086,19520991
131,1050-Borregas-Ave-SPC-92-Sunnyvale-CA-94089,2101290495
132,1220-Tasman-Dr-SPC-321-Sunnyvale-CA-94089,2102358750
133,695-S-Knickerbocker-Dr-APT-24-Sunnyvale-CA-94087,19536869
134,250-Santa-Fe-Ter-APT-327-Sunnyvale-CA-94085,19544945
135,1133-Prescott-Ave-Sunnyvale-CA-94089,19491163
136,1225-Vienna-Dr-SPC-197-Sunnyvale-CA-94089,2138360030
137,690-Persian-Dr-SPC-8-Sunnyvale-CA-94089,2101591808
138,1058-Lois-Ave-Sunnyvale-CA-94087,19537840
139,748-Nutmeg-Ave-Sunnyvale-CA-94087,19539195
140,1225-Vienna-Dr-SPC-59-Sunnyvale-CA-94089,2139650341
141,1085-Tasman-Dr-SPC-407-Sunnyvale-CA-94089,2101752704
142,1220-Tasman-Dr-SPC-271-Sunnyvale-CA-94089,2101358281
143,274-278-W-California-Ave-Sunnyvale-CA-94086,2101379588
144,1143-Bodega-Dr-Sunnyvale-CA-94086,19519904
145,1085-Tasman-Dr-Sunnyvale-CA-94089,2141121027
146,994-La-Mesa-Ter-UNIT-G-Sunnyvale-CA-94086,19521633
147,978-Heatherstone-Ave-Sunnyvale-CA-94087,19538726
148,1225-Vienna-Dr-SPC-185-Sunnyvale-CA-94089,2121746949
149,1350-Road-Runner-Ter-APT-C-Sunnyvale-CA-94087,19616229
150,1005-Bryant-Way-APT-L-Sunnyvale-CA-94087,19617959
151,554-Cypress-Ave-Sunnyvale-CA-94085,19542032
152,1373-Zurich-Ter-Sunnyvale-CA-94087,19624759
153,1225-Vienna-Dr-SPC-336-Sunnyvale-CA-94089,2101752703
154,1111-Morse-Ave-SPC-108-Sunnyvale-CA-94089,2132060376
155,566-Gail-Ave-Sunnyvale-CA-94086,19545539
156,1175-Andover-Dr-Sunnyvale-CA-94087,19537196
157,1151-Kassel-Ter-Sunnyvale-CA-94089,79842936
158,383-Balsam-Ave-Sunnyvale-CA-94085,19542549
159,690-Persian-Dr-SPC-91-Sunnyvale-CA-94089,2101752735
160,827-Shooting-Star-Ter-Sunnyvale-CA-94086,19547951
161,1220-Tasman-Dr-SPC-87H-Sunnyvale-CA-94089,2101943690
162,232-234-W-California-Ave-Sunnyvale-CA-94086,2101184766
163,1269-Poplar-Ave-APT-308-Sunnyvale-CA-94086,19550948
164,845-Maria-Lane-Sunnyvale-CA-94086,2101513611
165,1148-La-Rochelle-Ter-UNIT-B-Sunnyvale-CA-94089,19494162
166,1650-Meadowlark-Ln-Sunnyvale-CA-94087,19617582
167,1225-Vienna-Dr-SPC-925-Sunnyvale-CA-94089,2101682795
168,1085-Tasman-Dr-SPC-109-Sunnyvale-CA-94089,2102224758
169,1225-Vienna-Dr-SPC-175-Sunnyvale-CA-94089,2101223435
170,1320-Eleanor-Way-Sunnyvale-CA-94087,19616065
171,488-Wild-Cherry-Ter-Sunnyvale-CA-94086,112091055
172,199-N-Sunnyvale-Ave-Sunnyvale-CA-94086,19543708
173,235-Red-Oak-Dr-W-APT-G-Sunnyvale-CA-94086,19550196
174,795-N-Fair-Oaks-Ave-APT-8-Sunnyvale-CA-94085,2101368190
175,859-Lavender-Dr-Sunnyvale-CA-94086,19546755
176,905-Suntree-Ct-Sunnyvale-CA-94086,19549640
177,275-Roosevelt-Ave-Sunnyvale-CA-94086,19543626
178,1111-Morse-(Willow-Rnch-SPC-148)-Sunnyvale-CA-94089,2101388958
179,1220-Tasman-Dr-SPC-562-Sunnyvale-CA-94089,2133490064
180,1220-Tasman-Dr-SPC-519-Sunnyvale-CA-94089,2130605857
181,1220-Tasman-Drive-562-562-Sunnyvale-CA-94089,2101591840
182,858-Lakewood-Dr-Sunnyvale-CA-94089,19493128
183,1225-Vienna-Dr-SPC-183-Sunnyvale-CA-94089,2101475184
184,(Undisclosed-Address)-Sunnyvale-CA-94086,2101800521
185,779-Lakeknoll-Dr-Sunnyvale-CA-94089,19492980
186,125-Connemara-Way-APT-102-Sunnyvale-CA-94087,19614471
187,835-Lakewood-Dr-Sunnyvale-CA-94089,19493066
188,1085-Tasman-787-Sunnyvale-CA-94089,2101421727
189,611-Arcadia-Ter-UNIT-104-Sunnyvale-CA-94085,19545154
190,1271-Poplar-Ave-APT-207-Sunnyvale-CA-94086,19551217
191,600-E-Weddell-Dr-SPC-84-Sunnyvale-CA-94089,2129176945
192,820-Santa-Paula-Ave-Sunnyvale-CA-94085,19544220
193,1535-Grackle-Way-Sunnyvale-CA-94087,19615113
194,1001-Evelyn-Ter-E-APT-167-Sunnyvale-CA-94086,19550618
195,1498-S-Wolfe-Rd-Sunnyvale-CA-94087,19616362
196,469-Roosevelt-Ave-Sunnyvale-CA-94085,19543336
197,672-San-Miguel-Ave-Sunnyvale-CA-94085,19544676
198,981-Asilomar-Ter-APT-3-Sunnyvale-CA-94086,19521261
199,880-E-Fremont-Ave-APT-512-Sunnyvale-CA-94087,69302707
200,379-Cypress-Ave-Sunnyvale-CA-94085,19542526
201,1425-S-Mary-Ave-Sunnyvale-CA-94087,19622660
202,423-Topaz-Ter-Sunnyvale-CA-94089,116157206
