,address,zid
0,1408-31st-Ave-APT-303-San-Francisco-CA-94122,2101331127
1,1437-47th-Ave-1437A-San-Francisco-CA-94122,15104208
2,1524-1526-48th-Ave-San-Francisco-CA-94122,2105094570
3,1619-38th-Ave-San-Francisco-CA-94122,15108557
4,2046-45th-Ave-San-Francisco-CA-94116,15116528
5,1627-42nd-Ave-San-Francisco-CA-94122,15108348
6,3300-Kirkham-St-San-Francisco-CA-94122,15104680
7,2223-27th-Ave-San-Francisco-CA-94116,15119410
8,1835-22nd-Ave-San-Francisco-CA-94122,15112380
9,1482-23rd-Ave-San-Francisco-CA-94122,15105368
10,4737-Irving-St-San-Francisco-CA-94122,15104120
11,1314-45th-Ave-San-Francisco-CA-94122,15104006
12,1558-45th-Ave-San-Francisco-CA-94122,15107831
13,4015-Ortega-St-San-Francisco-CA-94122,15113786
14,1415-1417-28TH-Ave-San-Francisco-CA-94122,15105047
15,1642-41st-Ave-San-Francisco-CA-94122,15108483
16,2115-Kirkham-St-San-Francisco-CA-94122,15107018
17,1347-46th-Ave-San-Francisco-CA-94122,15104061
18,2339-37th-Ave-San-Francisco-CA-94116,15120947
19,1408-31st-Ave-APT-205-San-Francisco-CA-94122,2101336830
20,1271-21st-Ave-San-Francisco-CA-94122,15101927
21,1771-39th-Ave-San-Francisco-CA-94122,15110408
22,1255-34th-Ave-San-Francisco-CA-94122,15101375
23,1619-39th-Ave-San-Francisco-CA-94122,15108502
24,1979-42nd-Ave-San-Francisco-CA-94116,15114023
25,3826-Kirkham-St-San-Francisco-CA-94122,15104421
26,2300-43rd-Ave-San-Francisco-CA-94116,15121204
27,2300-Ortega-St-San-Francisco-CA-94122,15112791
28,2242-48th-Ave-San-Francisco-CA-94116,15118442
29,1666-25th-Ave-San-Francisco-CA-94122,15109202
30,1471-45th-Ave-San-Francisco-CA-94122,15104270
31,1383-1385-37TH-Ave-San-Francisco-CA-94122,15103708
32,3630-3632-Irving-St-San-Francisco-CA-94122,15101285
33,1290-1292-38TH-Ave-San-Francisco-CA-94122,15101287
34,2150-46th-Ave-San-Francisco-CA-94116,15116909
35,1974-43rd-Ave-San-Francisco-CA-94116,15114037
36,1714-24th-Ave-San-Francisco-CA-94122,15111139
37,2915-Judah-St-San-Francisco-CA-94122,15104815
38,2433-Santiago-St-San-Francisco-CA-94116,15120937
39,1735-39th-Ave-San-Francisco-CA-94122,15110399
40,1654-39th-Ave-San-Francisco-CA-94122,15108591
41,1791-48th-Ave-San-Francisco-CA-94122,15109966
42,1826-26th-Ave-San-Francisco-CA-94122,15112552
43,2340-29th-Ave-San-Francisco-CA-94116,15120641
44,3015-17-Irving-St-San-Francisco-CA-94122,2101306416
45,1579-33rd-Ave-San-Francisco-CA-94122,15107370
46,2243-42nd-Ave-San-Francisco-CA-94116,15118672
