,_id,city,latitude,longitude,state,street,zipcode,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,count,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,status,type,price,schooldistrict,whatownerloves,zpid
0,55f6e8a63ae7404c5edef1e6,Alameda,37.77089,-122.267093,CA,1046 Central Ave,94501,,,,2.0,3,,,,1231,,,,,4356,,7,,,,,SingleFamily,,1895,,,,"This Victorian gem exudes charm w/high ceilings, gleaming inlaid hdw floors & beautiful period woodwork. Features include a refreshed sunny eat-in kitchen, formal dining room, parlor & picturesque window overlooking deck & landscaped yard w/veggies & fruit trees.  Bonus rooms & ample garage space.",30,,,3490,3490,,,,,,24862982
1,55f6e8a63ae7404c5edef1e7,Alameda,37.774675,-122.252674,CA,1724 Eagle Ave,94501,,,,1.5,2,,,,1585,,,,,3875,,6,,,,,SingleFamily,,1896,,,,,1,,,931,931,,,,,,24861179
2,55f6e8a63ae7404c5edef1e8,Alameda,37.783418,-122.283656,CA,2378 Coral Sea St,94501,,,,2.5,4,,,,2925,,,,,3760,,9,,,,,SingleFamily,,2006,,,,,1,,,1372,1372,,,,,,72700378
3,55f6e8a63ae7404c5edef1e9,Alameda,37.769562,-122.270395,CA,903 San Antonio Ave,94501,,,,1.0,2,,,,662,,,,,1440,,4,,,,,SingleFamily,,1905,,,,,1,,,785,785,,,,,,24863091
4,55f6e8a63ae7404c5edef1ea,Alameda,37.769149,-122.240074,CA,2318 Eagle Ave,94501,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Queen Anne / Victorian,,3.0,8,,,Wood,3248,"Carpet, Concrete, Hardwood, Tile",,"Electric, Gas",Wall,4950,3,17,2,Garage - Attached,Composition,"Breakfast nook, Dining room, Family room, Laundry room, Master bath, Office, Recreation room",MultiFamily2To4,City,1890,1998,,,"Large 3 story Victorian home, legal duplex, 4 bedroom downstairs and 2 in the middle, plus a complete upstairs. I am a licensed contractor, I purchased this home in 1989. 11 foot ceilings with lofts in every room, plus a complete with custom third story flat complete with skylights cool architectural beams and large 2 person Jacuzzi tub. if we sell it will be as is, without A realtor. 
The 4 bedroom downstair rents for 2,000 a month dollars by itself.
Pictures coming soon.
 Kirk4stucco@gmail.com",2,,,1093,1093,,Make me move,1395000,,It's famous architecture.,24859684
5,55f6e8a63ae7404c5edef1eb,Alameda,37.731057,-122.236334,CA,1088 Melrose Ave,94502,Dishwasher,Contemporary,None,2.5,3,,2,Wood,1716,Carpet,,Electric,Forced air,,2,7,,Garage - Detached,Composition,Dining room,Townhouse,Park,1974,2013,Amelia Earheart ,Alameda High School,"This recently remodeled town home is situated in a quiet Harbor Bay community that is walking distance from shops, restaurants and the San Francisco ferry and Google/Apple shuttle buses. As you make your way through the foyer, you enter a spacious living room/dining room that leads you past a beautiful  recently updated gourmet kitchen. Continue into the comfortable sun-filled family room, settle down in an overstuffed armchair and just relax! Features include three bedrooms, two-and-a-half bathrooms, hardwood floors, a fireplace and an in-unit laundry room. The complex also offers a swimming pool and a clubhouse and RV parking.",30,Lincoln Middle School,Bay Farm,2418,2418,Active,For sale by agent,649000,Alameda Unified School District,"Completely renovated townhome with gorgeous finishes and updates throughout.  Kitchen/family room combo faces out to the backyard with lush landscaping surrounding the patio. Spacious master suite with dual closets (and closet organizing systems) and spa-like master bathroom retreat. Master could be divided into two rooms creating a 4th bedroom. Bight, sunny bedrooms with new paint and crown molding. Ample storage throughout house and two car garage.",24867075
6,55f6e8a63ae7404c5edef1ec,Alameda,37.780652,-122.282536,CA,2118 Chipman St,94501,,,,2.5,3,,,,2361,,,,,2982,,9,,,,,SingleFamily,,2004,,,,,1,,,1774,1774,,,,,,64964577
7,55f6e8a63ae7404c5edef1ed,Alameda,37.7833,-122.28886,CA,2361 Tuttle Ln,94501,,,,3.5,3,,,,3453,,,,,5185,,10,,,,,SingleFamily,,2007,,,,,1,,,1822,1822,,,,,,82850279
8,55f6e8a63ae7404c5edef1ee,Alameda,37.760601,-122.241513,CA,2518 Encinal Ave,94501,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",Craftsman,Unfinished,2.0,2,,,"Stucco, Vinyl",1101,Hardwood,,"Gas, Wood / Pellet",Forced air,4983,4,5,,Garage - Attached,Shake / Shingle,"Dining room, Family room",SingleFamily,City,1925,,,,"Nice split level Craftsman single family house, 
Nice Deck and big back yard, 
pellet burning fireplace insert,
conveniently located near to schools parks and shopping centers.
Full unfinished basement, 
Garage converted to bedroom""without permits""
Work shop shed 20'x40' in back yard
foundation has been bolted down and mud seal replaced
Roof is old and may need replacing in future
fences on both sides of the back yard need replacing

Neighborhood Description

In walking distance of schools from kindergarten, elementary, middle school and the historic Alameda High school
Jackson park is only a block away
Park street shopping district is just a few blocks away
and the beach is about a mile down the road",1,,east end Park street district,925,925,,,,,"Great neighborhood 
Great place to raise children
off street parking in drive way",24859169
9,55f6e8a63ae7404c5edef1ef,Alameda,37.757162,-122.229982,CA,3253 Central Ave,94501,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",Queen Anne / Victorian,Unfinished,2.0,3,,,Wood,2504,"Hardwood, Linoleum / Vinyl",,,,6275,2,9,,Off-street,Composition,"Breakfast nook, Dining room, Family room, Laundry room, Sun room",SingleFamily,Park,1896,,,,Classic Alameda Victorian! A flexible floorplan works as the original 3 bed 2 bath home or a duplex as currently arranged. Bonus ~1250sf attic space waiting to be finished. 10' ceilings and huge windows provide great light throughout. Direct access to Lincoln Park though back gate. One of a kind!  Contact listing agent Cameron Platt (510-708-4137 / cameron@plattinc.com) for more information or to arrange a private showing.,28,,,2367,2367,Active,For sale by agent,895000,,,24857014
