,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
0,2.0,3,1250,,1954,,,
1,2.0,4,2160,,1940,409000,39.0,23.0
2,2.5,4,2676,,2015,494950,33.0,42.0
3,1.75,3,1870,,1943,,40.0,73.0
4,2.0,2,1080,6,1982,185000,38.0,57.0
5,2.0,4,2100,,1951,299000,39.0,54.0
6,2.0,3,1590,,1923,,44.0,41.0
7,2.0,4,1460,,1960,,34.0,36.0
8,1.5,3,1100,,1962,,35.0,44.0
9,1.5,4,1644,,1957,289999,34.0,41.0
10,2.5,4,2819,,2015,498950,33.0,42.0
11,1.0,1,685,,1994,,37.0,34.0
12,2.0,4,1500,,1966,,34.0,33.0
13,2.0,4,1760,,1946,399999,40.0,45.0
14,2.5,4,2811,,2015,516950,33.0,42.0
15,2.5,4,2676,,2015,499950,33.0,42.0
16,2.5,4,2819,,2015,532650,33.0,42.0
17,4.0,4,3040,,1960,,38.0,18.0
18,2.5,4,2819,,2015,524950,33.0,42.0
19,1.0,3,1030,,1954,,45.0,33.0
20,1.75,4,2679,12,1972,,0.0,36.0
21,1.0,3,1500,,1952,400000,24.0,14.0
22,3.0,4,2035,,1967,,39.0,55.0
23,1.0,3,1150,,1947,,34.0,66.0
24,1.0,3,1230,,1949,,31.0,54.0
25,2.0,3,2720,,1936,,47.0,38.0
26,2.0,4,1650,10,1950,379000,47.0,71.0
27,3.0,5,2710,8,1965,500000,38.0,23.0
28,2.0,5,2940,,1956,,43.0,19.0
29,1.0,2,881,,,129888,34.0,49.0
30,4.5,4,3738,,2015,,29.0,47.0
31,3.25,5,3620,9,1981,698500,37.0,50.0
32,2.0,4,2800,,1937,,40.0,47.0
33,2.0,4,1540,,1955,,39.0,48.0
34,1.0,4,2010,10,1943,329000,51.0,56.0
35,2.5,5,2891,,2015,,27.0,37.0
36,2.0,4,2200,,1960,,38.0,54.0
37,1.0,3,1190,,1940,,33.0,20.0
38,2.0,3,1053,,1991,160000,34.0,52.0
39,1.0,3,1410,,1942,,34.0,32.0
40,2.0,3,1940,,1955,,34.0,33.0
41,1.0,2,1049,,2012,,54.0,91.0
42,2.0,2,1220,,1947,259000,41.0,51.0
43,2.5,4,2819,,2015,503950,33.0,42.0
44,2.0,4,2920,,1953,399000,48.0,73.0
45,1.5,2,1132,,1935,900000,57.0,77.0
46,3.75,6,3140,12,1928,1890000,60.0,68.0
47,4.0,3,1772,,2014,1000000,52.0,65.0
48,2.0,6,2580,15,1928,749000,56.0,82.0
