,address,zid
0,1530-NW-Market-St-UNIT-711-Seattle-WA-98107,83231047
1,5440-Leary-Ave-NW-UNIT-330-Seattle-WA-98107,84762893
2,2616-NW-62nd-St-B-Seattle-WA-98107,2101214557
3,1715-NW-58th-St-STUDIO-Seattle-WA-98107,2101285250
4,2216-NW-59th-St-APT-5-Seattle-WA-98107,2101246870
5,5440-Leary-Ave-NW-UNIT-411-Seattle-WA-98107,84755863
6,1736-NW-59th-St-B-Seattle-WA-98107,70585223
7,2410-NW-59th-St-A-Seattle-WA-98107,63335794
8,1525-NW-57th-St-UNIT-511-Seattle-WA-98107,54938925
9,2626-NW-57th-St-Seattle-WA-98107,2101155275
10,1548-NW-58th-St-A-Seattle-WA-98107,48823536
11,6417-26th-Ave-NW-Seattle-WA-98107,2101154342
12,2018-Nw-57th-602-Seattle-WA-98107,2103184456
13,1760-NW-56th-St-418-Seattle-WA-98107,2106576811
14,1521-NW-54th-St-Seattle-WA-98107,2103776279
15,2418-NW-58th-St-Seattle-WA-98107,48823490
16,2641-NW-59th-St-UNIT-A-Seattle-WA-98107,70585145
17,NW-57th-St-Seattle-WA-98107,2103579992
18,1530-NW-Market-St-UNIT-502-Seattle-WA-98107,83228201
19,5440-Leary-Ave-NW-UNIT-526-Seattle-WA-98107,84759478
20,2637-NW-63rd-St-Seattle-WA-98107,48931461
21,2043A-NW-64th-St-Seattle-WA-98107,2102027315
22,1551-NW-61st-St-Seattle-WA-98107,61719043
23,1707-NW-57th-St-Seattle-WA-98107,2107843424
24,1525-NW-57th-St-UNIT-407-Seattle-WA-98107,54657760
25,1737-NW-62nd-St-Seattle-WA-98107,48823200
26,1535-NW-52nd-St-APT-202-Seattle-WA-98107,67685797
27,1548-NW-61st-St-Seattle-WA-98107,48823195
28,2018-NW-57th-St-APT-202-Seattle-WA-98107,2101946267
29,2418-NW-57th-St-REMODELED-Seattle-WA-98107,2101471753
30,1511-NW-60th-St-18-Seattle-WA-98107,2101156039
31,2620-NW-63rd-St-APT-1-Seattle-WA-98107,2125047303
32,6001-24th-Ave-NW-APT-303-Seattle-WA-98107,2103211672
33,5450-Leary-Ave-NW-APT-349-Seattle-WA-98107,84763015
34,5703-20th-Ave-NW-Seattle-WA-98107,2101393141
35,1525-NW-57th-St-UNIT-327-Seattle-WA-98107,2101467896
36,1753-NW-57th-St-APT-504-Seattle-WA-98107,2101153883
37,2021-NW-59th-St-Seattle-WA-98107,2104316629
38,1711-NW-61st-St-Seattle-WA-98107,48823350
39,5450-Leary-Ave-NW-APT-454-Seattle-WA-98107,83230638
40,1742-NW-59th-St-B-Seattle-WA-98107,70584646
41,1760-NW-56th-St-507-Seattle-WA-98107,2103289114
42,5440-Leary-Ave-NW-UNIT-501-Seattle-WA-98107,83230172
43,1719-NW-57th-St-APT-103-Seattle-WA-98107,2101153212
