,address,zid
0,6608-Beacon-Ave-S-Seattle-WA-98108,49063774
1,6049-24th-Ave-S-Seattle-WA-98108,48829443
2,5930-30th-Ave-S-Seattle-WA-98108,122075126
3,5412-23rd-Ave-S-Seattle-WA-98108,2101391186
4,1749-S-Angeline-St-Seattle-WA-98108,48678852
5,3329-S-Graham-St-Seattle-WA-98118,2106047592
6,5554-20th-Ave-S-Seattle-WA-98108,48953831
7,5408-23rd-Ave-S-Seattle-WA-98108,48779276
8,3315-S-Brandon-St-Seattle-WA-98118,49129220
9,6505-33rd-Ave-S-Seattle-WA-98118,48863913
10,4509-A-15th-Ave-S-Seattle-WA-98108,2101731694
11,5338-15th-Ave-S-Seattle-WA-98108,2113510460
12,5318-16th-Ave-S-Seattle-WA-98108,96702805
13,5456-Beacon-Ave-S-Seattle-WA-98108,49063316
14,1858-S-Bennett-Dr-Seattle-WA-98108,60973559
15,1463-S-Columbian-Way-Seattle-WA-98144,2101160256
16,4340-13th-Ave-S-Seattle-WA-98108,48906572
17,52-19th-Pl-S-Seattle-WA-98108,2102860255
18,6020-19th-Ave-S-Seattle-WA-98108,48750712
19,30-Xx-S-Orcas-St-Seattle-WA-98108,2105983069
20,6415-Beacon-Ave-S-Seattle-WA-98108,49063738
21,2835-S-Alaska-Pl-A-Seattle-WA-98108,48955559
22,3018-S-Graham-St-Seattle-WA-98108,48744296
23,5412-25th-Ave-S-Seattle-WA-98108,48999764
24,4815-13th-Ave-S-Seattle-WA-98108,48949809
25,1722-S-Bennett-St-Seattle-WA-98108,80261009
26,5401-20th-Ave-S-Seattle-WA-98108,48779266
27,5911-28th-Ave-S-Seattle-WA-98108,49063596
28,5541-17th-Ave-S-Seattle-WA-98108,49045068
29,5318-12th-Ave-S-Seattle-WA-98108,49101906
30,5916-18th-Ave-S-Seattle-WA-98108,48750696
31,1717-S-Lucile-St-Seattle-WA-98108,49045049
32,5120-17th-Ave-S-Seattle-WA-98108,49134857
33,2215-S-Lucile-St-Seattle-WA-98108,48953923
34,3512-S-Holly-St-Seattle-WA-98118,48863937
35,2845-S-Alaska-Pl-Seattle-WA-98108,89210223
36,1736-S-Shelton-St-Seattle-WA-98108,48889318
37,2316-S-Ferdinand-St-Seattle-WA-98108,48887720
38,4920-26th-Ave-S-Seattle-WA-98108,48776910
39,1112-S-Dawson-St-Seattle-WA-98108,48822352
40,2835-S-Alaska-St-A-Seattle-WA-98108,48955553
41,1525-S-Dawson-St-Seattle-WA-98108,80260487
42,4852-19th-Ave-S-Seattle-WA-98108,48779365
43,2486-S-Spencer-St-Seattle-WA-98108,49063664
