,address,zid
0,10021-NE-15th-St-Bellevue-WA-98004,48944573
1,246-W-Lake-Sammamish-Pkwy-SE-Bellevue-WA-98008,48885505
2,1507-151st-Ave-NE-Bellevue-WA-98007,48743516
3,16434-NE-15th-St-Bellevue-WA-98008,48858477
4,811-164th-Ave-SE-Bellevue-WA-98008,48912827
5,14th-Ave-W-Seattle-WA-98119,2105289271
6,17-Etruria-Street-Top-Floor-Seattle-WA-98109,2101169487
7,17400-NE-12th-St-Bellevue-WA-98008,48702761
8,500-106th-Ave-NE-UNIT-2213-Bellevue-WA-98004,2101209147
9,1451-185th-Ave-NE-Bellevue-WA-98008,49088980
10,521-154th-Ave-NE-Bellevue-WA-98007,48975811
11,15165-SE-54th-Pl-Bellevue-WA-98006,49039402
12,16237-SE-7th-St-Bellevue-WA-98008,48912750
13,NE-12th-St-Bellevue-WA-98004,2101685761
14,422-W-Raye-St-Seattle-WA-98119,48698180
15,14902-SE-43rd-St-Bellevue-WA-98006,48784497
16,9837-NE-21st-St-Bellevue-WA-98004,49080843
17,12868-NE-24th-St-Bellevue-WA-98005,54466286
18,3240-15th-Ave-W-Seattle-WA-98119,2104489288
19,17225-SE-40th-Ct-Bellevue-WA-98008,48815657
20,2321-153rd-Ave-SE-Bellevue-WA-98007,49005474
21,10650-NE-9th-Pl-UNIT-1128-Bellevue-WA-98004,2101195626
22,4071-155th-Ave-SE-Bellevue-WA-98006,48784090
23,4025-151st-Ave-SE-Bellevue-WA-98006,48783995
24,200-99th-Ave-NE-APT-38-Bellevue-WA-98004,48664496
25,16137-NE-3rd-Pl-Bellevue-WA-98008,48913588
26,650-Bellevue-Way-NE-UNIT-2007-Bellevue-WA-98004,68480504
27,4521-145th-Pl-SE-Bellevue-WA-98006,49063020
28,10047-Main-St-APT-508-Bellevue-WA-98004,58380798
29,511-100th-Ave-NE-APT-304-Bellevue-WA-98004,89209387
30,5855-146th-Pl-SE-Bellevue-WA-98006,48812227
31,2535-10th-Ave-W-Seattle-WA-98119,49064234
32,14805-SE-46th-Pl-Bellevue-WA-98006,49088216
33,5406-143rd-Ave-SE-Bellevue-WA-98006,48813292
34,1302-102nd-Ave-NE-Bellevue-WA-98004,48944543
35,1819-172nd-Ave-NE-Bellevue-WA-98008,48683975
36,6322-108th-Ave-SE-Bellevue-WA-98006,48865485
37,14824-NE-9th-Pl-Bellevue-WA-98007,48816280
38,15828-SE-5th-Pl-Bellevue-WA-98008,48913292
39,16217-SE-48th-St-Bellevue-WA-98006,48749367
40,5309-125th-Ave-SE-Bellevue-WA-98006,48979194
41,12434-SE-30th-St-Bellevue-WA-98005,63334655
42,4283-133rd-Ave-SE-Bellevue-WA-98006,48748778
43,110-W-Smith-St-Seattle-WA-98119,48818567
44,936-W-Emerson-St-APT-A-Seattle-WA-98119,2101417502
