,address,zid
0,4632-S-Garden-St-Seattle-WA-98118,48705549
1,7700-Martin-Luther-King-Jr-Way-S-Seattle-WA-98118,48903447
2,7527-43rd-Ave-S-Seattle-WA-98118,48903445
3,4644-S-Orchard-St-Seattle-WA-98118,48821281
4,4841-S-Chicago-St-Seattle-WA-98118,48733588
5,4853-S-Morgan-St-Seattle-WA-98118,48705400
6,3907-S-Angel-Pl-Seattle-WA-98118,48863752
7,7322-Rainier-Ave-S-UNIT-505-Seattle-WA-98118,82366321
8,7526-43rd-Ave-S-A-Seattle-WA-98118,2101331214
9,6612-39th-Ave-S-Seattle-WA-98118,48863794
10,4009-S-Willow-St-Seattle-WA-98118,48863987
11,7524-43rd-Ave-S-B-Seattle-WA-98118,2101388946
12,6800-44th-Ave-S-Seattle-WA-98118,48894690
13,7627-46th-Ave-S-Seattle-WA-98118,48879992
14,5108-S-Myrtle-St-Seattle-WA-98118,48817419
15,4836-S-Austin-St-Seattle-WA-98118,2101296352
16,6535-51st-Ave-S-Seattle-WA-98118,48705435
17,4504-S-Holly-St-Seattle-WA-98118,48894620
18,7501-46th-Ave-S-Seattle-WA-98118,48903347
19,7735-Seward-Park-Ave-S-Seattle-WA-98118,49133369
20,7322-Rainier-Ave-S-UNIT-210-Seattle-WA-98118,82364659
21,7821-46th-Ave-S-Seattle-WA-98118,48903439
22,7751-Seward-Park-Ave-S-Seattle-WA-98118,49133361
23,7250-Rainier-Ave-S-Seattle-WA-98118,2132792819
24,5105-S-Wildwood-Ln-Seattle-WA-98118,49133342
25,7528-43rd-Ave-S-C-Seattle-WA-98118,2101154007
26,4301-S-Webster-St-Seattle-WA-98118,72495667
27,7528-43rd-Ave-S-D-Seattle-WA-98118,2101377359
28,4215-S-Bozeman-St-Seattle-WA-98118,58385778
29,4627-S-Holly-St-Seattle-WA-98118,48705440
30,6804-42nd-Ave-S-Seattle-WA-98118,48894664
