,address,zid
0,16823-33rd-Ave-SW-Burien-WA-98166,48838379
1,11845-22nd-Ave-SW-Burien-WA-98146,48713210
2,2412-SW-172nd-St-Burien-WA-98166,48762412
3,2526-SW-146th-Ln-Burien-WA-98166,49049453
4,383-S-163rd-St-Burien-WA-98148,2101311643
5,1239-SW-132nd-Ln-APT-812-Burien-WA-98146,2108088545
6,13038-2nd-Ave-S-Burien-WA-98168,48734031
7,1012-SW-132nd-St-Burien-WA-98146,48849544
8,3774-SW-171st-St-Burien-WA-98166,48817070
9,16436-13th-Ave-SW-Burien-WA-98166,48661313
10,435-SW-155th-St-APT-F-Burien-WA-98166,2101324465
11,231-S-177th-Pl-Seattle-WA-98148,2103357859
12,1230-SW-157th-St-Burien-WA-98166,48767493
13,449-S-189th-St-Seattle-WA-98148,48773714
14,13205-1st-Ave-S-Burien-WA-98168,2101210960
15,0-S-152nd-St-Burien-WA-98148,2124152449
16,13643-Des-Moines-Memorial-Dr-S-Burien-WA-98168,48842885
17,13417-4th-Ave-S-Burien-WA-98168,48734129
18,17433-Sylvester-Rd-SW-Burien-WA-98166,48838441
19,13624-Occidental-Ave-S-Burien-WA-98168,48843547
20,256-S-182nd-St-Burien-WA-98148,48944412
21,154-SW-142nd-St-Burien-WA-98166,48934702
22,1128-SW-134th-St-Burien-WA-98146,48761183
23,450-SW-154th-St-Burien-WA-98166,48712517
24,11935-Marine-View-Dr-SW-Burien-WA-98146,49056482
25,265-S-163rd-St-Burien-WA-98092,2101311833
26,13823-1st-Ave-SW-Burien-WA-98166,48935146
27,16200-16th-Ave-SW-Burien-WA-98166,48839614
28,11616-23rd-Ave-SW-Burien-WA-98146,48713292
29,17404-Ambaum-Blvd-S-Seattle-WA-98148,63334225
30,15325-6th-Ave-SW-Burien-WA-98166,2103241248
31,17431-Ambaum-Blvd-S-UNIT-B9-Seattle-WA-98148,48860728
32,13104-12th-Ave-S-Burien-WA-98168,48811412
33,16527-Maplewild-Ave-SW-Burien-WA-98166,49049008
34,241-S-163rd-St-Burien-WA-98148,2101311667
35,351-S-163rd-St-Burien-WA-98148,2101311666
36,421-SW-132nd-St-Burien-WA-98146,48871345
37,16027-7th-Ave-SW-Burien-WA-98166,48712131
38,1015-SW-151st-St-Burien-WA-98166,48766199
39,302-SW-146th-St-Burien-WA-98166,48767609
40,12109-24th-Pl-SW-Burien-WA-98146,49056324
41,285-S-163rd-St-Burien-WA-98148,2101311825
42,17431-Ambaum-Blvd-S-UNIT-D13-Seattle-WA-98148,48860798
43,13427-Occidental-Ave-S-Burien-WA-98168,48733925
44,16257-2nd-Pl-S-Burien-WA-98148,2118406414
45,829-S-147th-St-Burien-WA-98168,49114455
