,address,zid
0,941-11th-Ave-E-Seattle-WA-98102,63335596
1,712-11th-Ave-E-Seattle-WA-98102,48724918
2,205-Summit-Ave-E-APT-304-Seattle-WA-98102,2101388851
3,1819-E-Republican-St-STUDIOS-Seattle-WA-98112,2106268477
4,711-12th-Ave-E-Seattle-WA-98102,48724913
5,1102-Harvard-Ave-E-Seattle-WA-98102,49005976
6,Summit-Ave-E-Seattle-WA-98102,2103772743
7,530-Melrose-Ave-E-APT-507-Seattle-WA-98102,48886622
8,1111-E-Pike-St-APT-204-Seattle-WA-98122,89210468
9,1006-E-Prospect-St-APT-E-Seattle-WA-98102,2105008719
10,1819-17th-Ave-APT-1-Seattle-WA-98122,48790019
11,222-Summit-Ave-E-Seattle-WA-98102,2103475049
12,1408-12th-Ave-UNIT-307-Seattle-WA-98122,82364725
13,1159-17th-Ave-E-Seattle-WA-98112,48725239
14,221-13th-Ave-E-Seattle-WA-98102,2103758085
15,1175-Broadway-E-UNIT-D-6-Seattle-WA-98102,2101679502
16,730-Harvard-Ave-E-Seattle-WA-98102,2103710004
17,623-Federal-Ave-E-302-Seattle-WA-98102,2102951040
18,116-11th-Ave-E-APT-202-Seattle-WA-98102,48708132
19,1420-E-Pine-St-UNIT-710-Seattle-WA-98122,67685683
20,131-Bellevue-Ave-E-APT-401-Seattle-WA-98102,48754792
21,410-21st-Ave-E-Seattle-WA-98112,79977140
22,506-E-Howell-St-UNIT-503-Seattle-WA-98122,2122708361
23,111-14th-Ave-E-APT-E-Seattle-WA-98112,49097931
24,1700-Bellevue-Ave-UNIT-304-Seattle-WA-98122,65229076
25,232-Belmont-Ave-E-APT-606-Seattle-WA-98102,48819627
26,1618-Bellevue-Ave-Seattle-WA-98122,2102252112
27,1125-E-Olive-St-APT-509-Seattle-WA-98122,72500847
28,1812-19th-Ave-APT-212-Seattle-WA-98122,63337558
29,319-Summit-Ave-E-APT-302-Seattle-WA-98102,80126838
30,308-E-Republican-St-APT-901-Seattle-WA-98102,2101362584
31,124-Bellevue-Ave-E-UNIT-402-Seattle-WA-98102,72498127
32,1806-15th-Ave-B-Seattle-WA-98122,65230373
33,1645-10th-Ave-E-Seattle-WA-98102,2103335308
34,930-10th-Ave-E-Seattle-WA-98102,2101267901
35,955-10th-Ave-E-Seattle-WA-98102,48818955
36,1708-14th-Ave-Seattle-WA-98122,2104616497
37,411-Boylston-Ave-E-APT-108-Seattle-WA-98102,48826190
38,1551-Minor-Ave-Seattle-WA-98101,2105094142
39,215-13th-Ave-E-STUDIO-Seattle-WA-98102,2103381064
40,1408-12th-Ave-UNIT-508-Seattle-WA-98122,82365995
41,1966-Harvard-Ave-E-Seattle-WA-98102,49004951
42,505-Belmont-Ave-E-APT-1002-Seattle-WA-98102,48926974
43,711-Broadway-E-APT-6-Seattle-WA-98102,2101336303
44,1819-E-Denny-Way-APT-205-Seattle-WA-98122,48815546
45,317-Harvard-Ave-E-APT-310-Seattle-WA-98102,2108025880
46,1818-18th-Ave-APT-303-Seattle-WA-98122,2111529332
47,400-Bellevue-Ave-E-Seattle-WA-98102,2101198387
48,Harvard-Ave-E-Seattle-WA-98102,2101179084
49,1802-E-John-St-Seattle-WA-98112,108801719
50,534-Malden-Ave-E-Seattle-WA-98112,62922605
51,21st-Ave-E-Seattle-WA-98112,2107354923
52,231-Belmont-Ave-E-UNIT-108-Seattle-WA-98102,80118521
53,1125-E-Olive-St-APT-504-Seattle-WA-98122,72499397
54,1019-Belmont-Pl-E-Seattle-WA-98102,48782487
55,Belmont-Ave-E-Seattle-WA-98102,2101383115
56,606-E-Thomas-St-APT-N-Seattle-WA-98102,2146970223
57,400-Melrose-Ave-E-APT-607-Seattle-WA-98102,79520310
58,220-16th-Ave-E-APT-306-Seattle-WA-98112,2117900324
59,404-E-Harrison-St-APT-201-Seattle-WA-98102,49072197
60,1408-12th-Ave-UNIT-503-Seattle-WA-98122,82365012
61,1614-Summit-Ave-S-505-Seattle-WA-98122,2103690552
62,1122-E-Denny-Way-Seattle-WA-98122,48976109
63,109-11th-Ave-E-Seattle-WA-98102,48976127
64,321-Broadway-E-Seattle-WA-98102,2104885315
65,1122-Broadway-E-201-Seattle-WA-98102,2144275619
66,1321-E-John-St-Seattle-WA-98102,2101657042
67,815-E-Denny-Way-APT-204-Seattle-WA-98122,2101360408
68,1711-E-Olive-Way-APT-305-Seattle-WA-98102,68480703
69,505-E-Denny-Way-APT-207-Seattle-WA-98122,2103548570
70,530-Broadway-E-APT-312-Seattle-WA-98102,88877894
71,201-17th-Ave-E-Seattle-WA-98112,2104162667
72,E-Pine-St-Seattle-WA-98122,2101226759
73,1804-15th-Ave-A-Seattle-WA-98122,65229180
74,1717-Bellevue-Ave-E-Seattle-WA-98122,2103330965
75,509-Bellevue-Ave-E-Seattle-WA-98102,2106174113
76,125-16th-Ave-E-Seattle-WA-98112,2101186913
77,730-Boylston-Ave-E-APT-A-Seattle-WA-98102,118557153
78,937-17th-Ave-E-Seattle-WA-98112,48725053
79,1610-Lakeview-Blvd-E-Seattle-WA-98102,48657101
80,730-Belmont-Ave-E-APT-1-Seattle-WA-98102,48989106
81,1715-Harvard-Ave-TOP-Seattle-WA-98122,2101173696
82,1217-24th-Ave-E-Seattle-WA-98112,48725511
83,1505-11th-Ave-APT-304-Seattle-WA-98122,58386725
84,427-13th-Ave-E-APT-A-Seattle-WA-98102,83228026
85,1107-E-Republican-St-F-1-Seattle-WA-98102,2101212785
86,Harvard-Ave-Seattle-WA-98122,2101212780
87,16th-Ave-E-Seattle-WA-98112,2101456497
88,401-Harvard-Ave-E-APT-4-Seattle-WA-98102,2101399555
89,1620-Belmont-Ave-UNIT-225-Seattle-WA-98122,2121991478
90,1550-Lakeview-Blvd-E-Seattle-WA-98102,2110508023
91,1111-E-Pike-St-APT-602-Seattle-WA-98122,89208540
92,103-Bellevue-Ave-E-APT-508-Seattle-WA-98102,63175298
93,1715-E-Roy-St-Seattle-WA-98112,48725103
94,812-E-Blaine-St-Seattle-WA-98102,96698419
95,420-Melrose-Ave-E-APT-502-Seattle-WA-98102,48816091
96,E-John-St-Seattle-WA-98112,2101864590
97,902-17th-Ave-E-Seattle-WA-98112,48725066
98,400-Melrose-Ave-E-APT-503-Seattle-WA-98102,49040331
99,521-16th-Ave-E-UNIT-8-Seattle-WA-98112,72495844
100,1029-Belmont-Ave-E-APT-204-Seattle-WA-98102,58387421
101,1808-E-Highland-Dr-Seattle-WA-98112,48725378
102,532-Belmont-Ave-E-STUDIO-Seattle-WA-98102,2103230429
103,325-Harvard-Ave-E-APT-301-Seattle-WA-98102,2115164676
104,1435-E-John-St-UNIT-408-Seattle-WA-98112,2101274217
105,1964-Harvard-Ave-E-Seattle-WA-98102,2124797477
106,215-20th-Ave-E-APT-104-Seattle-WA-98112,58386475
107,1101-10th-Ave-E-APT-202-Seattle-WA-98102,2101528379
108,103-13th-Ave-E-Seattle-WA-98102,2101339525
109,506-E-Howell-St-APT-E305-Seattle-WA-98122,48657961
110,1627-15th-Ave-Seattle-WA-98122,2106710550
111,1000-E-Garfield-St-Seattle-WA-98102,48871559
