,address,zid
0,1321-Seneca-St-1901-Seattle-WA-98101,2102170087
1,98-Union-St-APT-611-Seattle-WA-98101,48981614
2,1321-Seneca-St-2301-Seattle-WA-98101,2102050365
3,1321-Seneca-St-2304-Seattle-WA-98101,2102050364
4,1000-1st-Ave-UNIT-1800-Seattle-WA-98104,72501076
5,1519-3rd-Ave-APT-701-Seattle-WA-98101,48810155
6,1519-3rd-Ave-APT-604-Seattle-WA-98101,48810152
7,1000-1st-Ave-UNIT-2202-Seattle-WA-98104,72500347
8,1321-Seneca-St-1607-Seattle-WA-98101,2102170092
9,1321-Seneca-St-2101-Seattle-WA-98101,2102050369
10,1321-Seneca-St-1903-Seattle-WA-98101,2102050368
11,737-Olive-Way-APT-3302-Seattle-WA-98101,89210549
12,1321-Seneca-St-2206-Seattle-WA-98101,2102170093
13,99-Union-St-UNIT-1404-Seattle-WA-98101,89823741
14,1321-Seneca-St-605-Seattle-WA-98101,2102170108
15,99-Union-St-UNIT-1104-Seattle-WA-98101,89824468
16,1321-Seneca-St-1001-Seattle-WA-98101,2102170094
17,1521-2nd-Ave-APT-3501-Seattle-WA-98101,88875312
18,1000-1st-Ave-Seattle-WA-98104,72065106
19,1321-Seneca-St-807-Seattle-WA-98101,2102170095
20,1321-Seneca-St-1502-Seattle-WA-98101,2102170106
21,1000-1st-Ave-UNIT-1801-Seattle-WA-98104,72494627
22,1321-Seneca-St-1704-Seattle-WA-98101,2102170104
23,1321-Seneca-St-1403-Seattle-WA-98101,2102170105
24,1321-Seneca-St-2202-Seattle-WA-98101,2102170102
25,1321-Seneca-St-505-Seattle-WA-98101,2102170096
26,1321-Seneca-St-1605-Seattle-WA-98101,2102170100
27,1321-Seneca-St-2005-Seattle-WA-98101,2102170101
28,715-2nd-Ave-APT-1802-Seattle-WA-98104,58386466
29,715-2nd-Ave-Seattle-WA-98104,63337375
30,1321-Seneca-St-2107-Seattle-WA-98101,2102170097
31,2033-2nd-Ave-APT-1502-Seattle-WA-98121,65228904
32,2033-2nd-Ave-APT-2201-Seattle-WA-98121,65228971
33,715-2nd-Ave-2001-Seattle-WA-98104,2102962434
34,99-Union-St-UNIT-1204-Seattle-WA-98101,89820824
35,2033-2nd-Ave-APT-2208-Seattle-WA-98121,64946694
36,1321-Seneca-St-1804-Seattle-WA-98101,2102170088
37,2033-2nd-Ave-APT-802-Seattle-WA-98121,65229906
38,1321-Seneca-St-2303-Seattle-WA-98101,2102170090
39,1321-Seneca-St-1803-Seattle-WA-98101,2102050371
40,1321-Seneca-St-1802-Seattle-WA-98101,2102050372
41,1321-Seneca-St-1602-Seattle-WA-98101,2102050373
42,1321-Seneca-St-503-Seattle-WA-98101,2102050374
43,1321-Seneca-St-604-Seattle-WA-98101,2102170111
44,1321-Seneca-St-402-Seattle-WA-98101,2102050376
45,1321-Seneca-St-303-Seattle-WA-98101,2102050377
46,1321-Seneca-St-201-Seattle-WA-98101,2102170098
47,1321-Seneca-St-306-Seattle-WA-98101,2102170099
48,1000-1st-Ave-UNIT-2400-Seattle-WA-98104,72290274
49,1321-Seneca-St-2204-Seattle-WA-98101,2102050366
50,1321-Seneca-St-504-Seattle-WA-98101,2102170089
51,1415-2nd-Ave-UNIT-1803-Seattle-WA-98101,48978180
52,1521-2nd-Ave-APT-2404-Seattle-WA-98101,88879106
53,2000-1st-Ave-APT-1601-Seattle-WA-98121,48993547
54,909-5th-Ave-UNIT-2401-Seattle-WA-98164,2112494021
55,1321-Seneca-St-2103-Seattle-WA-98101,2102170103
56,737-Olive-Way-APT-3305-Seattle-WA-98101,89210103
57,1321-Seneca-St-802-Seattle-WA-98101,2102170114
58,99-Union-St-UNIT-1406-Seattle-WA-98101,84755294
59,1321-Seneca-St-204-Seattle-WA-98101,2102170116
60,1119-1st-Ave-APT-404-Seattle-WA-98101,48749828
61,1321-Seneca-St-708-Seattle-WA-98101,2102170110
62,1321-Seneca-St-205-Seattle-WA-98101,2102170113
63,1507-Western-Ave-402-3-Seattle-WA-98101,2101293481
64,99-Union-St-UNIT-1801-Seattle-WA-98101,89822174
65,1321-Seneca-St-703-Seattle-WA-98101,2102170112
66,1321-Seneca-St-804-Seattle-WA-98101,2101983594
67,1107-1st-Ave-APT-1302-Seattle-WA-98101,49118188
68,1000-1st-Ave-2401-Seattle-WA-98104,2102687915
69,1521-2nd-Ave-802-Seattle-WA-98101,2101353432
70,1321-Seneca-St-906-Seattle-WA-98101,2102170107
71,1500-4th-Ave-APT-702-Seattle-WA-98101,58388779
72,1500-4th-Ave-APT-1001-Seattle-WA-98101,58388791
73,88-Virginia-St-APT-2-Seattle-WA-98101,2101190821
74,1415-2nd-Ave-UNIT-806-Seattle-WA-98101,48978093
