,address,zid
0,515-Newport-Way-NW-APT-A6-Issaquah-WA-98027,48980608
1,NW-Dogwood-St-Issaquah-WA-98027,2101331936
2,974-NE-Discovery-Walk-Issaquah-WA-98029,2101455523
3,00-Xxx-Issaquah-WA-98027,2102103957
4,26012-SE-152nd-St-Issaquah-WA-98027,48797699
5,25418-SE-159th-St-Issaquah-WA-98027,48968739
6,115-206th-Pl-SE-Issaquah-WA-98027,2101940800
7,1491-Huckleberry-Cir-Issaquah-WA-98029,2139609186
8,1727-15th-Ave-NE-Issaquah-WA-98029,48886333
9,8310-316th-Pl-SE-Issaquah-WA-98027,48861958
10,6505-282nd-Ave-SE-Issaquah-WA-98027,65221627
11,4461-245th-Pl-SE-Issaquah-WA-98029,49080003
12,16119-Issaquah-Hobart-Rd-SE-Issaquah-WA-98027,48817101
13,22002-SE-40th-Ln-APT-111B-Issaquah-WA-98029,2101350698
14,3007-NE-Harrison-Dr-Issaquah-WA-98029,82363511
15,493-Lingering-Pine-Dr-NW-Issaquah-WA-98027,65228523
16,(Undisclosed-Address)-Issaquah-WA-98027,2111184264
17,25235-SE-Klahanie-Blvd-APT-H101-Issaquah-WA-98029,49081678
18,3121-NE-Norton-Ln-Issaquah-WA-98029,63336338
19,24312-SE-41st-Pl-50-Issaquah-WA-98029,2116117450
20,464-Front-St-N-Issaquah-WA-98027,2119918552
21,18701-SE-60th-St-Issaquah-WA-98027,48767979
22,585-Mountain-View-Ln-NE-Issaquah-WA-98027,2106998507
23,5000-NW-Village-Park-Dr-APT-B115-Issaquah-WA-98027,49111906
24,23426-SE-160TH-Pl-Issaquah-WA-98027,48821099
25,18813-SE-May-Valley-Rd-Issaquah-WA-98027,48686835
26,27537-SE-28th-Ct-Sammamish-WA-98075,68474747
27,27513-SE-28th-Ct-Sammamish-WA-98075,68474744
28,2005-Squak-Mountain-Loop-SW-Issaquah-WA-98027,48813836
29,4480-248th-Ln-SE-4480-Issaquah-WA-98029,49057138
30,10511-238th-Way-SE-Issaquah-WA-98027,48666859
31,23757-SE-52nd-Ln-Issaquah-WA-98029,2146017329
32,390-Datewood-Ct-NW-Issaquah-WA-98027,49142919
33,18707-SE-Newport-Way-APT-110-Issaquah-WA-98027,68477844
34,24923-SE-42nd-Dr-Issaquah-WA-98029,48905147
35,18501-SE-Newport-Way-UNIT-M154-Issaquah-WA-98027,52643983
36,14910-245th-Ave-SE-Issaquah-WA-98027,48968787
37,580-Front-St-S-UNIT-B304-Issaquah-WA-98027,48886244
38,22535-SE-Highland-Cir-APT-102-Issaquah-WA-98029,58384691
39,23818-SE-45th-St-LOT-43-Issaquah-WA-98029,2101689635
40,25235-SE-Klahanie-Blvd-APT-A304-Issaquah-WA-98029,49081604
41,4461-238th-Pl-SE-Issaquah-WA-98029,49016278
