,address,zid
0,13451-110th-Pl-NE-Kirkland-WA-98034,49000399
1,12701-NE-113th-Pl-Kirkland-WA-98033,48810057
2,14413-120th-Pl-NE-Kirkland-WA-98034,48814022
3,13216-137th-Pl-NE-Kirkland-WA-98034,119637873
4,14255-92ND-Ave-NE-Kirkland-WA-98034,48881036
5,14326-77th-Ave-NE-Kirkland-WA-98034,118556841
6,11312-NE-124th-St-302-Kirkland-WA-98034,72495441
7,725-1st-St-S-APT-303-Kirkland-WA-98033,48920741
8,514-10th-Ave-W-Kirkland-WA-98033,48901922
9,12721-NE-129th-Ct-UNIT-F201-Kirkland-WA-98034,48664014
10,14801-119th-Ave-NE-Kirkland-WA-98034,48857449
11,11428-NE-87th-St-Kirkland-WA-98033,48902482
12,813-Kirkland-Way-4-Kirkland-WA-98033,2101164401
13,11586-NE-88th-St-Kirkland-WA-98033,48902487
14,11347-NE-112th-St-Kirkland-WA-98033,48902896
15,8728-124th-Ave-NE-Kirkland-WA-98033,48714777
16,8822-NE-118th-Pl-Kirkland-WA-98034,89710573
17,11162-Champagne-Point-Rd-NE-Kirkland-WA-98034,48892375
18,109-2nd-St-S-APT-635-Kirkland-WA-98033,58388041
19,14510-124th-Ave-NE-10C-Kirkland-WA-98034,48900418
20,7830-131st-Ave-NE-Kirkland-WA-98033,49036655
21,11311-NE-128th-St-APT-D201-Kirkland-WA-98034,72496547
22,11441-81st-Ave-NE-Kirkland-WA-98034,48855170
23,9039-NE-Juanita-Dr-APT-103-Kirkland-WA-98034,49036797
24,7624-116th-Ave-NE-Kirkland-WA-98033,48696281
25,7609-127th-Pl-NE-Kirkland-WA-98033,2101852402
26,10325-Slater-Ave-NE-Kirkland-WA-98033,2103168443
27,13613-NE-129th-St-Kirkland-WA-98034,122184183
28,12424-NE-70th-St-Kirkland-WA-98033,79978348
29,220-1st-St-APT-203-Kirkland-WA-98033,72499907
30,0-6-Block:-136th-Ave-NE-Redmond-WA-98033,2101310283
31,6336-NE-138th-Pl-Kirkland-WA-98034,49131847
32,13806-123rd-Ave-NE-Kirkland-WA-98034,49004393
33,9302-NE-123rd-Ct-Kirkland-WA-98034,48760996
34,12715-79th-Ct-NE-Kirkland-WA-98034,48897967
35,10255-NE-62nd-St-Kirkland-WA-98033,48716671
36,10121-NE-124th-Pl-503-Kirkland-WA-98034,48699460
37,12412-NE-108th-Pl-Kirkland-WA-98033,49096856
38,14005-91st-Pl-NE-Kirkland-WA-98034,48949984
39,13644-NE-129th-St-Kirkland-WA-98034,122183898
40,12215-86th-Ave-NE-Kirkland-WA-98034,123727509
41,10022-NE-120th-Ln-Kirkland-WA-98034,2101366320
42,8908-NE-134th-St-Kirkland-WA-98034,2101277420
43,13810-Juanita-Woodinville-Way-NE-Kirkland-WA-98034,48715817
44,122-Xx-91st-Ave-NE-Kirkland-WA-98034,2101244972
45,10151-NE-116th-Pl-Kirkland-WA-98034,48880467
46,10215-125th-Ave-NE-Kirkland-WA-98033,2102097230
47,10802-103rd-Ave-NE-Kirkland-WA-98033,84757485
48,6812-NE-130th-Pl-Kirkland-WA-98034,48917166
49,11110-NE-125th-Ln-APT-H231-Kirkland-WA-98034,2116558937
50,309-10th-Ave-W-Kirkland-WA-98033,48901880
51,8248-126th-Ave-NE-APT-C201-Kirkland-WA-98033,68476111
52,731-16th-Ave-W-Kirkland-WA-98033,48693234
53,8-19th-Ave-Kirkland-WA-98033,48715920
54,13320-NE-137th-Pl-Kirkland-WA-98034,49104935
55,4605-Lake-Washington-Blvd-NE-UNIT-201-Kirkland-WA-98033,2102188820
56,12714-NE-129th-Ct-APT-E102-Kirkland-WA-98034,48664007
57,9721-111th-Ave-NE-Kirkland-WA-98033,48907863
58,11606-NE-140th-St-Kirkland-WA-98034,48857338
59,7608-127th-Pl-NE-Kirkland-WA-98033,2102774891
60,12814-94th-Ave-NE-Kirkland-WA-98034,48842667
61,12510-NE-130th-Way-APT-B106-Kirkland-WA-98034,2103016637
62,718-Kirkland-Cir-APT-B202-Kirkland-WA-98033,2101807604
63,10018-NE-123rd-St-Kirkland-WA-98034,48734835
64,10616-106th-Pl-NE-Kirkland-WA-98033,80114433
65,12724-NE-144th-St-APT-E303-Kirkland-WA-98034,48932425
66,12723-NE-116th-St-APT-G302-Kirkland-WA-98034,48736554
67,15227-116th-Pl-NE-Kirkland-WA-98034,49015193
68,13621-NE-129th-St-Kirkland-WA-98034,2104900236
69,8640-NE-141st-St-Kirkland-WA-98034,49003478
70,8719-NE-133rd-Pl-Kirkland-WA-98034,48830597
71,8149-NE-117th-Pl-Kirkland-WA-98034,2128261475
72,9330-NE-Juanita-Dr-APT-405-Kirkland-WA-98034,48883083
73,300-10th-Ave-W-Kirkland-WA-98033,48901956
74,12740-NE-97th-Pl-Kirkland-WA-98033,49036958
75,9123-NE-Juanita-Dr-UNIT-307-Kirkland-WA-98034,2101304843
76,102-6th-St-S-Kirkland-WA-98033,48691856
77,102-State-St-S-APT-308W-Kirkland-WA-98033,2107610275
78,12607-100th-Lane-Ne-L-254-Kirkland-WA-98034,2102180638
79,9839-NE-138th-Pl-Kirkland-WA-98034,2113805922
80,9060-NE-117th-Pl-Kirkland-WA-98034,2103378682
81,13041-NE-95th-St-Kirkland-WA-98033,48902678
82,104-9th-Ln-127-Kirkland-WA-98033,48969981
83,9904-Ne-142nd-Place-C101-Kirkland-WA-98033,2101760749
84,9727-NE-Juanita-Dr-APT-109-Kirkland-WA-98034,48892517
85,8617-NE-139th-St-Kirkland-WA-98034,48668774
86,10017-NE-122nd-St-MB-Kirkland-WA-98034,48734856
87,14315-123rd-Ave-NE-APT-B-Kirkland-WA-98034,59698880
88,211-Kirkland-Ave-APT-205-Kirkland-WA-98033,68477671
89,10010-NE-138th-Pl-APT-R1-Kirkland-WA-98034,2126300549
90,12234-NE-136th-Pl-Kirkland-WA-98034,48762961
91,11407-NE-103rd-St-Kirkland-WA-98033,48856234
92,11424-NE-86th-St-Kirkland-WA-98033,2101318015
93,8328-NE-126th-Pl-Kirkland-WA-98034,2102173739
94,1540-Kirkland-Ave-Kirkland-WA-98033,48714917
95,13132-NE-138th-Pl-Kirkland-WA-98034,60973229
96,9733-132nd-Ave-NE-Kirkland-WA-98033,48902711
97,838-Kirkland-Ave-Kirkland-WA-98033,63334907
98,10153-NE-112th-Pl-Kirkland-WA-98033,48891786
99,531-10th-Ave-Kirkland-WA-98033,48716491
100,12708-Ne-144th-Street-B-301-Kirkland-WA-98034,2101217235
101,836-Kirkland-Ave-Kirkland-WA-98033,63334908
102,12435-NE-72nd-St-Kirkland-WA-98033,123152136
103,11514-101st-Pl-NE-Kirkland-WA-98033,84756600
104,140-18th-Ave-Kirkland-WA-98033,48716089
105,11818-84th-Ave-NE-Kirkland-WA-98034,48842738
106,1506-5th-Pl-Kirkland-WA-98033,48716260
107,215-9th-St-APT-D101-Kirkland-WA-98033,63562412
108,12414-NE-136th-Pl-Kirkland-WA-98034,48809528
109,1811-Market-St-Kirkland-WA-98033,48693272
110,714-3rd-St-S-Kirkland-WA-98033,48750831
111,14315-130th-Pl-NE-Kirkland-WA-98034,48900148
112,12012-81st-Ave-NE-Kirkland-WA-98034,49140618
113,12229-100th-Ave-NE-B-107-Kirkland-WA-98034,2101456854
114,14262-93rd-Ct-NE-Kirkland-WA-98034,49095018
115,12824-103rd-Pl-NE-Kirkland-WA-98034,49070521
116,12817-NE-139th-Ct-Kirkland-WA-98034,48809418
117,10023-NE-138th-Pl-APT-C5-Kirkland-WA-98034,2124813441
118,11229-NE-128th-St-APT-H302-Kirkland-WA-98034,68478127
119,7014-116th-Ave-NE-APT-C-Kirkland-WA-98033,49134465
120,12654-NE-80th-St-Kirkland-WA-98033,48714715
121,121-5th-Ave-W-Kirkland-WA-98033,48901785
122,13544-137th-Pl-NE-Kirkland-WA-98034,48816579
123,143-8th-Ave-Kirkland-WA-98033,48902280
124,12844-NE-84th-St-Kirkland-WA-98033,48729025
125,13470-NE-135th-St-Kirkland-WA-98034,49111668
126,12914-NE-72nd-St-Kirkland-WA-98033,48808451
127,6224-102nd-Pl-NE-Kirkland-WA-98033,49069043
128,13225-Holmes-Point-Dr-NE-Kirkland-WA-98034,48892418
129,13233-Holmes-Point-Dr-NE-Kirkland-WA-98034,48892419
130,501-Kirkland-Ave-APT-107-Kirkland-WA-98033,48705817
131,10022-Ne-127th-Place-C-113-Kirkland-WA-98034,2101301801
132,8013-NE-115th-Way-Kirkland-WA-98034,48855169
133,648-14th-Ave-W-Kirkland-WA-98033,48902038
134,12719-NE-116th-St-APT-E204-Kirkland-WA-98034,48736534
135,12701-87th-Ct-NE-Kirkland-WA-98034,48808214
136,15-21st-Pl-Kirkland-WA-98033,121902281
137,11423-79th-Way-NE-Kirkland-WA-98034,49092985
138,11413-105th-Ct-NE-502-Kirkland-WA-98033,49077091
139,121-Xx-89th-Ave-NE-Kirkland-WA-98034,2102529233
140,10721-NE-144th-Ct-Kirkland-WA-98034,49071933
141,10834-NE-68th-St-APT-B6-Kirkland-WA-98033,2101174143
142,8430-NE-124th-St-Kirkland-WA-98034,48892488
143,9018-116th-Ave-NE-Kirkland-WA-98033,48715399
144,717-20th-Ave-W-Kirkland-WA-98033,48716601
145,1820-10th-St-W-Kirkland-WA-98033,48902984
146,11104-NE-116th-St-Kirkland-WA-98034,48838097
147,12399-105th-Pl-NE-Kirkland-WA-98034,49120643
148,12423-NE-145th-Pl-APT-B156-Kirkland-WA-98034,2111552481
149,9920-NE-119th-St-APT-306-Kirkland-WA-98034,48785736
150,8119-NE-131st-St-Kirkland-WA-98034,49044525
151,12504-NE-117th-Pl-APT-A8-Kirkland-WA-98034,49031152
152,12439-NE-Totem-Lake-Way-APT-201-Kirkland-WA-98034,58381896
153,10702-NE-65th-Ln-Kirkland-WA-98033,119907130
154,11311-Ohde-Cir-Kirkland-WA-98033,2132846789
155,13632-NE-132nd-Pl-Kirkland-WA-98034,119638221
156,631-Market-St-UNIT-307-Kirkland-WA-98033,72499560
157,12603-95th-Place-Ne-Kirkland-WA-98034,2101349959
158,11006-NE-112th-St-Kirkland-WA-98033,70582093
159,12704-102nd-Ave-NE-Kirkland-WA-98034,49070350
160,12020-100th-Ave-NE-APT-M301-Kirkland-WA-98034,2114680652
161,12326-NE-102nd-Ln-Kirkland-WA-98033,48999885
162,5924-114th-Ave-NE-Kirkland-WA-98033,108801364
163,528-Lake-St-S-APT-A102-Kirkland-WA-98033,2101146517
164,11501-111th-Pl-NE-Kirkland-WA-98033,72498216
165,8257-NE-Juanita-Dr-Kirkland-WA-98034,48892221
166,218-13th-Ave-Kirkland-WA-98033,48716335
167,13422-87th-Ave-NE-Kirkland-WA-98034,48891938
168,12950-NE-39th-St-Bellevue-WA-98005,49002606
169,12221-86th-Ave-NE-Kirkland-WA-98034,48842676
170,11611-91st-Pl-NE-Kirkland-WA-98034,48842671
171,11103-NE-124th-Ln-D113-Kirkland-WA-98034,63924998
172,13900-Juanita-Woodinville-Way-NE-Kirkland-WA-98034,2101651046
173,10104-NE-60th-St-APT-116-Kirkland-WA-98033,72496967
174,13640-NE-129th-St-Kirkland-WA-98034,122182554
175,11303-126th-Ave-NE-Kirkland-WA-98033,48810075
176,201-2nd-Ave-S-Kirkland-WA-98033,49084351
177,7710-127th-Pl-NE-Kirkland-WA-98033,2101471454
178,11316-NE-129th-St-Kirkland-WA-98034,48732911
179,14140-74th-Pl-NE-14B-Kirkland-WA-98034,2101156413
180,4507-Lake-Washington-Blvd-NE-Kirkland-WA-98033,2137321929
181,14335-Simonds-Rd-NE-APT-C302-Kirkland-WA-98034,61767788
182,8439-NE-110th-Pl-Kirkland-WA-98034,48892291
183,12327-93rd-Ln-NE-Kirkland-WA-98034,2102620886
184,11236-NE-141st-St-Kirkland-WA-98034,2102017089
185,4124-106th-Pl-NE-Kirkland-WA-98033,49045398
186,13145-113th-Pl-NE-14-Kirkland-WA-98034,48843758
187,4604-Lake-Washington-Blvd-NE-Kirkland-WA-98033,48921145
188,12514-NE-65th-St-Kirkland-WA-98033,65221324
189,11504-NE-128th-St-APT-30-Kirkland-WA-98034,48758136
190,1509-10th-St-W-Kirkland-WA-98033,48716657
191,9705-110th-Ave-NE-Kirkland-WA-98033,48907872
192,7322-128th-Ave-NE-Kirkland-WA-98033,48808427
193,11217-NE-106th-Pl-Kirkland-WA-98033,48892687
194,8851-NE-Juanita-Ln-Kirkland-WA-98034,48892171
195,13309-NE-138th-Pl-Kirkland-WA-98034,49104988
196,11633-108th-Ave-NE-Kirkland-WA-98034,48847376
197,6013-105th-Ave-NE-Kirkland-WA-98033,48921043
198,12424-NE-145th-St-APT-C10-Kirkland-WA-98034,2103570642
199,11232-NE-141st-Pl-Kirkland-WA-98034,49136862
200,11809-100th-Ave-NE-APT-B303-Kirkland-WA-98034,68479110
201,13433-90th-Pl-NE-Kirkland-WA-98034,48790725
202,11108-NE-65th-St-Kirkland-WA-98033,54829609
203,11808-NE-144th-Pl-Kirkland-WA-98034,48857176
204,13202-NE-129th-Pl-Kirkland-WA-98034,122184167
205,11235-80th-Ave-NE-Kirkland-WA-98034,48667681
206,9607-Slater-Ave-NE-Kirkland-WA-98033,96672591
207,8324-NE-126th-Pl-Kirkland-WA-98034,2101673451
208,13315-125th-Ave-NE-Kirkland-WA-98034,48869572
209,11412-113th-Pl-NE-Kirkland-WA-98033,48754397
210,375-Kirkland-Ave-APT-227-Kirkland-WA-98033,72499961
211,13841-65th-Pl-NE-Kirkland-WA-98034,49131865
212,12808-NE-132nd-Pl-Kirkland-WA-98034,49095715
213,6622-NE-130th-Ln-Kirkland-WA-98034,63336638
214,14507-127th-Ave-NE-Kirkland-WA-98034,2105323185
215,810-19th-Lane-W-Kirkland-WA-98033,2101299247
216,11612-NE-155th-St-Kirkland-WA-98034,49015373
217,6858-NE-129th-St-Kirkland-WA-98034,68474294
218,9201-NE-Juanita-Dr-APT-403-Kirkland-WA-98034,48891205
219,8420-NE-132nd-Pl-Kirkland-WA-98034,48891611
220,513-9th-Ave-Kirkland-WA-98033,48902208
221,4920-102nd-Ln-NE-Kirkland-WA-98033,49145809
222,1113-Kirkland-Ave-APT-3B-Kirkland-WA-98033,80115059
223,1834-Market-St-Kirkland-WA-98033,2140576096
224,11417-NE-88th-St-Kirkland-WA-98033,48902477
225,10020-NE-123rd-St-IC-Kirkland-WA-98034,2101151260
226,14423-131st-Pl-NE-Kirkland-WA-98034,121902967
227,11510-NE-128th-St-APT-4-Kirkland-WA-98034,48758111
