,address,zid
0,12701-NE-113th-Pl-Kirkland-WA-98033,48810057
1,13417-72nd-Ave-NE-Kirkland-WA-98034,49096800
2,14140-74th-Pl-NE-14B-Kirkland-WA-98034,2101156413
3,14335-Simonds-Rd-NE-APT-C302-Kirkland-WA-98034,61767788
4,12022-89th-Pl-NE-Kirkland-WA-98034,49117725
5,11586-NE-88th-St-Kirkland-WA-98033,48902487
6,8617-NE-139th-St-Kirkland-WA-98034,48668774
7,510-Market-St-Kirkland-WA-98033,48902427
8,13132-NE-138th-Pl-Kirkland-WA-98034,60973229
9,6858-NE-129th-St-Kirkland-WA-98034,68474294
10,6622-NE-130th-Ln-Kirkland-WA-98034,63336638
11,12724-NE-144th-St-APT-E101-Kirkland-WA-98034,2108142651
12,14005-91st-Pl-NE-Kirkland-WA-98034,48949984
13,12505-NE-116th-St-APT-A30-Kirkland-WA-98034,49090084
14,11907-NE-67th-Pl-Kirkland-WA-98033,48704205
15,916-2nd-Ave-Kirkland-WA-98033,2101155545
16,10638-NE-125th-Pl-Kirkland-WA-98034,48891677
17,528-Lake-St-S-APT-A102-Kirkland-WA-98033,2101146517
18,1113-Kirkland-Ave-APT-3B-Kirkland-WA-98033,80115059
19,9733-132nd-Ave-NE-Kirkland-WA-98033,48902711
20,218-13th-Ave-Kirkland-WA-98033,48716335
21,14115-88th-Pl-NE-Kirkland-WA-98034,48881731
22,10020-NE-123rd-St-IC-Kirkland-WA-98034,2101151260
23,410-2nd-Ave-S-APT-114-Kirkland-WA-98033,63339203
