,address,zid
0,1321-Seneca-St-1901-Seattle-WA-98101,2102170087
1,2143-N-Northlake-Way-30-Seattle-WA-98103,2101390850
2,1221-Minor-Ave-APT-807-Seattle-WA-98101,49086687
3,559-Galer-St-Seattle-WA-98109,48981677
4,401-9th-Ave-N-APT-315-Seattle-WA-98109,88876893
5,611-Highland-Dr-APT-601-Seattle-WA-98109,58389018
6,2019-Fairview-Ave-E-APT-N-Seattle-WA-98102,2101523250
7,2401-8th-Ave-N-APT-301-Seattle-WA-98109,48956858
8,3900-W-Briarcliff-Ln-Seattle-WA-98199,2102421280
9,131-Bellevue-Ave-E-APT-401-Seattle-WA-98102,48754792
10,2100-3rd-Ave-2604-Seattle-WA-98121,2101164396
11,2001-Westlake-Ave-N-UNIT-34-Seattle-WA-98109,49099139
12,3401-Wallingford-Ave-N-APT-405-Seattle-WA-98103,72498259
13,6527-4th-Ave-NE-A-Seattle-WA-98115,2101703173
14,3607-Interlake-Ave-N-B-Seattle-WA-98103,84755966
15,2625-13th-Ave-W-APT-302-Seattle-WA-98119,49128001
16,2327-Yale-Ave-E-UNIT-I-Seattle-WA-98102,49145586
17,3624-Whitman-Ave-N-APT-4-Seattle-WA-98103,58383172
18,1920-4th-Ave-UNIT-2407-Seattle-WA-98101,92569158
19,2717-Western-Ave-APT-1120-Seattle-WA-98121,65227525
20,769-Hayes-St-APT-504-Seattle-WA-98109,48849169
21,1806-15th-Ave-B-Seattle-WA-98122,65230373
22,655-Crockett-St-APT-B103-Seattle-WA-98109,63562907
23,2420-Westlake-Ave-N-UNIT-7-Seattle-WA-98109,50884614
24,2520-E-Mcgraw-St-Seattle-WA-98112,49006443
25,2343-10th-Ave-E-Seattle-WA-98102,48766475
26,505-Belmont-Ave-E-APT-1002-Seattle-WA-98102,48926974
27,829-21st-Ave-Seattle-WA-98122,49114645
28,8526-2nd-Ave-NE-Seattle-WA-98115,48936683
29,588-Bell-St-UNIT-1006-Seattle-WA-98121,2101780481
30,588-Bell-St-UNIT-311-Seattle-WA-98121,2101780487
31,1019-Belmont-Pl-E-Seattle-WA-98102,48782487
32,701-Galer-St-APT-612-Seattle-WA-98109,48976353
33,400-Melrose-Ave-E-APT-607-Seattle-WA-98102,79520310
34,1408-N-36th-St-Seattle-WA-98103,48789443
35,1125-E-Olive-St-APT-509-Seattle-WA-98122,72500847
36,819-Virginia-St-UNIT-3303-Seattle-WA-98101,80112023
37,3040-11th-Ave-W-Seattle-WA-98119,49015134
38,6529B-4th-Ave-NE-Seattle-WA-98115,2101160021
39,2920-Eastlake-Ave-E-APT-407-Seattle-WA-98102,63900584
40,3624-Whitman-Ave-N-Seattle-WA-98103,63335489
41,1250-Taylor-Ave-N-APT-204-Seattle-WA-98109,108849588
42,8503-Interlake-Ave-N-B-Seattle-WA-98103,63094902
43,911-Nob-Hill-Ave-N-Seattle-WA-98109,48963596
44,901-NE-43rd-St-APT-107-Seattle-WA-98105,82365900
45,3900-2nd-Ave-NE-APT-307-Seattle-WA-98105,48997586
46,3304-Fuhrman-Ave-E-10-Seattle-WA-98102,2101370549
47,2301-Fairview-Ave-E-UNIT-114A-Seattle-WA-98102,49101945
48,2423-8th-Ave-N-Seattle-WA-98109,72495982
49,11-E-Allison-St-3-Seattle-WA-98102,63925010
50,458-Wheeler-St-Seattle-WA-98109,48879012
51,1610-Lakeview-Blvd-E-Seattle-WA-98102,48657101
52,2143-N-Northlake-Way-APT-30-Seattle-WA-98103,82366382
53,1323-Boren-Ave-APT-503-Seattle-WA-98101,68478783
54,417-N-50th-St-Seattle-WA-98103,2103659430
55,1550-Lakeview-Blvd-E-Seattle-WA-98102,2110508023
56,2017-Eastlake-Ave-E-APT-202-Seattle-WA-98102,48785555
57,3721-Sunnyside-Ave-N-Seattle-WA-98103,48919935
58,4022-Stone-Way-N-Seattle-WA-98103,65228606
59,2201-3rd-Ave-APT-1306-Seattle-WA-98121,48831346
60,2960-Eastlake-Ave-E-APT-303-Seattle-WA-98102,89135008
61,218-E-Boston-St-Seattle-WA-98102,48835088
62,3503-Wallingford-Ave-N-Seattle-WA-98103,48920152
63,1029-Belmont-Ave-E-APT-204-Seattle-WA-98102,58387421
64,2920-Eastlake-Ave-E-APT-404-Seattle-WA-98102,63926254
65,1216-5th-Ave-N-Seattle-WA-98109,2101998119
66,2233-Minor-Ave-E-Seattle-WA-98102,48835075
67,2001-Westlake-Ave-N-UNIT-35-Seattle-WA-98109,49099140
68,819-Virginia-St-UNIT-2809-Seattle-WA-98101,80115154
69,2301-Fairview-Ave-E-UNIT-301-Seattle-WA-98102,49101960
