,address,zid
0,3010-25th-Ave-W-Seattle-WA-98199,49120585
1,2116-W-Ruffner-St-Seattle-WA-98199,96660547
2,Thorndyke-Ave-W-Seattle-WA-98199,2101472545
3,3725-W-Armour-Pl-Seattle-WA-98199,48942763
4,4051-Gilman-Ave-W-APT-105-Seattle-WA-98199,2101475563
5,3430-W-Viewmont-Way-W-Seattle-WA-98199,49034868
6,3207-Magnolia-Blvd-W-Seattle-WA-98199,48906510
7,3900-W-Briarcliff-Ln-Seattle-WA-98199,2102421280
8,2110-W-Dravus-St-APT-3-Seattle-WA-98199,2101336858
9,2644A-23rd-Ave-W-Seattle-WA-98199,2141399522
10,3212-Whalley-Pl-W-Seattle-WA-98199,48711721
11,3601-24th-Ave-W-APT-104-Seattle-WA-98199,48790594
12,3841-34th-Ave-W-UNIT-B-Seattle-WA-98199,92571423
13,3108-W-Jameson-St-Seattle-WA-98199,49014386
14,3602-38th-Ave-W-Seattle-WA-98199,49110915
15,3947-W-Barrett-Ln-Seattle-WA-98199,48787943
16,3214-43rd-Ave-W-Seattle-WA-98199,48855572
17,Thorndyke-Ave-W-Seattle-WA-98199,2101410525
18,1636-Magnolia-Blvd-W-Seattle-WA-98199,48726895
19,2840-22nd-Ave-W-Seattle-WA-98199,48824938
20,3843-25th-Ave-W-202-Seattle-WA-98199,2101206169
21,2922-28th-Ave-W-Seattle-WA-98199,48711739
22,3636-34th-Ave-W-Seattle-WA-98199,49009470
23,4435-28th-Pl-W-Seattle-WA-98199,49014426
24,2607-W-Newton-St-Seattle-WA-98199,48825834
25,2844-43rd-Ave-W-Seattle-WA-98199,48727148
26,3432-23rd-Ave-W-Seattle-WA-98199,48824807
27,3036-36th-Ave-W-Seattle-WA-98199,49009929
28,2107-28th-Ave-W-Seattle-WA-98199,48791934
29,26th-Pl-W-Seattle-WA-98199,2101194004
30,2724-W-Blaine-St-Seattle-WA-98199,48880378
31,2900-25th-Ave-W-Seattle-WA-98199,70578939
32,2612-23rd-Ave-W-APT-3-Seattle-WA-98199,48927718
33,2853-21st-Ave-W-Seattle-WA-98199,48824958
34,2863-W-Government-Way-Seattle-WA-98199,49014432
35,2120-W-Ruffner-St-Seattle-WA-98199,96676240
36,2847-22nd-Ave-W-Seattle-WA-98199,48824751
37,2825-Perkins-Ln-W-Seattle-WA-98199,2110264795
38,3037-30th-Ave-W-Seattle-WA-98199,2101153210
39,4400-Brygger-Dr-W-A-Seattle-WA-98199,119114083
40,3037-34th-Ave-W-Seattle-WA-98199,49009891
41,3032-31st-Ave-W-Seattle-WA-98199,49009677
42,2572-28th-Ave-W-Seattle-WA-98199,48663446
43,3611-43rd-Ave-W-Seattle-WA-98199,48942946
44,3616-34th-Ave-W-Seattle-WA-98199,49009468
45,2438-W-Lynn-St-Seattle-WA-98199,48825617
46,3608-26th-Place-W-401-Seattle-WA-98199,2101683958
47,3039-31st-Ave-W-Seattle-WA-98199,48731143
48,3613-22nd-Ave-W-A-Seattle-WA-98199,58383901
49,2323-Perkins-Ln-W-APT-A-Seattle-WA-98199,48726265
50,2333-Perkins-Ln-W-Seattle-WA-98199,48726264
51,3705-Magnolia-Blvd-W-Seattle-WA-98199,48942884
52,3625-Magnolia-Blvd-W-Seattle-WA-98199,48942894
53,2120-W-Ruffner-St-Seattle-WA-98199,2137318473
54,2625-28th-Ave-W-Seattle-WA-98199,48943387
55,4324-W-Cramer-St-Seattle-WA-98199,48701034
56,2515-Piedmont-Pl-W-Seattle-WA-98199,48727062
57,3010-31st-Ave-W-A-Seattle-WA-98199,2101746196
58,3831-25th-Ave-W-Seattle-WA-98199,2108084014
59,2601-W-Blaine-St-Seattle-WA-98199,48880402
