,zpid,street,city,state,zipcode
0,49144758,18400 Occidental Ave S,Burien,WA,98148
1,48713210,11845 22nd Ave SW,Burien,WA,98146
2,2101311643,383 S 163rd St,Burien,WA,98148
3,48935146,13823 1st Ave SW,Burien,WA,98166
4,2108088545,1239 SW 132nd Ln APT 812,Burien,WA,98146
5,48849544,1012 SW 132nd St,Burien,WA,98146
6,48767493,1230 SW 157th St,Burien,WA,98166
7,48773714,449 S 189th St,Seattle,WA,98148
8,48734183,321 S 128th St,Burien,WA,98168
9,48944412,256 S 182nd St,Burien,WA,98148
10,2101311833,265 S 163rd St,Burien,WA,98092
11,82362610,11801 Ambaum Blvd SW UNIT 1,Burien,WA,98146
12,48944149,450 S 181st St,Burien,WA,98148
13,48713292,11616 23rd Ave SW,Burien,WA,98146
14,2101311667,241 S 163rd St,Burien,WA,98148
15,2101311666,351 S 163rd St,Burien,WA,98148
16,2101311825,285 S 163rd St,Burien,WA,98148
17,48856704,11808 Marine View Dr SW,Burien,WA,98146
18,2101311820,335 S 163rd St,Burien,WA,98148
19,48754636,14439 8th Ave S,Burien,WA,98168
20,48981983,15220 27th Ave SW,Burien,WA,98166
21,48806220,2440 SW 170th St,Burien,WA,98166
22,48651596,12919 3rd Ave SW,Burien,WA,98146
23,48943400,13635 Occidental Ave S,Burien,WA,98168
24,48908161,1200 SW 160th St,Burien,WA,98166
25,48754682,14841 8th Ave S,Burien,WA,98168
26,48934911,14322 11th Ave SW,Burien,WA,98166
27,48805513,3021 SW 116th Pl,Burien,WA,98146
28,48822814,14054 6th Ave S,Burien,WA,98168
29,2141499631,17430 Ambaum Blvd S APT 47,Seattle,WA,98148
30,48981967,15243 Maplewild Ave SW,Burien,WA,98166
31,49054880,1445 SW 129th St,Burien,WA,98146
32,48839738,16239 10th Ave SW,Burien,WA,98166
33,49049662,11809 18th Ave SW,Burien,WA,98146
34,48754699,14970 5th Ave S,Burien,WA,98168
35,48806242,16040 19th Ave SW,Burien,WA,98166
36,48877495,11633 18th Ave SW,Burien,WA,98146
37,48653269,13221 12th Ave S,Burien,WA,98168
38,48657995,17404 Ambaum Blvd S APT 203,Seattle,WA,98148
39,48734288,13442 6th Ave S,Burien,WA,98168
40,48939284,327 S 184th St,Burien,WA,98148
41,89823682,15100 6th Ave SW UNIT 731,Burien,WA,98166
42,48839768,16256 9th Ave SW,Burien,WA,98166
43,2101311789,369 S 163rd St,Burien,WA,98148
44,48712377,15814 10th Ave SW,Burien,WA,98166
45,48973302,4416 Dayton Ave N,Seattle,WA,98103
46,48998252,106 NW 42nd St,Seattle,WA,98107
47,2103659430,417 N 50th St,Seattle,WA,98103
48,49139723,323 N 46th St,Seattle,WA,98103
49,58382681,3652 Dayton Ave N,Seattle,WA,98103
50,49141106,226 NW 50th St,Seattle,WA,98107
51,80117029,3601 Fremont Ave N # 1,Seattle,WA,98103
52,49090133,4134 1st Ave NW,Seattle,WA,98107
53,48769244,914 N 40th St,Seattle,WA,98103
54,68474212,209 N 39th St APT 302,Seattle,WA,98103
55,2136199209,406 N 45th St APT 202,Seattle,WA,98103
56,48771412,3632 1st Ave NW,Seattle,WA,98107
57,49141103,5012 3rd Ave NW,Seattle,WA,98107
58,49090768,500 NW Bright St,Seattle,WA,98107
59,61766907,4310 Dayton Ave N APT 203,Seattle,WA,98103
60,48998324,4241 Palatine Ave N,Seattle,WA,98103
61,48998346,4223 Greenwood Ave N,Seattle,WA,98103
62,82239721,3632 Palatine Ave N # A,Seattle,WA,98103
63,48722917,120 NW 40th St,Seattle,WA,98107
64,63563403,4516 Linden Ave N,Seattle,WA,98103
65,48769064,415 N 42nd St,Seattle,WA,98103
66,49084510,402 N 44th St,Seattle,WA,98103
67,48769080,4037 Dayton Ave N,Seattle,WA,98103
68,48907466,4000 Midvale Ave N,Seattle,WA,98103
69,48907449,3925 Midvale Ave N,Seattle,WA,98103
70,49141527,818 S 272nd St,Des Moines,WA,98198
71,48983450,425 S 193rd St,Des Moines,WA,98148
72,48696985,1611 S 258th St,Des Moines,WA,98198
73,48650157,22700 28th Ave S APT 307,Des Moines,WA,98198
74,49013262,25818 15th Ave S,Des Moines,WA,98198
75,49065732,1904 S 259th St,Des Moines,WA,98198
76,48821492,21831 30th Ave S,Des Moines,WA,98198
77,49027798,1205 S 226th St,Des Moines,WA,98198
78,48677367,1619 S 223rd St,Des Moines,WA,98198
80,48969097,2614 S 226th St APT B302,Des Moines,WA,98198
81,49021171,28313 Redondo Way S APT 108,Des Moines,WA,98198
82,48851820,28794 Redondo Beach Dr S,Des Moines,WA,98198
83,49141416,26431 Marine View Dr S,Des Moines,WA,98198
84,49042637,1204 S 259th Pl,Des Moines,WA,98198
85,49065750,25746 18th Ave S,Des Moines,WA,98198
86,48773288,819 S 231st St,Des Moines,WA,98198
87,49013771,24019 23rd Ave S,Des Moines,WA,98198
88,48749603,1608 S 254th Pl,Des Moines,WA,98198
