,_id,city,latitude,longitude,state,street,zipcode,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,images_count,images_image,links_homedetails,links_homeinfo,links_photogallery,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,agentname,agentprofileurl,externalurl,lastupdateddate,mls,openhousedates,status,type,price,schooldistrict,trans_desc,trans_score,trans_summary,walkscore_desc,walkscore_score,whatownerloves,zpid
0,55f3ac7e3ae74048e6bff0ae,Burien,47.437704,-122.333725,WA,18400 Occidental Ave S,98148,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",Ranch / Rambler,None,2.0,3,,2,Wood,1250,"Carpet, Hardwood, Linoleum / Vinyl, Tile",,Gas,Forced air,7581,1,,,Garage - Attached,Composition,"Breakfast nook, Family room",SingleFamily,,1954,,,,"Incredible rambler in a great location. New interior designer paint, hardwood floors, updated kitchen w/new sink along with an updated bathroom featuring newer ceramic tile floors & newer tub w/white tile.  Forced-air gas heat & two wood-burning fireplaces. Not only is there a cozy living room but a large rec room for extra fun. Charming front yard & fully fenced backyard for Fido. Large 2-car attached garage. Close to shopping & bus line. Welcome home..:-)",,,http://www.zillow.com/homedetails/18400-Occidental-Ave-S-Burien-WA-98148/49144758_zpid/,http://www.zillow.com/homedetails/18400-Occidental-Ave-S-Burien-WA-98148/49144758_zpid/,http://www.zillow.com/homedetails/18400-Occidental-Ave-S-Burien-WA-98148/49144758_zpid/#image=lightbox%3Dtrue,,,1531,1531,,,,,,,,,,,,,,,,,49144758
1,55f3ac7f3ae74048e6bff0af,Burien,47.496034,-122.362091,WA,11845 22nd Ave SW,98146,,Spanish,Finished,2.0,4,,,,2160,,,,Forced air,6011,1,,,"Carport, Garage - Detached",Composition,,SingleFamily,,1940,,,,"Gorgeous Remodeled Home Situated On Quiet Dead End Street In Desirable Shorewood. Newer Roof, Windows, Siding, Kitchen And Bathroom. Huge Kitchen With Maple Cabinets, Slab Granite Counters, Stainless Steel Appliances And Travertine Floor. 3 Bedrooms & Full Bath On Main Floor. 4th Bedroom, Family Room, Den And Full Bath On Lower Floor. Off Street Parking For Several Cars. Rv/Boat Shed. Easy Commute To Downtown Seattle. Deceptively Spacious Home.",8,None,http://www.zillow.com/homedetails/11845-22nd-Ave-SW-Burien-WA-98146/48713210_zpid/,http://www.zillow.com/homedetails/11845-22nd-Ave-SW-Burien-WA-98146/48713210_zpid/,http://www.zillow.com/homedetails/11845-22nd-Ave-SW-Burien-WA-98146/48713210_zpid/#image=lightbox%3Dtrue,,,2153,2153,Freddy M. Delgadillo,http://www.zillow.com/profile/Judah-Realty/,http://www.JudahRealty.com,2015-07-23 08:54:00.0,822933,,Active,For sale by agent,409000,,Good Transit,39.0,"4 nearby routes: 4 bus, 0 rail, 0 other",Car-Dependent,23.0,,48713210
2,55f3add23ae74048e6bff0b0,Burien,47.44778,-122.32847,WA,383 S 163rd St,98148,,,,2.5,4,,,,2676,,,,,6500,,,,,,,SingleFamily,,2015,,,,"The Blakely offers 9"" ceilings with 8' doors on the main floor & plenty of natural light throughout. This 2-Story home has 4 bedrooms, 2.5 baths, a 3-car garage, mud room & a gorgeous sun room off the kitchen. The main floor living space is an expansive open area that encompasses a designer kitchen, dining room, great room, outdoor living & guest powder room. The 1st floor also features a guest room or can be used as a den. The master suite has a luxurious five-piece bathroom & walk-in closet",1,http://photos2.zillowstatic.com/p_d/IS1fwd4li2423m0000000000.jpg,http://www.zillow.com/homedetails/383-S-163rd-St-Burien-WA-98148/2101311643_zpid/,http://www.zillow.com/homedetails/383-S-163rd-St-Burien-WA-98148/2101311643_zpid/,http://www.zillow.com/homedetails/383-S-163rd-St-Burien-WA-98148/2101311643_zpid/#image=lightbox%3Dtrue,,,190,190,Chandra Ruch,http://www.zillow.com/profile/chandrarruch/,,2015-08-25 16:02:00.0,741782,,Active,For sale by agent,494950,,Good Transit,33.0,"6 nearby routes: 6 bus, 0 rail, 0 other",Car-Dependent,42.0,,2101311643
3,55f3add23ae74048e6bff0b9,Burien,47.478747,-122.335567,WA,13823 1st Ave SW,98166,,,,1.75,3,,,,1870,,,,,8775,,,,,,,SingleFamily,,1943,,,,,1,http://photos3.zillowstatic.com/p_d/ISl28up0ky8izq0000000000.jpg,http://www.zillow.com/homedetails/13823-1st-Ave-SW-Burien-WA-98166/48935146_zpid/,http://www.zillow.com/homedetails/13823-1st-Ave-SW-Burien-WA-98166/48935146_zpid/,http://www.zillow.com/homedetails/13823-1st-Ave-SW-Burien-WA-98166/48935146_zpid/#image=lightbox%3Dtrue,,,943,943,,,,,,,,,,,Good Transit,40.0,"7 nearby routes: 7 bus, 0 rail, 0 other",Very Walkable,73.0,,48935146
4,55f3add23ae74048e6bff0b1,Burien,47.48424,-122.35084,WA,1239 SW 132nd Ln APT 812,98146,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Contemporary,None,2.0,2,Wall,1,Composition,1080,"Laminate, Tile",1,"Electric, Wood / Pellet","Baseboard, Stove, Wall",,1,6,1,"Garage - Attached, Off-street",Asphalt,"Dining room, Master bath, Pantry, Workshop, Walk-in closet",Condominium,"Park, Territorial",1982,2013,,,"Call Jim 425-432-0303 or cell 206-423-5789 or Work 425-432-5930 or Debbie's cell 206-423-5788
Beautiful Home, Completely Remodeled with laminate and stone tile floors, This is used as a vacation home with very little use. New paint throughout. Newer kitchen and bathrooms. Comes with convenient covered parking under the building with a  locking storage unit and another parking spot outside. Right at the trail head of Seahurst Park with a gentle trail down to Puget Sound Beach and newly completely rebuilt park this year, just re-opened.  At the lower end of the complex at the Park boundary surrounded by Park woods. Very safe and quiet!,  On the first floor with one set of stairs up from the parking under the unit. Panoramic view of the Park from the Sliding door with balcony and 2 large bedroom windows overlooking over park in back.. Garden & BBQ Patio Area. at the ground level in front. 2 large bedrooms and 2 full Bathes and walk in closet. Fire place.  Very quiet, double thick adjoining walls so you never hear the neighbors.  Water, garbage, insurance, maintenance, pool & cabana with hot tub & Sana and basic cable included in the reasonable dues. ",44,None,http://www.zillow.com/homedetails/1239-SW-132nd-Ln-APT-812-Burien-WA-98146/2108088545_zpid/,http://www.zillow.com/homedetails/1239-SW-132nd-Ln-APT-812-Burien-WA-98146/2108088545_zpid/,http://www.zillow.com/homedetails/1239-SW-132nd-Ln-APT-812-Burien-WA-98146/2108088545_zpid/#image=lightbox%3Dtrue,,,9696,9696,,,http://www.burienwa.gov/Facilities/Facility/Details/Seahurst-Park-19,2015-08-05 00:14:00.0,,,Active,For sale by owner,185000,,Good Transit,38.0,"3 nearby routes: 3 bus, 0 rail, 0 other",Somewhat Walkable,57.0,"Seahurst Park!  We are right at the trail head to Seahurst Park right out the back door. I love walking on the Park nature trails right down to the beach. The trail comes out at the far end of Seahurst with less people and many times I feel like I have my own private park with sandy beaches, picnic tables with covered areas and views of Puget Sound. Almost a mile of walkable beach and lots of trails. The Condo is very quiet being surrounded on 3 sides by park woods. ",2108088545
5,55f3add23ae74048e6bff0b2,Burien,47.485108,-122.347357,WA,1012 SW 132nd St,98146,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",,Finished,2.0,4,,,,2100,"Carpet, Hardwood, Tile",,Electric,Forced air,9000,2,,,Carport,,"Breakfast nook, Dining room, Family room",SingleFamily,,1951,1980,,,,17,None,http://www.zillow.com/homedetails/1012-SW-132nd-St-Burien-WA-98146/48849544_zpid/,http://www.zillow.com/homedetails/1012-SW-132nd-St-Burien-WA-98146/48849544_zpid/,http://www.zillow.com/homedetails/1012-SW-132nd-St-Burien-WA-98146/48849544_zpid/#image=lightbox%3Dtrue,,,3334,3334,Daniel Bretzke,http://www.zillow.com/profile/Bretzke/,,2015-07-19 14:03:00.0,821052,,Active,For sale by agent,299000,,Good Transit,39.0,"6 nearby routes: 6 bus, 0 rail, 0 other",Somewhat Walkable,54.0,,48849544
6,55f3add23ae74048e6bff0b3,Burien,47.462453,-122.351253,WA,1230 SW 157th St,98166,,,,2.0,3,,,,1590,,,,,10497,,,,,,,SingleFamily,,1923,,,,"Location location location! Plenty of potential in this charming Burien rambler with water views! Hardwood floors are only the beginning of the kitchen and dining experience, which also features recent Maple shaker-inspired cabinets with crown molding and dual-basin stainless sink with over-sink garden window, great for herb growing! Master bedroom features access to wraparound decking, where youll enjoy unprecedented proximity to Lake Burien.",14,None,http://www.zillow.com/homedetails/1230-SW-157th-St-Burien-WA-98166/48767493_zpid/,http://www.zillow.com/homedetails/1230-SW-157th-St-Burien-WA-98166/48767493_zpid/,http://www.zillow.com/homedetails/1230-SW-157th-St-Burien-WA-98166/48767493_zpid/#image=lightbox%3Dtrue,,,8676,8676,,,,,,,,,,,Good Transit,44.0,"11 nearby routes: 11 bus, 0 rail, 0 other",Car-Dependent,41.0,,48767493
7,55f3add23ae74048e6bff0b4,Seattle,47.433121,-122.328079,WA,449 S 189th St,98148,,,None,2.0,4,Central,,Wood,1460,Hardwood,,Gas,Forced air,9504,2,,,Garage - Attached,Shake / Shingle,,SingleFamily,,1960,,,,,1,http://photos1.zillowstatic.com/p_d/IS13nmy5yt5p5sz.jpg,http://www.zillow.com/homedetails/449-S-189th-St-Seattle-WA-98148/48773714_zpid/,http://www.zillow.com/homedetails/449-S-189th-St-Seattle-WA-98148/48773714_zpid/,http://www.zillow.com/homedetails/449-S-189th-St-Seattle-WA-98148/48773714_zpid/#image=lightbox%3Dtrue,,,1915,1915,,,,,,,,,,,Good Transit,34.0,"4 nearby routes: 4 bus, 0 rail, 0 other",Car-Dependent,36.0,,48773714
8,55f3add23ae74048e6bff0b5,Burien,47.488354,-122.328952,WA,321 S 128th St,98168,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Craftsman,None,1.5,3,None,,Wood,1100,"Carpet, Hardwood, Linoleum / Vinyl, Tile",,Electric,Baseboard,6916,1,,,Off-street,Composition,"Breakfast nook, Family room, Laundry room",SingleFamily,None,1962,,,,"Beautiful Burien 1 Story Home, Fully Remodeled In 2015. Brand New Stainless Steel Appliances--
Stove, Fridge, Microwave & Dishwasher. Very Modern Tile Back Splash & Tile Floors In The Kitchen & Bathrooms. Freshly Painted Exterior & Interior 2015, New Carpet, Newer Roof. Everything is New! Well Maintained Yard With Room to Garden, Fenced Yard. Two Driveways With Plenty Of Parking. Very Close To Downtown Seattle, Freeways (509, 405, I-5), Bus Routes, Grocery Stores, Shopping, Restaurants.",16,None,http://www.zillow.com/homedetails/321-S-128th-St-Burien-WA-98168/48734183_zpid/,http://www.zillow.com/homedetails/321-S-128th-St-Burien-WA-98168/48734183_zpid/,http://www.zillow.com/homedetails/321-S-128th-St-Burien-WA-98168/48734183_zpid/#image=lightbox%3Dtrue,,,3466,3466,,,http://www.johnlscott.com/811479,2015-07-01 20:13:00.0,811479,,,Not for sale,,,Good Transit,35.0,"6 nearby routes: 6 bus, 0 rail, 0 other",Car-Dependent,44.0,,48734183
9,55f3add23ae74048e6bff0b6,Burien,47.439838,-122.329693,WA,256 S 182nd St,98148,,,,1.5,4,Central,,,1644,,,Gas,Forced air,11108,1,,,,,,SingleFamily,,1957,,,,"Complete info: Spacious rambler dining area has entrance to patio, Large fenced backyard detached garage w/ shop.  Located on a corner lot near the Normandy Park shopping center, the convenient location offers walking distance to shopping, bus, banks etc. Property is NOT located in a FEMA Special Flood Hazard Area but is listed as a low to moderate flood risk. Refer to www.FloodSmart.gov for addl. information regarding flood zones and insurance, Property is connected to a septic system.",17,None,http://www.zillow.com/homedetails/256-S-182nd-St-Burien-WA-98148/48944412_zpid/,http://www.zillow.com/homedetails/256-S-182nd-St-Burien-WA-98148/48944412_zpid/,http://www.zillow.com/homedetails/256-S-182nd-St-Burien-WA-98148/48944412_zpid/#image=lightbox%3Dtrue,,,8158,8158,,,,2015-09-05 23:13:00.0,,,,Make me move,289999,,Good Transit,34.0,"4 nearby routes: 4 bus, 0 rail, 0 other",Car-Dependent,41.0,,48944412
