,address,zid
0,1017-W-Nickerson-St-APT-31-Seattle-WA-98119,48986770
1,2817-Prosch-Ave-W-Seattle-WA-98119,122183926
2,2506-12th-Ave-W-Seattle-WA-98119,48825378
3,3232-12th-Ave-W-Seattle-WA-98119,48825215
4,3447-11th-Ave-W-Seattle-WA-98119,48825227
5,63-W-Etruria-St-APT-6-Seattle-WA-98119,48795081
6,2627-Warren-Ave-N-APT-300-Seattle-WA-98109,58381812
7,2407-7th-Ave-W-Seattle-WA-98119,49132081
8,2832-14th-Ave-W-APT-5-Seattle-WA-98119,2101195341
9,2425-2nd-Ave-W-Seattle-WA-98119,48818710
10,2625-13th-Ave-W-APT-302-Seattle-WA-98119,49128001
11,2519-2nd-Ave-W-Seattle-WA-98119,48818530
12,2834-15th-Ave-W-Seattle-WA-98119,2103973869
13,301-W-Raye-St-APT-209-Seattle-WA-98119,63563002
14,2821-10th-Ave-W-Seattle-WA-98119,48807865
15,3037-11th-Ave-W-Seattle-WA-98119,49012687
16,3255-10th-Ave-W-Seattle-WA-98119,49014936
17,3037-3rd-Ave-W-Seattle-WA-98119,49108940
18,3656-13th-Ave-W-Seattle-WA-98119,63337994
19,2504-9th-Ave-W-Seattle-WA-98119,49072340
20,3240-15th-Ave-W-Seattle-WA-98119,2104489288
21,8-W-Fulton-St-Seattle-WA-98119,49009181
22,2625-13th-Ave-W-APT-203-Seattle-WA-98119,49127997
23,13th-Ave-W-Seattle-WA-98119,2101908732
24,8th-Ave-W-Seattle-WA-98119,2101968421
25,Dravus-St-Seattle-WA-98109,2107187072
26,2504-7th-Ave-W-Seattle-WA-98119,48798183
27,1017-W-Nickerson-St-APT-15-Seattle-WA-98119,48986760
28,3609-14th-Ave-W-APT-201-Seattle-WA-98119,48978016
29,2535-10th-Ave-W-Seattle-WA-98119,49064234
30,2550-Queen-Anne-Ave-N-Seattle-WA-98109,2114985879
31,3040-11th-Ave-W-Seattle-WA-98119,49015134
32,18-Newell-St-Seattle-WA-98109,49009142
33,937-W-Emerson-St-Seattle-WA-98119,49037745
34,2584-3rd-Ave-W-B-Seattle-WA-98119,67684814
35,422-W-Raye-St-Seattle-WA-98119,48698180
36,2nd-Ave-N-Seattle-WA-98109,2101245406
37,2620-Queen-Anne-Ave-N-Seattle-WA-98109,49009105
38,3011-12th-Ave-W-Seattle-WA-98119,49012712
39,3050-14th-Ave-W-Seattle-WA-98119,2103513419
40,110-W-Smith-St-Seattle-WA-98119,48818567
41,936-W-Emerson-St-APT-A-Seattle-WA-98119,2101417502
42,8th-Ave-W-Seattle-WA-98119,2102230086
43,12-W-Etruria-St-Seattle-WA-98119,2101510735
44,1022-W-Armour-St-Seattle-WA-98119,48807850
45,2573-13th-Ave-W-Seattle-WA-98119,48825041
46,2806-13th-Ave-W-Seattle-WA-98119,48948374
47,3439C-14th-Ave-W-Seattle-WA-98119,2130184567
48,2557-14th-Ave-W-Seattle-WA-98119,2101614613
49,2447-4th-Ave-W-Seattle-WA-98119,49014773
50,932-W-Emerson-St-932B-Seattle-WA-98119,2101347036
51,63-Etruria-St-APT-C-Seattle-WA-98109,63335384
52,43-Etruria-St-APT-3-Seattle-WA-98109,2111400446
53,3411-14th-Ave-W-APT-6-Seattle-WA-98119,2101179034
54,628-W-Nickerson-St-Seattle-WA-98119,49037707
55,14th-Ave-W-Seattle-WA-98119,2105289271
56,2901-1st-Ave-N-Seattle-WA-98109,49009192
57,14th-Ave-W-Seattle-WA-98119,2101165980
58,805-W-Cremona-St-Seattle-WA-98119,49015008
59,63-Etruria-St-APT-A-Seattle-WA-98109,63231212
60,17-Etruria-Street-Top-Floor-Seattle-WA-98109,2101169487
