,address,zid
0,6263-137th-Pl-NE-230-Redmond-WA-98052,2101639412
1,10507-164th-Ave-NE-Redmond-WA-98052,49021774
2,6049-139th-Ave-Ne-146-Redmond-WA-98052,2101331930
3,7208-148th-Ave-NE-Redmond-WA-98052,48995657
4,2420-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,49004482
5,8814-228th-Way-NE-Redmond-WA-98053,63068291
6,6448-138th-Ave-NE-APT-402-Redmond-WA-98052,49058586
7,2221-274th-Ave-NE-Redmond-WA-98053,48807223
8,25325-NE-80th-St-Redmond-WA-98053,48707684
9,6803-141st-Ct-NE-Redmond-WA-98052,2101577233
10,3258-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,48768327
11,3041-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,48768324
12,16275-NE-85th-St-APT-213-Redmond-WA-98052,67685592
13,8420-169th-Ave-NE-101-Redmond-WA-98052,2102408487
14,18620-NE-55th-Way-Redmond-WA-98052,2101210203
15,6890-156th-Place-Ne-Redmond-WA-98052,2101189226
16,2423-176th-Ct-NE-Redmond-WA-98052,49022239
17,16127-NE-41st-Ct-Redmond-WA-98052,48656643
18,2539-174th-Ave-NE-Redmond-WA-98052,49043305
19,10729-221st-Ln-NE-Redmond-WA-98053,2126663308
20,6347-137th-Ave-NE-APT-269-Redmond-WA-98052,49058685
21,8015-145th-Ave-NE-Redmond-WA-98052,2101998073
22,16977-NE-123rd-St-Redmond-WA-98052,2101295148
23,13727-NE-76th-Pl-Redmond-WA-98052,49088003
24,18425-NE-95th-St-UNIT-164-Redmond-WA-98052,2137325745
25,9805-Avondale-Rd-NE-APT-X161-Redmond-WA-98052,82364683
26,15820-NE-90th-Way-Redmond-WA-98052,2144722009
27,16957-NE-123rd-St-Redmond-WA-98052,2101295147
28,25206-NE-108th-St-Redmond-WA-98053,48878822
29,22316-NE-111th-Pl-Redmond-WA-98053,48862322
30,16972-NE-123rd-St-Redmond-WA-98052,2101394307
31,8805-166th-Ave-NE-APT-B02-Redmond-WA-98052,48758755
32,5957-185th-Ct-NE-6-106-Redmond-WA-98052,2101259060
33,15791-NE-114th-Way-Redmond-WA-98052,2101210964
34,15971-NE-95th-Way-Redmond-WA-98052,2111611867
35,24610-NE-126th-St-Duvall-WA-98019,48817807
36,15291-NE-82nd-St-UNIT-304-Redmond-WA-98052,2145149477
37,17112-NE-115th-Way-Redmond-WA-98052,58383945
38,16627-NE-106th-St-Redmond-WA-98052,48966277
39,12215-168th-Pl-NE-Redmond-WA-98052,96665072
40,16702-NE-128th-St-Redmond-WA-98052,48807681
41,16942-NE-123rd-St-Redmond-WA-98052,2101394308
42,7250-Old-Redmond-Rd-APT-L143-Redmond-WA-98052,48952444
43,22651-NE-Alder-Crest-Dr-UNIT-101-Redmond-WA-98053,61765947
44,7435-139th-Ave-NE-Lake-Stevens-WA-98258,2101152227
45,6307-151st-Ave-NE-Redmond-WA-98052,49068631
46,16319-NE-44th-Ct-Redmond-WA-98052,48797803
47,9114-159th-Pl-NE-403-Redmond-WA-98052,49033848
48,11636-239th-Ave-NE-Redmond-WA-98053,59710994
49,12923-Sunbreak-Way-NE-Redmond-WA-98053,63216288
50,15151-NE-81st-Way-UNIT-106-Redmond-WA-98052,92570805
51,9230-159th-Pl-NE-203-Redmond-WA-98052,49033840
52,2616-174th-Ave-NE-Redmond-WA-98052,49043246
53,4323-279th-Ave-NE-Redmond-WA-98053,48762013
54,23762-NE-134th-Pl-Redmond-WA-98053,68481245
55,12625-Avondale-Rd-NE-Redmond-WA-98052,48842764
56,9805-Avondale-Rd-NE-APT-T154-Redmond-WA-98052,82362191
57,11727-170th-Ct-NE-Redmond-WA-98052,119637573
58,7912-170th-Ave-NE-UNIT-305-Redmond-WA-98052,58386148
59,6702-139th-Ave-NE-APT-743-Redmond-WA-98052,49058312
60,15343-NE-(Lot-19)-106th-Ct-Redmond-WA-98052,2103164191
61,8236-172nd-Ave-NE-Redmond-WA-98052,48737921
