,address,zid
0,12251-Des-Moines-Memorial-Dr-S-Seattle-WA-98168,48698830
1,11604-25th-Ave-S-Seattle-WA-98168,48695377
2,1832-S-116th-St-Seattle-WA-98168,48698743
3,10639-Glen-Acres-Dr-S-Seattle-WA-98168,2141231499
4,11672-Des-Moines-Memorial-Dr-S-Seattle-WA-98168,48695355
5,12607-14th-Ave-S-Seattle-WA-98168,49075914
6,2002-S-120th-St-Seattle-WA-98168,48695530
7,12223-Military-Rd-S-Seattle-WA-98168,72063728
8,11108-8th-Pl-S-Seattle-WA-98168,48689431
9,2639-S-123rd-St-Seattle-WA-98168,2103502119
10,12251-Des-Moines-Memorial-Dr-S-Seattle-WA-98168,2102147009
11,12615-14th-Ave-S-Seattle-WA-98168,49075916
12,11800-14th-Ave-S-Seattle-WA-98168,48868513
13,12633-14th-Ave-S-Seattle-WA-98168,49075918
14,11828-Roseberg-Ave-S-Seattle-WA-98168,96665991
15,12603-23rd-Ave-S-Seattle-WA-98168,48695558
16,10475-8th-Ave-S-Seattle-WA-98168,108807989
17,1054-S-124th-St-Seattle-WA-98168,49075999
18,12241-24th-Ave-S-Seattle-WA-98168,48895917
19,10459-Des-Moines-Memorial-Dr-S-APT-202-Seattle-WA-98168,49083932
20,11804-16th-Ave-S-Seattle-WA-98168,48698792
21,12052-26th-Ave-S-Seattle-WA-98168,48662598
22,11915-Roseberg-Ave-S-APT-208-Seattle-WA-98168,72497584
23,11915-Roseberg-Ave-S-APT-110-Seattle-WA-98168,72498488
24,10921-Glen-Acres-Dr-S-APT-B-Seattle-WA-98168,2123349198
25,1411-S-99th-St-Seattle-WA-98108,49027631
26,10623-Glen-Acres-Dr-S-10623-Seattle-WA-98168,48977656
27,10454-Des-Moines-Memorial-Dr-S-Seattle-WA-98168,48670367
28,12269-22nd-Ave-S-Seattle-WA-98168,48895853
29,10424-17th-Ave-S-Seattle-WA-98168,48826310
30,9959-14th-Ct-S-Seattle-WA-98108,48970749
31,11813-Des-Moines-Memorial-Dr-S-Burien-WA-98168,2102300047
32,11833-24th-Ave-S-Seattle-WA-98168,48876210
33,1201-S-124th-St-Seattle-WA-98168,49075949
34,12421-Des-Moines-Memorial-Dr-S-Seattle-WA-98168,2102287082
35,12002-16th-Ave-S-Seattle-WA-98168,48698807
36,11416-8th-Ave-S-Seattle-WA-98168,2108603138
37,11915-Roseberg-Ave-S-APT-310-Seattle-WA-98168,72496487
38,1120-S-99TH-Pl-Seattle-WA-98108,96698822
39,1433-S-120th-St-Seattle-WA-98168,49075806
40,12248-16th-Ave-S-Seattle-WA-98168,48698842
41,11650-25th-Ave-S-Seattle-WA-98168,48695465
42,819-S-110TH-Pl-Seattle-WA-98168,96670947
43,2118-S-118th-St-Seattle-WA-98168,48695619
44,11837-14th-Ave-S-Seattle-WA-98168,48868568
45,12634-20th-Ave-S-Seattle-WA-98168,48695569
46,10909-Glen-Acres-Dr-S-APT-A-Seattle-WA-98168,2108413334
47,12223-22nd-Ave-S-Seattle-WA-98168,48895846
48,10114-11th-Ave-S-Seattle-WA-98168,48955599
49,2640-S-125th-Ct-Seattle-WA-98168,54829096
50,12054-16th-Ave-S-Seattle-WA-98168,48698819
51,1815-S-103rd-St-Seattle-WA-98168,48670393
52,2312-S-128th-St-Seatac-WA-98168,48695483
53,10826-Glen-Acres-Dr-S-Seattle-WA-98168,2137315310
54,1808-S-118th-St-APT-106-Seattle-WA-98168,48793469
55,2025-S-112th-St-Seattle-WA-98168,48695353
56,1025-S-112th-St-Seattle-WA-98168,48868335
57,10454-Desmoines-Memorial-Drive-South-Seattle-WA-98168,2102110610
58,10851-8th-Ave-S-Seattle-WA-98168,48689474
59,10128-16th-Ave-S-Seattle-WA-98168,48656115
60,11812-Military-Rd-S-Seattle-WA-98168,48844928
