,address,zid
387,16312-SE-48th-St-Bellevue-WA-98006,48749340
390,9322-Sunset-Way-Bellevue-WA-98004,49113485
393,7055-170th-Ave-SE-Bellevue-WA-98006,96656975
394,17304-NE-18th-Pl-Bellevue-WA-98008,48943757
395,5551-Lakemont-Blvd-SE-APT-1107-Bellevue-WA-98006,59208301
396,4131-178th-Ln-SE-APT-5-Bellevue-WA-98008,2101492131
399,1660-118th-Ave-SE-APT-D213-Bellevue-WA-98005,48709349
401,14650-NE-50th-Pl-APT-H4-Bellevue-WA-98007,2108648497
403,768-122nd-Ave-NE-Bellevue-WA-98005,2101473888
405,6800-132nd-Pl-SE-UNIT-E108-Newcastle-WA-98059,84759412
406,835-130th-Ave-NE-Bellevue-WA-98005,49087895
407,1997-Bellevue-Way-SE-Bellevue-WA-98004,49031512
409,14311-SE-42nd-Ln-Bellevue-WA-98006,2106055793
410,15813-SE-3rd-St-Bellevue-WA-98008,48914564
411,1809-180th-Ave-NE-Bellevue-WA-98008,49088724
412,16636-NE-30th-St-Bellevue-WA-98008,66648746
413,3438-161st-Pl-SE-APT-47-Bellevue-WA-98008,2117941509
414,788-110th-Ave-NE-APT-N3103-Bellevue-WA-98004,2101562530
415,615-171st-Pl-NE-Bellevue-WA-98008,48914019
416,12904-SE-45th-Ln-Bellevue-WA-98006,48746975
419,500-106th-Ave-NE-UNIT-1501-Bellevue-WA-98004,2101379175
420,454-174th-Pl-NE-Bellevue-WA-98008,48914600
421,14211-SE-22nd-St-Bellevue-WA-98007,49035199
422,16246-NE-1st-St-Bellevue-WA-98008,48913471
423,10610-NE-9th-Pl-UNIT-2409-Bellevue-WA-98004,84759982
425,6208-120th-Ave-SE-Bellevue-WA-98006,2106916843
426,1373-164th-Pl-NE-Bellevue-WA-98008,48858484
428,14645-NE-34th-St-APT-C19-Bellevue-WA-98007,2142044608
429,10650-NE-9th-Pl-UNIT-628-Bellevue-WA-98004,2101452459
430,6053-167th-Ave-SE-Bellevue-WA-98006,48923609
431,502-141st-Ave-SE-APT-51-Bellevue-WA-98007,72498208
433,5721-122nd-Pl-SE-APT-208-Bellevue-WA-98006,48980131
434,362-Bellevue-Way-NE-APT-318-Bellevue-WA-98004,2101564655
435,9232-SE-Shoreland-Dr-Bellevue-WA-98004,48966650
436,9300-Vineyard-Crst-Bellevue-WA-98004,49113505
437,3220-113th-Ave-SE-Bellevue-WA-98004,49014113
440,6320-168TH-Pl-SE-Bellevue-WA-98006,48797894
444,12312-NE-7th-Pl-TOWNHOMES-Bellevue-WA-98005,2101815892
445,10605-SE-30th-St-Bellevue-WA-98004,48794121
446,4655-165th-Ave-SE-Bellevue-WA-98006,122181443
447,9857-NE-27th-St-Bellevue-WA-98004,49080775
450,10222-NE-26th-St-Bellevue-WA-98004,48775139
451,6102-142nd-Ave-SE-Bellevue-WA-98006,49144406
456,13545-NE-54th-Pl-Bellevue-WA-98005,48724511
457,2412-123rd-Ave-SE-Bellevue-WA-98005,48988686
458,12115-SE-9th-Pl-Bellevue-WA-98005,49141900
460,12148-SE-13th-St-Bellevue-WA-98005,49142073
461,14915-SE-47th-Ct-Bellevue-WA-98006,49088252
463,1004-176th-Ave-NE-Bellevue-WA-98008,48702630
464,168th-Ave-SE-Bellevue-WA-98008,2101544604
465,4929-151st-Ave-SE-Bellevue-WA-98006,48876647
466,6209-121st-Ave-SE-Bellevue-WA-98006,48979618
467,2118-108th-Ave-SE-Bellevue-WA-98004,49031488
468,1400-Bellevue-Way-SE-APT-4-Bellevue-WA-98004,49020001
471,6265-160th-Ave-SE-Bellevue-WA-98006,48924204
475,16711-SE-43rd-St-Bellevue-WA-98006,2101700420
476,3214-113th-Ave-SE-Bellevue-WA-98004,68476751
477,15-Crescent-Ky-Bellevue-WA-98006,48978304
478,236-Northup-Way-Bellevue-WA-98008,48914749
479,13730-Main-St-Bellevue-WA-98005,48873472
480,14611-NE-51st-St-F4-Bellevue-WA-98007,2101770940
483,2398-140th-Way-SE-Bellevue-WA-98007,68474300
485,12600-SE-30th-St-APT-C-Bellevue-WA-98005,2101627690
486,5528-142nd-Ave-SE-Bellevue-WA-98006,2101767692
488,17050-Northup-Way-APT-36-Bellevue-WA-98008,48811514
490,14630-NE-32nd-St-Bellevue-WA-98007,63334649
491,14830-NE-1st-St-APT-A-Bellevue-WA-98007,2101651455
494,1420-Bellevue-Way-SE-APT-2-Bellevue-WA-98004,48977491
495,10508-NE-32nd-Pl-APT-G101-Bellevue-WA-98004,49029352
