,address,zid
0,6263-137th-Pl-NE-230-Redmond-WA-98052,2101639412
4,2420-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,49004482
7,2221-274th-Ave-NE-Redmond-WA-98053,48807223
8,25325-NE-80th-St-Redmond-WA-98053,48707684
9,6803-141st-Ct-NE-Redmond-WA-98052,2101577233
10,3258-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,48768327
13,8420-169th-Ave-NE-101-Redmond-WA-98052,2102408487
14,18620-NE-55th-Way-Redmond-WA-98052,2101210203
16,2423-176th-Ct-NE-Redmond-WA-98052,49022239
17,16127-NE-41st-Ct-Redmond-WA-98052,48656643
22,16977-NE-123rd-St-Redmond-WA-98052,2101295148
24,18425-NE-95th-St-UNIT-164-Redmond-WA-98052,2137325745
25,9805-Avondale-Rd-NE-APT-X161-Redmond-WA-98052,82364683
27,16957-NE-123rd-St-Redmond-WA-98052,2101295147
30,16972-NE-123rd-St-Redmond-WA-98052,2101394307
31,8805-166th-Ave-NE-APT-B02-Redmond-WA-98052,48758755
32,5957-185th-Ct-NE-6-106-Redmond-WA-98052,2101259060
33,15791-NE-114th-Way-Redmond-WA-98052,2101210964
38,16627-NE-106th-St-Redmond-WA-98052,48966277
39,12215-168th-Pl-NE-Redmond-WA-98052,96665072
41,16942-NE-123rd-St-Redmond-WA-98052,2101394308
42,7250-Old-Redmond-Rd-APT-L143-Redmond-WA-98052,48952444
43,22651-NE-Alder-Crest-Dr-UNIT-101-Redmond-WA-98053,61765947
44,7435-139th-Ave-NE-Lake-Stevens-WA-98258,2101152227
48,11636-239th-Ave-NE-Redmond-WA-98053,59710994
49,12923-Sunbreak-Way-NE-Redmond-WA-98053,63216288
51,9230-159th-Pl-NE-203-Redmond-WA-98052,49033840
52,2616-174th-Ave-NE-Redmond-WA-98052,49043246
53,4323-279th-Ave-NE-Redmond-WA-98053,48762013
56,9805-Avondale-Rd-NE-APT-T154-Redmond-WA-98052,82362191
60,15343-NE-(Lot-19)-106th-Ct-Redmond-WA-98052,2103164191
66,4901-Ames-Lake-Carnation-Rd-NE-Carnation-WA-98014,2101400405
67,14509-NE-65th-St-Redmond-WA-98052,48706105
68,16742-NE-41st-St-Redmond-WA-98052,48733494
69,6809-141st-Ct-NE-Redmond-WA-98052,2101220445
70,18224-NE-25th-St-Redmond-WA-98052,48701970
71,10007-Avondale-Rd-NE-Redmond-WA-98052,48847293
76,10426-206th-Ave-NE-Redmond-WA-98053,49077838
77,26214-NE-40th-St-Redmond-WA-98053,96707492
78,15326-Old-Redmond-Rd-Redmond-WA-98052,48707663
80,12291-174th-Pl-NE-Redmond-WA-98052,122184184
81,15795-NE-114th-Way-Redmond-WA-98052,2101210970
84,13440-NE-83rd-St-Redmond-WA-98052,63562197
87,9202-133rd-Ct-NE-Redmond-WA-98052,96660406
89,6528-224th-Ave-NE-Redmond-WA-98053,2109686720
91,6890-156th-Pl-NE-Redmond-WA-98052,48707670
92,17618-NE-30th-Pl-Redmond-WA-98052,49091854
93,27318-NE-Union-Hill-Rd-Redmond-WA-98053,48722967
95,85-W-Snoqualmie-Valley-Rd-Carnation-WA-98014,2101783687
99,3015-W-Lake-Sammamish-Pkwy-NE-Redmond-WA-98052,48768340
100,5318-159th-Pl-NE-Redmond-WA-98052,48762488
101,3834-175th-Ave-NE-APT-4-Redmond-WA-98052,48926203
103,4131-Ames-Lake-Rd-NE-Redmond-WA-98053,2101154341
105,28041-NE-Ames-Lake-Rd-Redmond-WA-98053,48658648
106,16763-NE-86th-Ct-Redmond-WA-98052,89208441
108,16717-Redmond-Way-120-Redmond-WA-98052,2101589150
109,9111-168th-Pl-NE-Redmond-WA-98052,49136134
110,16150-NE-117th-Way-Redmond-WA-98052,122181790
112,18845-NE-62nd-Way-Redmond-WA-98052,55791589
114,21434-NE-67th-St-Redmond-WA-98053,48878846
115,13766-Morgan-Dr-NE-Redmond-WA-98053,68481155
119,8410-169th-Pl-NE-101-Redmond-WA-98052,2102188198
120,9470-Redmond-Woodinville-Rd-NE-APT-C220-Redmond-WA-98052,48769829
121,10606-161st-Ct-NE-Redmond-WA-98052,49020476
122,18613-NE-133rd-St-Woodinville-WA-98072,48685317
123,9470-Redmond-Woodinville-Rd-NE-APT-C117-Redmond-WA-98052,48769822
124,17727-NE-104th-Way-Redmond-WA-98052,48649589
125,12514-232nd-Way-NE-Redmond-WA-98053,61089640
126,8011-146th-Ave-NE-B-28-Redmond-WA-98052,48735750
127,28800-Ames-Lake-Ne-Dr-Redmond-WA-98053,2101899983
128,12311-174th-Pl-NE-Redmond-WA-98052,122181953
129,21005-NE-91ST-St-Redmond-WA-98053,96651958
131,11036-236th-Pl-NE-Redmond-WA-98053,84759499
135,7009-152nd-Ave-NE-Redmond-WA-98052,48995717
137,0-290th-Way-NE-Redmond-WA-98053,2106242854
138,17722-NE-88th-Pl-Redmond-WA-98052,48869669
141,9511-168th-Ave-NE-Redmond-WA-98052,48984004
145,24100-NE-80th-St-Redmond-WA-98053,2116608022
146,5715-251st-Ct-NE-Redmond-WA-98053,2137317517
152,6326-247th-Ave-NE-Redmond-WA-98053,48707772
154,8473-169th-Ave-NE-Redmond-WA-98052,2101261872
155,17674-NE-121st-Ct-Redmond-WA-98052,67683850
158,6702-139th-Ave-NE-APT-756-Redmond-WA-98052,2101255437
159,10508-176th-Pl-NE-Redmond-WA-98052,48649613
160,13434-NE-92nd-Way-Redmond-WA-98052,96652254
161,11417-179th-Ct-NE-Redmond-WA-98052,58380355
163,13859-NE-65th-St-Redmond-WA-98052,49058632
164,7501-151st-Ave-NE-Redmond-WA-98052,48995645
165,20932-NE-77th-St-Redmond-WA-98053,48796253
166,19635-NE-50th-St-Redmond-WA-98053,48752414
168,28420-Ne-Quail-Creek-Dr-Redmond-WA-98053,2146995801
169,10627-154th-Pl-NE-LOT-11-Redmond-WA-98052,2106084811
171,16835-NE-122nd-St-Redmond-WA-98052,2101460647
172,19320-NE-65th-Way-Redmond-WA-98052,63095083
178,10823-237th-Ave-NE-Redmond-WA-98053,89823462
180,9719-159th-Pl-NE-Redmond-WA-98052,49107305
182,10531-W-Snoqualmie-Valley-Rd-NE-Carnation-WA-98014,72494276
184,13109-Adair-Creek-Way-NE-Redmond-WA-98053,80113880
