,_id,city,latitude,longitude,state,street,zipcode,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,count,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,status,type,price,schooldistrict,whatownerloves,zpid
2,55f3add23ae74048e6bff0b9,Burien,47.478747,-122.335567,WA,13823 1st Ave SW,98166,,,,1.75,3,,,,1870,,,,,8775,,,,,,,SingleFamily,,1943,,,,,1,,,943,943,,,,,,48935146
7,55f3add23ae74048e6bff0b5,Burien,47.488354,-122.328952,WA,321 S 128th St,98168,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Craftsman,None,1.5,3,None,,Wood,1100,"Carpet, Hardwood, Linoleum / Vinyl, Tile",,Electric,Baseboard,6916,1,,,Off-street,Composition,"Breakfast nook, Family room, Laundry room",SingleFamily,None,1962,,,,"Beautiful Burien 1 Story Home, Fully Remodeled In 2015. Brand New Stainless Steel Appliances--
Stove, Fridge, Microwave & Dishwasher. Very Modern Tile Back Splash & Tile Floors In The Kitchen & Bathrooms. Freshly Painted Exterior & Interior 2015, New Carpet, Newer Roof. Everything is New! Well Maintained Yard With Room to Garden, Fenced Yard. Two Driveways With Plenty Of Parking. Very Close To Downtown Seattle, Freeways (509, 405, I-5), Bus Routes, Grocery Stores, Shopping, Restaurants.",16,,,3466,3466,,Not for sale,,,,48734183
8,55f3add23ae74048e6bff0b6,Burien,47.439838,-122.329693,WA,256 S 182nd St,98148,,,,1.5,4,Central,,,1644,,,Gas,Forced air,11108,1,,,,,,SingleFamily,,1957,,,,"Complete info: Spacious rambler dining area has entrance to patio, Large fenced backyard detached garage w/ shop.  Located on a corner lot near the Normandy Park shopping center, the convenient location offers walking distance to shopping, bus, banks etc. Property is NOT located in a FEMA Special Flood Hazard Area but is listed as a low to moderate flood risk. Refer to www.FloodSmart.gov for addl. information regarding flood zones and insurance, Property is connected to a septic system.",17,,,8158,8158,,Make me move,289999,,,48944412
9,55f3add23ae74048e6bff0b7,Burien,47.44778,-122.32847,WA,265 S 163rd St,98092,,,,2.5,4,,,,2819,,,,,6500,,,,,,,SingleFamily,,2015,,,,"The Cypress offers 9"" ceilings with 8' doors on the main floor & plenty of natural light throughout. This 2-Story home has 4 bedrooms, 2.5 baths, a 3-car garage, mud room & has the option for a 5th bedroom. The main floor living space is an expansive open area that encompasses a designer kitchen, dining room, great room, outdoor living & guest powder room. The first floor also features a guest room or can be used as a den. The master suite has a luxurious five-piece bathroom & walk-in closet.",1,,,61,61,Active,For sale by agent,498950,,,2101311833
10,55f3add23ae74048e6bff0b8,Burien,47.496494,-122.354294,WA,11801 Ambaum Blvd SW UNIT 1,98146,"Dryer, Dishwasher, Refrigerator, Range / Oven, Garbage disposal, Washer",,,1.0,1,,,Metal,685,Linoleum / Vinyl,,Other,Other,266239,,,,,Composition,,Condominium,Territorial,1994,,,,"City's Edge is only 7 miles from Downtown Seattle. This private, gated community has homes starting from the $150's. This One Bedroom home features beautiful interior finishes such as slab granite counters, wood cabinets, tiled bath surrounds and stainless appliances. These complete homes with low HOA dues rest next to a spacious greenbelt and offer the comfort your looking for at an accessible price. Don't miss this rare opportunity!",23,,,2969,2969,,,,HGL,,82362610
11,55f3add23ae74048e6bff0ba,Burien,47.440573,-122.327088,WA,450 S 181st St,98148,,,,2.0,4,,,,1500,,,,,12196,,,,,,,SingleFamily,,1966,,,,,6,,,7867,7867,,,,,,48944149
14,55f3add23ae74048e6bff0bd,Burien,47.44778,-122.32847,WA,241 S 163rd St,98148,,,,2.5,4,,,,2811,,,,,6501,,,,,,,SingleFamily,,2015,,,,"The Blakely offers 9"" ceilings with 8' doors on the main floor & plenty of natural light throughout. This 2-Story home has 4 bedrooms, 2.5 baths, a 3-car garage, mud room & a gorgeous sun room off the kitchen. The main floor living space is an expansive open area that encompasses a designer kitchen, dining room, great room, outdoor living & guest powder room. The 1st floor also features a guest room or can be used as a den. The master suite has a luxurious five-piece bathroom & walk-in closet.",1,,,59,59,Active,For sale by agent,516950,,,2101311667
15,55f3add23ae74048e6bff0be,Burien,47.44778,-122.32847,WA,351 S 163rd St,98148,,,,2.5,4,,,,2676,,,,,6500,,,,,,,SingleFamily,,2015,,,,"The Blakely offers 9"" ceilings with 8' doors on the main floor & plenty of natural light throughout. This 2-Story home has 4 bedrooms, 2.5 baths, a 3-car garage, mud room & a gorgeous sun room off the kitchen. The main floor living space is an expansive open area that encompasses a designer kitchen, dining room, great room, outdoor living & guest powder room. The 1st floor also features a guest room or can be used as a den. The master suite has a luxurious five-piece bathroom & walk-in closet.",1,,,84,84,Active,For sale by agent,499950,,,2101311666
17,55f3add23ae74048e6bff0c0,Burien,47.49708,-122.371935,WA,11808 Marine View Dr SW,98146,"Dishwasher, Refrigerator, Range / Oven, Microwave, Garbage disposal, Washer",,Partially finished,4.0,4,,,,3040,Hardwood,,,Forced air,20529,1,,,"Carport, Off-street",,"Office, Master bath, Workshop, Recreation room, Breakfast nook, Dining room",SingleFamily,Water,1960,,,,"Welcome home to this very well taken care for mid-century modern Shorewood Home w/full MIL or 4th bedroom area! Nicely shaded and partial Puget Sound and Olympic Mountain views. Landscaping is included with the rent for this home. There is a great full lit sport court RV parking onsite. The home is located on a cul-de-sac and bordering green belt. Beach access at Shorewood community private beach just a short walk away. The home is very clean and light and bright! A great new deck & new outdoor breeze way for BBQ or enjoying company...A large living room with f/p and wood floors lots of windows and access to the front deck. Kitchen with breakfast nook for small table nice new granite in the kitchen and dining island and good appliances. Master bedroom and two others on this floor and two bathrooms. The lower floor offers a large recreation room with views! Den. Laundry room with cabinets and 3/4 bathroom. The MIL offers a living/kitchen area a bedroom and a 3/4 bath and its own washer/dryer. This home has potential for 5 total bedrooms including MIL. MIL includes its own electric cable service and washer/dryer. 2 car carport and great storage in the basement area. Work shop downstairs as well.

Terms are 1st & Deposit to move in; Pets on a Case by Case basis with an additional deposit. Sorry No Smoking. 40.00 app fee per adult to apply. Apply online at wpmsouth.com. 12 - 18 month lease.Terms are 1st & Deposit to move in

Please note that if you apply online the application fee is charged immediately and is non-refundable. Do not apply until you have seen the property and have spoken with me directly. Please drive by first and then call Dawnette at 253-261-7154 to schedule a showing

Application fee is $40.00 per adult to apply.   NO Smoking.   Pets are considered on a case by case basis with an extra deposit - small animals only  500.00/pet refundable deposit",24,,,3824,3824,,,,,,48856704
19,55f3add23ae74048e6bff0c2,Burien,47.486428,-122.329499,WA,13012 3rd Ave S,98168,"Dryer, Range / Oven, Refrigerator, Washer",Cape Cod,Finished,1.0,3,Other,,Metal,1320,Hardwood,,Oil,Forced air,6626,1,,,"Garage - Attached, Off-street",Composition,"Dining room, Family room, Pantry",SingleFamily,,1942,2007,,,"This home is a hidden Gem surrounded by lots of wonderful landscaping that adds to the privacy. A very well maintained and loved home. Lots of newly installed double pane custom windows to allow plenty of natural light into the kitchen, dining & Living areas upstairs. Refinished wood floors and classic millwork add to the charm of this home. All 3 bedrooms look out to the private park like backyard. Brand new water heater. Only short walk and bus ride to Seattle for commuting.Attached cedar deck on the front of the house provides a great space for entertaining or soaking up the afternoon sun. ",1,,,2213,2213,,Make me move,299000,,,48734156
